Physical Time (s),ea_left Monitor (kg-m/s^3)
1.5325,-8.5227949013756173e-08
1.535,-8.548667826803668e-08
1.5375,-8.5732091329789819e-08
1.54,-8.5959920668599909e-08
1.5425,-8.6166081648495553e-08
1.545,-8.6346734942030882e-08
1.5475,-8.6498341664760898e-08
1.55,-8.661777370839107e-08
1.5525,-8.6702394362030356e-08
1.555,-8.6750112683580869e-08
1.5575,-8.6759430796079245e-08
1.56,-8.6729489922215243e-08
1.5625,-8.665996975244314e-08
1.565,-8.6551059864995228e-08
1.5675,-8.6403456566481139e-08
1.57,-8.6218363748163984e-08
1.5725,-8.5997481675097604e-08
1.575,-8.5742972467901139e-08
1.5775,-8.5457415525558168e-08
1.58,-8.5143807225340317e-08
1.5825,-8.4805550094249721e-08
1.585,-8.4446416098789374e-08
1.5875,-8.4070475659696841e-08
1.59,-8.3681993927018926e-08
1.5925,-8.3285303392912229e-08
1.595,-8.2884687043239861e-08
1.5975,-8.2484318838635001e-08
1.6,-8.2088243900829606e-08
1.6025,-8.17003467573697e-08
1.605,-8.1324305711130682e-08
1.6075,-8.0963519639916145e-08
1.61,-8.0621048139980221e-08
1.6125,-8.0299596581121619e-08
1.615,-8.0001529255114614e-08
1.6175,-7.9728818095653671e-08
1.62,-7.9483029983278988e-08
1.6225,-7.9265281243228822e-08
1.625,-7.9076219255246364e-08
1.6275,-7.8916058910069763e-08
1.63,-7.8784618196704732e-08
1.6325,-7.8681337941996848e-08
1.635,-7.8605294583202132e-08
1.6375,-7.8555230087276467e-08
1.64,-7.8529605582456766e-08
1.6425,-7.852666416173853e-08
1.645,-7.8544470558366649e-08
1.6475,-7.8580920955620118e-08
1.65,-7.8633732216156504e-08
1.6525,-7.8700476643730087e-08
1.655,-7.8778653439497158e-08
1.6575,-7.8865780373877056e-08
1.66,-7.8959459354478745e-08
1.6625,-7.9057372562637841e-08
1.665,-7.9157280387271836e-08
1.6675,-7.9257039385888149e-08
1.67,-7.935465752646651e-08
1.6725,-7.9448359058190849e-08
1.675,-7.9536611403269869e-08
1.6775,-7.9618102489665715e-08
1.68,-7.9691690621501541e-08
1.6825,-7.9756393581501789e-08
1.685,-7.9811458158191046e-08
1.6875,-7.985643468963028e-08
1.69,-7.9891208941485986e-08
1.6925,-7.9915976451482489e-08
1.695,-7.9931196450961187e-08
1.6975,-7.9937554335600867e-08
1.7,-7.9935919840011738e-08
1.7025,-7.9927309584555272e-08
1.705,-7.9912844172870027e-08
1.7075,-7.9893702847671139e-08
1.71,-7.9871083314945826e-08
1.7125,-7.9846197291557011e-08
1.715,-7.9820184576205109e-08
1.7175,-7.97941951667045e-08
1.72,-7.9769529750038097e-08
1.7225,-7.9747541195345938e-08
1.725,-7.9729500358423857e-08
1.7275,-7.9716537920112012e-08
1.73,-7.9709574409651491e-08
1.7325,-7.9709302852271343e-08
1.735,-7.9716136670788857e-08
1.7375,-7.9730222453071992e-08
1.74,-7.9751569335805587e-08
1.7425,-7.9780088287661712e-08
1.745,-7.9815453482432293e-08
1.7475,-7.98569635047043e-08
1.75,-7.9903682705934275e-08
1.7525,-7.9954665092347985e-08
1.755,-8.0008982265021442e-08
1.7575,-8.0065522500311905e-08
1.76,-8.0122864456464988e-08
1.7625,-8.0179294768520061e-08
1.765,-8.0232890355517608e-08
1.7675,-8.0281606886952595e-08
1.77,-8.0323329581304338e-08
1.7725,-8.0355885408878819e-08
1.775,-8.0377042190560416e-08
1.7775,-8.0384567852883264e-08
1.78,-8.0376309169085564e-08
1.7825,-8.0350318192790817e-08
1.785,-8.0304891500215286e-08
1.7875,-8.023869033918608e-08
1.79,-8.0150669469816848e-08
1.7925,-8.003996936675235e-08
1.795,-7.99058954388541e-08
1.7975,-7.974795110797636e-08
1.8,-7.9565894486391768e-08
1.8025,-7.9359789443023582e-08
1.805,-7.9129998854475019e-08
1.8075,-7.8877157422489035e-08
1.81,-7.8602108417359973e-08
1.8125,-7.8305998058174705e-08
1.815,-7.7990338624513191e-08
1.8175,-7.7657000292920396e-08
1.82,-7.730818428150142e-08
1.8225,-7.6946352392450097e-08
1.825,-7.6574120757495417e-08
1.8275,-7.6194189794773183e-08
1.83,-7.5809337466228036e-08
1.8325,-7.5422381992309624e-08
1.835,-7.5036145282752602e-08
1.8375,-7.4653405316462481e-08
1.84,-7.4276886307795713e-08
1.8425,-7.3909238551094703e-08
1.845,-7.3553022143237001e-08
1.8475,-7.3210685652040088e-08
1.85,-7.2884584519252922e-08
1.8525,-7.2576942778597559e-08
1.855,-7.2289815803081478e-08
1.8575,-7.2025000433791048e-08
1.86,-7.178401946985695e-08
1.8625,-7.1568099169754969e-08
1.865,-7.1378177959010504e-08
1.8675,-7.1214936142818608e-08
1.87,-7.1078809026833705e-08
1.8725,-7.0969988617813354e-08
1.875,-7.0888445395590015e-08
1.8775,-7.0833958903723715e-08
1.88,-7.0806085550502895e-08
1.8825,-7.0804123544726676e-08
1.885,-7.082711555069091e-08
1.8875,-7.0873851298706479e-08
1.89,-7.0942901003876857e-08
1.8925,-7.1032678859709465e-08
1.895,-7.1141438825824687e-08
1.8975,-7.1267278461038764e-08
1.9,-7.1408142473874447e-08
1.9025,-7.1561837444200059e-08
1.905,-7.1726096528588946e-08
1.9075,-7.1898615596241229e-08
1.91,-7.2077062957641002e-08
1.9125,-7.2259108933119824e-08
1.915,-7.2442423401788497e-08
1.9175,-7.2624686801085198e-08
1.92,-7.2803553122546624e-08
1.9225,-7.2976674431978453e-08
1.925,-7.314170638481575e-08
1.9275,-7.3296352606474349e-08
1.93,-7.343847179207389e-08
1.9325,-7.3566146100892356e-08
1.935,-7.3677684350152156e-08
1.9375,-7.3771602700048186e-08
1.94,-7.3846543419164269e-08
1.9425,-7.3901282037227904e-08
1.945,-7.3934764648898995e-08
1.9475,-7.394621302337366e-08
1.95,-7.3935224187468705e-08
1.9525,-7.3901675101716423e-08
1.955,-7.3845766980185914e-08
1.9575,-7.376793652848995e-08
1.96,-7.3668773274088579e-08
1.9625,-7.3549026013755042e-08
1.965,-7.3409661324455052e-08
1.9675,-7.3251932461256534e-08
1.97,-7.307734419740172e-08
1.9725,-7.2887578864860954e-08
1.975,-7.268442640859411e-08
1.9775,-7.2469755687945811e-08
1.98,-7.2245497402509897e-08
1.9825,-7.2013712855844644e-08
1.985,-7.1776616272197166e-08
1.9875,-7.1536513316384535e-08
1.99,-7.1295732451060211e-08
