Physical Time (s),ea_right Monitor (kg-m/s^3): right_cv1,ea_right Monitor (kg-m/s^3): right_cv2,ea_right Monitor (kg-m/s^3): right_cv3,ea_right Monitor (kg-m/s^3): right_cv4,ea_right Monitor (kg-m/s^3): right_cv5,ea_right Monitor (kg-m/s^3): right_cv6,ea_right Monitor (kg-m/s^3): right_cv7
0.29,-6.9308575212220636e-06,1.6953097314366122e-06,2.2554125663346618e-08,4.9043171750589972e-09,1.6746871851073638e-09,3.8231775701872085e-10,2.2711517620905777e-10
0.2925,-7.3180224255908906e-06,1.7090407247961066e-06,2.2932077245390452e-08,5.0674613612652626e-09,1.7204674021865045e-09,3.5496392895102964e-10,2.8418351389779247e-10
0.295,-7.6919432931623493e-06,1.721753663225864e-06,2.3277464483425459e-08,5.2342376451596894e-09,1.7833599392132541e-09,3.4213082947961971e-10,3.2894439959826015e-10
0.2975,-8.0527751164655159e-06,1.7335698875198022e-06,2.3586859716221986e-08,5.3939373217507134e-09,1.8562561692929238e-09,3.4390824826166553e-10,3.5895840314820084e-10
0.3,-8.4015675292172263e-06,1.7446821530304283e-06,2.3860032792754917e-08,5.5403180984917172e-09,1.9330192021405413e-09,3.6031144205851787e-10,3.7447474280577836e-10
0.3025,-8.740418808164968e-06,1.7553364146170003e-06,2.4094821571001107e-08,5.6716528885748619e-09,2.0082648881815178e-09,3.9070142740370801e-10,3.778966986987191e-10
0.305,-9.0703975195383754e-06,1.7657817162046788e-06,2.4296932345635448e-08,5.7888028481674026e-09,2.0788668254465676e-09,4.3345496334837651e-10,3.730766291817793e-10
0.3075,-9.3913117225371402e-06,1.7761891633019853e-06,2.448632070172751e-08,5.8941105851346498e-09,2.1441119394915059e-09,4.8639339976582596e-10,3.6384328478947986e-10
0.31,-9.7030632528807182e-06,1.7866895831176664e-06,2.4691584545254861e-08,5.9938696678817303e-09,2.2045245405875151e-09,5.4657908249846836e-10,3.5306169146653498e-10
0.3125,-1.0005401466697206e-05,1.797414589247333e-06,2.4944462764264448e-08,6.0986840903947348e-09,2.2619506768204763e-09,6.1071406799683159e-10,3.4222774485675233e-10
0.315,-1.0297537864638866e-05,1.8084764786681467e-06,2.5276097981677631e-08,6.2218937913018264e-09,2.3199954896539128e-09,6.7579462564917509e-10,3.3129591584638494e-10
0.3175,-1.0579313011357751e-05,1.8199495671112407e-06,2.5706843897591516e-08,6.3773661704514102e-09,2.3838478086372462e-09,7.3916224523529869e-10,3.1901788084103208e-10
0.32,-1.0850481507796479e-05,1.8319164588424517e-06,2.6243246898687132e-08,6.575831514825466e-09,2.4593483891913779e-09,7.9882837137709638e-10,3.0349839618951128e-10
0.3225,-1.1109969557436315e-05,1.8444060584104138e-06,2.6892258985449787e-08,6.8245409284198637e-09,2.5527075857757939e-09,8.5362389883583562e-10,2.8246294539596739e-10
0.325,-1.135802960572291e-05,1.8574286138141464e-06,2.7652596638035892e-08,7.1274723790405435e-09,2.6688081162577285e-09,9.0298246186111752e-10,2.5403498241470829e-10
0.3275,-1.1594941376940854e-05,1.8710403209616326e-06,2.8515723429377713e-08,7.4850243407324248e-09,2.8104218900015475e-09,9.4699556686714447e-10,2.1747960953695032e-10
0.33,-1.1820767944352105e-05,1.8852857934027256e-06,2.9466686758923033e-08,7.8935434419263502e-09,2.9778623491543578e-09,9.8611167776590517e-10,1.7382249762524862e-10
0.3325,-1.2035466739958864e-05,1.9001723260877677e-06,3.0485785451730982e-08,8.3452741823154188e-09,3.1687599074956465e-09,1.0206237811812665e-09,1.2611646196836749e-10
0.335,-1.2239042535383509e-05,1.9156991513898924e-06,3.1558315592359636e-08,8.8298815960929536e-09,3.3787929414077228e-09,1.0498221853396004e-09,7.893709863814091e-11
0.3375,-1.2432827003336715e-05,1.9318351959941293e-06,3.2654342621280011e-08,9.3325245988579636e-09,3.599226766195626e-09,1.0717729597264862e-09,3.8336621770411208e-11
0.34,-1.2617581823173243e-05,1.9486119158328417e-06,3.3734291717070127e-08,9.8338965655656596e-09,3.817666729070722e-09,1.0838177621770145e-09,1.0544789392427125e-11
0.3425,-1.2792886256810221e-05,1.9660160246444049e-06,3.4766231793523321e-08,1.0311271723978612e-08,4.0199539427853497e-09,1.0825937428059983e-09,6.673382202468394e-14
0.345,-1.2958538421892983e-05,1.9839756460170367e-06,3.5721106410225276e-08,1.074216515973317e-08,4.1909754941013781e-09,1.0647602587828365e-09,8.5194763849953362e-12
