Physical Time (s),enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv1,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv2,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv3,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv4,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv5,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv6,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv7
0.1575,-2.0060374001296929e-08,-1.5058356268633266e-08,-4.5326327589637654e-09,1.40821096532733e-08,3.8079213923615444e-08,7.9870144460309169e-08,8.2393503004279184e-08
0.16,-5.7041793840948209e-09,-7.3264740768503897e-09,-6.0266525104840891e-09,5.6999373674909099e-09,2.4616225262139815e-08,6.486741971203349e-08,6.7998846683388494e-08
0.1625,1.6746808919617473e-08,9.3392713321801289e-09,3.1250787420883559e-09,9.3434644621995274e-09,2.359449157126591e-08,6.0647942894122556e-08,6.5923280872926093e-08
0.165,4.3948109146255567e-08,3.1346541982551461e-08,1.8146132453037178e-08,1.9353009193707605e-08,2.9131301868488621e-08,6.1341768078866999e-08,7.0883108948799689e-08
0.1675,7.1479204061004199e-08,5.4077624483393923e-08,3.3583873185594819e-08,2.9561766955685945e-08,3.4804527902785633e-08,6.060294664879679e-08,7.6207065841347278e-08
0.17,9.4806558795035455e-08,7.3035354700277136e-08,4.4737655939169213e-08,3.494397144292749e-08,3.5454778725336935e-08,5.3514152931649455e-08,7.5667396127830698e-08
0.1725,1.1046064719165082e-07,8.4977543185387036e-08,4.867138984262399e-08,3.2569444142401268e-08,2.8127495416724573e-08,3.7470203979623805e-08,6.476493327794647e-08
0.175,1.1652271333612916e-07,8.8438780711955714e-08,4.4779807345183366e-08,2.2228039696008695e-08,1.276141921561383e-08,1.2898271448532847e-08,4.2142188162050745e-08
0.1775,1.129289396243373e-07,8.3874773052918012e-08,3.469268522306888e-08,6.248437175750232e-09,-7.993690756143641e-09,-1.694892488533683e-08,9.9825884767368757e-09
0.18,1.0121746396569098e-07,7.324365245777513e-08,2.1565251392643293e-08,-1.1336347331756577e-08,-2.9627085639774667e-08,-4.684042625499435e-08,-2.6513504857935137e-08
0.1825,8.391195651030195e-08,5.923658519037661e-08,8.9840753689487354e-09,-2.6090372569284541e-08,-4.7154645096171906e-08,-7.1000362116992671e-08,-6.0593239071106046e-08
0.185,6.3931364600747704e-08,4.4567956726619073e-08,-7.6703756116972826e-11,-3.4504702125405658e-08,-5.6624739197672845e-08,-8.4769448310310275e-08,-8.5952611788347984e-08
0.1875,4.4022871140604755e-08,3.1425689395710608e-08,-3.9174326537443565e-09,-3.4851035468222879e-08,-5.6139100858121074e-08,-8.5818601467662631e-08,-9.8410374689477777e-08
0.19,2.6398156592585669e-08,2.1228851107375478e-08,-2.2456082297278553e-09,-2.7344420373123802e-08,-4.610188671615227e-08,-7.4553470772110756e-08,-9.673426181497118e-08
0.1925,1.256341806302651e-08,1.4633398271516589e-08,4.1089235019558944e-09,-1.3716266491500278e-08,-2.8755468594437041e-08,-5.3687603415218694e-08,-8.2497037561927496e-08
0.195,3.3679948191652706e-09,1.1721116610371411e-08,1.3674463543814552e-08,3.4940852384365995e-09,-7.3317169823802753e-09,-2.7290465750712815e-08,-5.9228755464456473e-08
0.1975,-9.8903621033693093e-10,1.2139422295445854e-08,2.4793692161477095e-08,2.1673673207167508e-08,1.4892204348106413e-08,3.9802157379501904e-10,-3.1133999370225742e-08
0.2,-9.3134904568971506e-10,1.5200078456049019e-08,3.5932803681759596e-08,3.8642688473530259e-08,3.5272712960345721e-08,2.5893906519443004e-08,-2.012762170019454e-09
0.2025,2.5513192810972927e-09,1.9935632304465042e-08,4.5805610124084286e-08,5.284523460701645e-08,5.2063877599747283e-08,4.6888334531749831e-08,2.5256524098563582e-08
0.205,8.0013649763777091e-09,2.5143349265247267e-08,5.3351210383201543e-08,6.3265782751982002e-08,6.4298161963688707e-08,6.2154761031553324e-08,4.8619813014726367e-08
0.2075,1.3689562961953795e-08,2.950473755131749e-08,5.7720045323603267e-08,6.9289505346739764e-08,7.1548836738807311e-08,7.1256627085193314e-08,6.6489904442416562e-08
0.21,1.7960264948670272e-08,3.183803737491261e-08,5.8375223108993056e-08,7.0680515840384397e-08,7.3808505426905466e-08,7.4367476059176898e-08,7.7598719117488279e-08
0.2125,1.9417297985675565e-08,3.1257604961072388e-08,5.5217071313538216e-08,6.7670181618439565e-08,7.1523829372667512e-08,7.2271931667359936e-08,8.1245599724935927e-08
0.215,1.7136296730087718e-08,2.7349494888804408e-08,4.8698370291334093e-08,6.1051109013764769e-08,6.5660178190734817e-08,6.6389753565953314e-08,7.7715603240755928e-08
0.2175,1.0898611243017833e-08,2.0352804954356784e-08,3.9901097466749785e-08,5.2225376748381508e-08,5.7735909408293507e-08,5.8750720090817474e-08,6.8693347630164514e-08
