Physical Time (s),ep_bot Monitor (kg-m/s^3): bot_cv1,ep_bot Monitor (kg-m/s^3): bot_cv2,ep_bot Monitor (kg-m/s^3): bot_cv3,ep_bot Monitor (kg-m/s^3): bot_cv4,ep_bot Monitor (kg-m/s^3): bot_cv5,ep_bot Monitor (kg-m/s^3): bot_cv6,ep_bot Monitor (kg-m/s^3): bot_cv7
0.275,7.5108707429731985e-08,6.4331269167993942e-08,4.0063603953788563e-08,2.6307216492084798e-08,2.214390490036582e-08,2.2493659164042538e-08,2.2095650646593349e-08
0.2775,7.652401429269045e-08,6.7206540916673825e-08,4.455426225310539e-08,3.0190356045833656e-08,2.5005158745146354e-08,2.437330426258249e-08,2.4657600921086616e-08
0.28,7.6615363427776793e-08,6.9464875271373054e-08,5.0173415010786917e-08,3.6254688307854379e-08,3.0422172530657758e-08,2.8731193850261195e-08,2.9356165263137189e-08
0.2825,7.5390665768362439e-08,7.0776248448416116e-08,5.6037809519850077e-08,4.3511326137209791e-08,3.7487695304175073e-08,3.4825403640350332e-08,3.5504472749815055e-08
0.285,7.2828848208903128e-08,7.1008367284173973e-08,6.1805295169214288e-08,5.1529664858635271e-08,4.5771487640805008e-08,4.2317442972392324e-08,4.2824543055113189e-08
0.2875,6.9072529245491242e-08,6.9906583177637131e-08,6.6337645033661014e-08,5.8800664329727881e-08,5.3713374518680605e-08,4.9786419657006272e-08,4.99542370444953e-08
0.29,6.4302520311519735e-08,6.7482877415302041e-08,6.9153258111266281e-08,6.451922638158736e-08,6.0397140818323798e-08,5.6344912029132776e-08,5.606934245550869e-08
0.2925,5.8974436213155109e-08,6.39956309304925e-08,6.9905887490286404e-08,6.7900650007340806e-08,6.4854547787556364e-08,6.0995007892523815e-08,6.0249369272120479e-08
0.295,5.3121688598553546e-08,5.9515129828420217e-08,6.8670010051102506e-08,6.888076501372253e-08,6.6907025903205409e-08,6.3463270471539235e-08,6.2271736385172111e-08
0.2975,4.6642237055399053e-08,5.3977164982403642e-08,6.5432045897657795e-08,6.7387235211993075e-08,6.6392150760257881e-08,6.34857265769512e-08,6.190043970518964e-08
0.3,3.9278221025444271e-08,4.7195827759456744e-08,6.0103113732913395e-08,6.3332435861988985e-08,6.3162899655095677e-08,6.0816945983614449e-08,5.8881741115647629e-08
0.3025,3.1481823953775619e-08,3.9733941683957897e-08,5.3271295701611134e-08,5.7200961345482413e-08,5.7596297286695037e-08,5.5717384816918741e-08,5.3463512923386216e-08
0.305,2.3782637000210867e-08,3.2286492188009061e-08,4.5832698718074061e-08,4.9867001075892725e-08,5.0501401945481074e-08,4.8892130180007333e-08,4.6307393249825038e-08
0.3075,1.6369602387739012e-08,2.5088197842571498e-08,3.8172932363678756e-08,4.1722506512103173e-08,4.2236266174581015e-08,4.0609850989136068e-08,3.7602705758051724e-08
0.31,9.7325414396704568e-09,1.8623382983307661e-08,3.0858686379026774e-08,3.336626038310739e-08,3.3372038701016314e-08,3.1364448976097699e-08,2.777335034953634e-08
0.3125,4.2595359978306195e-09,1.332563387394041e-08,2.4505319968891067e-08,2.5527830424163836e-08,2.4651265661273254e-08,2.1852179945980597e-08,1.745658220574442e-08
0.315,4.2949230424646738e-11,9.3259020262676452e-09,1.9403734104790854e-08,1.8602294811922708e-08,1.6487589441320239e-08,1.2445300717386969e-08,6.9784878827454026e-09
0.3175,-2.7412887389903772e-09,6.8002977868908122e-09,1.5858256900198546e-08,1.3063364926333127e-08,9.4440544838882481e-09,3.739207286084307e-09,-3.05059152411644e-09
0.32,-4.0518544665850511e-09,5.7656033892678712e-09,1.3936987459605993e-08,9.1558553942448591e-09,3.9025246363891633e-09,-3.7710210084723556e-09,-1.2064211285415443e-08
0.3225,-3.8960502379470769e-09,6.1494130530334114e-09,1.3431383049550917e-08,6.6195656728836104e-09,-3.7848822885208484e-10,-1.0283354778657492e-08,-2.0179797317695467e-08
0.325,-2.1790476551774512e-09,7.9276490522150686e-09,1.4144219062964025e-08,5.2709553754766214e-09,-3.5054707694986299e-09,-1.5765410496795459e-08,-2.7228349749543084e-08
0.3275,1.2007818097586077e-09,1.1085346174527586e-08,1.5879307457574508e-08,4.9047029205389752e-09,-5.6213260116136117e-09,-2.0205018308440861e-08,-3.3040373725046127e-08
0.33,6.329437883765643e-09,1.5602880948014924e-08,1.8418707318775731e-08,5.2676209708123294e-09,-6.9332709975307537e-09,-2.3659448021742844e-08,-3.7514756472797185e-08
0.3325,1.3262273625994253e-08,2.1425021411093781e-08,2.146521214075729e-08,5.9944481385128737e-09,-7.777653129505743e-09,-2.6336979902559758e-08,-4.0722983060243125e-08
0.335,2.2442060208935843e-08,2.8778926643097555e-08,2.4797985025489534e-08,6.6532811431889117e-09,-8.6382022368623801e-09,-2.8672187836637236e-08,-4.2970793787714983e-08
0.3375,3.3792439437589218e-08,3.748185410927282e-08,2.8031927080824191e-08,6.823409301491414e-09,-9.8866468037507688e-09,-3.0904420058603938e-08,-4.4439507492787991e-08
0.34,4.6736266864643213e-08,4.7117954105107866e-08,3.0994674979892662e-08,6.4749885030362505e-09,-1.1477766129954088e-08,-3.2903030452895259e-08,-4.5079819051931493e-08
0.3425,6.1074097134102947e-08,5.7590880231982304e-08,3.3722161301212742e-08,5.6747745216158362e-09,-1.3321656172638326e-08,-3.4572313058481428e-08,-4.490650543187445e-08
0.345,7.6220214461867279e-08,6.8518296446146435e-08,3.6220009282384131e-08,4.5757948850778701e-09,-1.5223363629662492e-08,-3.574734474829699e-08,-4.3937395471282549e-08
0.3475,9.1136862259870098e-08,7.9293484932620852e-08,3.8711874237138139e-08,3.7195475610233067e-09,-1.6608196587875073e-08,-3.5971730254384865e-08,-4.1964072409695438e-08
0.35,1.0624225307019969e-07,9.0173617437595615e-08,4.1297198838208458e-08,3.1933142589369612e-09,-1.7353929124930218e-08,-3.5074649262205811e-08,-3.8806028440569106e-08
0.3525,1.2107482710269774e-07,1.0086147006072982e-07,4.4083755246405733e-08,3.3567056207899807e-09,-1.7034600052034582e-08,-3.2658482976434186e-08,-3.4144301502717467e-08
