Physical Time (s),enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv7
0.23,9.6272759697203947e-09,6.9807348083394211e-09,1.5032221102689055e-09,-1.7930110855892168e-09,-3.4846169362354976e-09,-4.939670912592063e-09,-4.4126854632174282e-09
0.2325,9.4553346439146813e-09,6.7303160027053649e-09,1.0844216123321408e-09,-2.3638919477099852e-09,-4.1976837142362241e-09,-5.9568367869533708e-09,-5.9516930899773229e-09
0.235,9.3365025307898542e-09,6.5434332405383742e-09,7.4797288300829693e-10,-2.8308356506883048e-09,-4.7842404753469081e-09,-6.8108481872821561e-09,-7.3549233543093644e-09
0.2375,9.2868811968333765e-09,6.4405346141058102e-09,5.2091983392388898e-10,-3.1607689603373846e-09,-5.2049830605452439e-09,-7.4461252042152044e-09,-8.5257108636874529e-09
0.24,9.3157126297758301e-09,6.4343556879667728e-09,4.2140072184381052e-10,-3.3308236002092587e-09,-5.4323265867516505e-09,-7.8224397178921566e-09,-9.3847491135499997e-09
0.2425,9.4243850153200939e-09,6.5280866582195681e-09,4.5455982298915751e-10,-3.3349083111989025e-09,-5.4593237495690762e-09,-7.9267802602256455e-09,-9.8872062759401341e-09
0.245,9.6067255770588106e-09,6.7153124106151124e-09,6.1289105905918349e-10,-3.1824801048927741e-09,-5.2974051414636106e-09,-7.7710628515940994e-09,-1.0021120353046394e-08
0.2475,9.8486256504145052e-09,6.9795395612734187e-09,8.7548416549868341e-10,-2.8996249602522824e-09,-4.9780303629337304e-09,-7.3945744830732305e-09,-9.8137695429227051e-09
0.25,1.0129851007293519e-08,7.2964676974003465e-09,1.2110671145618057e-09,-2.5252524912947931e-09,-4.5480602574136879e-09,-6.858294832004353e-09,-9.3277497465956171e-09
0.2525,1.0427978366787218e-08,7.6387435697267454e-09,1.5841824045761891e-09,-2.1034358472294014e-09,-4.0604643003881714e-09,-6.2326888823556705e-09,-8.6468848851240791e-09
0.255,1.0724093886891317e-08,7.98313742965265e-09,1.9635748588393591e-09,-1.6738150289478468e-09,-3.5634500742557138e-09,-5.5839239773405563e-09,-7.8568092108934616e-09
0.2575,1.1000747909137796e-08,8.3073493114856957e-09,2.319393585718051e-09,-1.273669454862511e-09,-3.1018435859815733e-09,-4.9733994342564865e-09,-7.04360961618424e-09
0.26,1.1246355642129517e-08,8.5957560114954792e-09,2.6296576405311439e-09,-9.3089360908302979e-10,-2.7094931310079006e-09,-4.4489813470321112e-09,-6.2803481468424183e-09
