Physical Time (s),phi_alt_flux_right Monitor (kg-m/s^3): right_cv1,phi_alt_flux_right Monitor (kg-m/s^3): right_cv2,phi_alt_flux_right Monitor (kg-m/s^3): right_cv3,phi_alt_flux_right Monitor (kg-m/s^3): right_cv4,phi_alt_flux_right Monitor (kg-m/s^3): right_cv5,phi_alt_flux_right Monitor (kg-m/s^3): right_cv6,phi_alt_flux_right Monitor (kg-m/s^3): right_cv7
0.325,0.00012196408659310646,0.00026442399724291884,1.3666907965658333e-05,1.8442759719147272e-06,8.7521940606125233e-07,2.4732072293955641e-07,4.3593946517625251e-08
0.3275,0.00012173028879640288,0.00025763265920261257,1.430211480443256e-05,1.862351642829185e-06,8.82780459553287e-07,2.4886056747055725e-07,4.3944376149504121e-08
0.33,0.00012148155620240379,0.00025088065653095345,1.4975734169072375e-05,1.8807726677894122e-06,8.9040892047162576e-07,2.5042426998300473e-07,4.4306176276285726e-08
0.3325,0.00012121881043509275,0.00024418554302039531,1.5690792688977863e-05,1.8995609552734327e-06,8.9810945004346815e-07,2.5201913405839576e-07,4.4688002240990009e-08
0.335,0.00012094288717617872,0.0002375474241725113,1.6465983225988839e-05,1.9189168279501555e-06,9.0589952816993764e-07,2.5362952776687891e-07,4.5074714442137553e-08
0.3375,0.00012065114886421512,0.00023098464789914972,1.7307556113227613e-05,1.938852696853886e-06,9.1376842708383463e-07,2.5524020158306152e-07,4.5457228697760015e-08
0.34,0.00012034275328025185,0.00022451952428370736,1.8208812017864166e-05,1.9592349901535665e-06,9.2168904144239012e-07,2.5685179927147521e-07,4.5831384637353897e-08
0.3425,0.00012002026067189617,0.00021816597895743634,1.9171753220921436e-05,1.980037466124468e-06,9.2964836775550169e-07,2.5846266397635489e-07,4.6188802524904796e-08
0.345,0.00011968571002488496,0.00021193826891274841,2.0192972373011665e-05,2.0011980319768676e-06,9.3763987738534223e-07,2.6007388234280384e-07,4.6530328024604778e-08
0.3475,0.00011934067386421572,0.00020585937736634075,2.1250305139924363e-05,2.0224628981098038e-06,9.4561805823611241e-07,2.6168821777611448e-07,4.6862295741226777e-08
0.35,0.00011898921772113245,0.0001999244084094245,2.2366906172936146e-05,2.044052339774505e-06,9.5361262944431561e-07,2.6330006380729132e-07,4.7175834158944487e-08
0.3525,0.00011863095091013973,0.0001941376016174575,2.3552390283966435e-05,2.0660434424934632e-06,9.6164194649681949e-07,2.6491956173187534e-07,4.7480503373798357e-08
0.355,0.00011826460406826152,0.00018850530776785447,2.4812862352101419e-05,2.0884574663428417e-06,9.6970352532018055e-07,2.665447774435015e-07,4.7773597079836107e-08
0.3575,0.00011788997610957875,0.00018303413970404298,2.6153703104564e-05,2.1113155922982774e-06,9.7780039935992574e-07,2.6818240425691996e-07,4.8063336562236396e-08
0.36,0.00011750802417096807,0.00017772968880313189,2.7580251413949044e-05,2.1346342172165061e-06,9.8593340619507191e-07,2.6983535479207774e-07,4.8352082581469081e-08
0.3625,0.00011711995742645751,0.00017259599329749438,2.909806711933556e-05,2.1584323073829579e-06,9.9410411883215995e-07,2.7150846012475117e-07,4.8638655397727234e-08
0.365,0.00011672666471229484,0.00016763561561050974,3.0712788307062592e-05,2.1827153114856642e-06,1.0023050591417628e-06,2.7319833890654733e-07,4.8931392798204319e-08
0.3675,0.00011632880411356354,0.0001628497495982864,3.2430401722606108e-05,2.2074927241360838e-06,1.0105306956562222e-06,2.7490241057876863e-07,4.922970769538453e-08
0.37,0.00011592702600710621,0.00015823845287244722,3.4257339845860438e-05,2.23277478886336e-06,1.0187815625208199e-06,2.7662642151827526e-07,4.9535356382487939e-08
0.3725,0.00011552252542742536,0.00015379332270689552,3.6239638324646765e-05,2.25883030834997e-06,1.0270934018383718e-06,2.7837156268855713e-07,4.9846862112446872e-08
0.375,0.00011511335938425871,0.00014952567410378003,3.8318986631231123e-05,2.2851912934162771e-06,1.0353772301366822e-06,2.8011985230896351e-07,5.0153761199456294e-08
