Physical Time (s),aphi_alt_flux_top Monitor (kg-m/s^3): top_cv1,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv2,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv3,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv4,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv5,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv6,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.195,8.6023563265482231e-10,7.9511151997735666e-10,7.1346909107568666e-10,5.2585149077203126e-10,4.3586977916924754e-10,3.9015034848285087e-10,3.6554286236206814e-10
0.1975,8.7953885096345085e-10,8.1339018642944287e-10,7.3255070171150279e-10,5.5129253773845099e-10,4.6757651174667015e-10,4.2815153620183618e-10,4.0622462742109514e-10
0.2,9.0160049581381079e-10,8.3451343771566946e-10,7.5441429001203637e-10,5.7956570923483975e-10,5.0256219370968988e-10,4.7042774363220245e-10,4.5247504346770191e-10
0.2025,9.2514281675500708e-10,8.5714379252422883e-10,7.7763531040427916e-10,6.0853810201146002e-10,5.3796668701049264e-10,5.1350672490326206e-10,5.0065197339456489e-10
0.205,9.4875442194439008e-10,8.7972267673384022e-10,8.0044804664572271e-10,6.3574738229329012e-10,5.7056810574646636e-10,5.5342963806503923e-10,5.464253493686754e-10
0.2075,9.6981118990854144e-10,8.9977385593486112e-10,8.2070902919827098e-10,6.5876126288366767e-10,5.9736022405801971e-10,5.8649741042311202e-10,5.8567768505195916e-10
0.21,9.8762338205048966e-10,9.1614038887801158e-10,8.3655920009935226e-10,6.7506180597209751e-10,6.1518955699235333e-10,6.0884477551051128e-10,6.139308092690343e-10
0.2125,9.9990443388082405e-10,9.2661937306316793e-10,8.4607702236036236e-10,6.8273829157128582e-10,6.2188536801492552e-10,6.1783169290923951e-10,6.2805706537361996e-10
0.215,1.0056877378286206e-09,9.3006857341245246e-10,8.4795756162050485e-10,6.8043429215290906e-10,6.1594711267255664e-10,6.1165477628405017e-10,6.2581070963474019e-10
0.2175,1.0041772027579735e-09,9.256868567434983e-10,8.4152090932849739e-10,6.6771300125646759e-10,5.9704924374923536e-10,5.8991255751734748e-10,6.0641452683194974e-10
0.22,9.9597070829538123e-10,9.1390806610018771e-10,8.2701447701427495e-10,6.4503299425694396e-10,5.658876864321794e-10,5.5343683596257826e-10,5.705492614127193e-10
0.2225,9.8205810251956612e-10,8.9571300764748797e-10,8.0546136266858876e-10,6.13847543523786e-10,5.2434884528337799e-10,5.0443541300527237e-10,5.2036374017015153e-10
0.225,9.6404083272253231e-10,8.7279317692067453e-10,7.7871478668449501e-10,5.7658378472482441e-10,4.7544213525571881e-10,4.4640273062769897e-10,4.593933988463495e-10
0.2275,9.4411541912778138e-10,8.4748090348754787e-10,7.4928350957347408e-10,5.3638489394531985e-10,4.2298286108689867e-10,3.8376299000573289e-10,3.9224255807497216e-10
0.23,9.2475345564741681e-10,8.2243459535555689e-10,7.2003178430520534e-10,4.9678104719056867e-10,3.7122364128494233e-10,3.2145605152872875e-10,3.2415893135366912e-10
0.2325,9.0840971244769125e-10,8.003294143460232e-10,6.9384587292099895e-10,4.6130392321254305e-10,3.244107576230812e-10,2.6443592910383633e-10,2.6051331800947626e-10
0.235,8.9721750840202427e-10,7.8352700563266369e-10,6.7327912408085066e-10,4.3306832830816216e-10,2.8630499934264295e-10,2.1713383747991708e-10,2.0622322941971342e-10
0.2375,8.9270102481406039e-10,7.7378361927444037e-10,6.6027204800321461e-10,4.1445483867726029e-10,2.5981439846153822e-10,1.830404179235578e-10,1.6529640072320817e-10
0.24,8.9583517286791756e-10,7.7220742934451043e-10,6.5602356306658043e-10,4.0696749130130656e-10,2.4685706578517035e-10,1.6455387758513805e-10,1.4065062244771816e-10
0.2425,9.0665959915299376e-10,7.7902984138261095e-10,6.6084594972927071e-10,4.1096728161336839e-10,2.4792750069888451e-10,1.6242041419576009e-10,1.3346698450559732e-10
0.245,9.2448959363470773e-10,7.9360329191357968e-10,6.7407395649124221e-10,4.2561166039071312e-10,2.6208773667649659e-10,1.7573338317708956e-10,1.4316698778254515e-10
0.2475,9.4786664263740612e-10,8.1443598527667468e-10,6.9412657843085557e-10,4.4892035576684323e-10,2.8699844970780792e-10,2.0193254308988824e-10,1.6735248770034564e-10
0.25,9.7478059521493097e-10,8.3939608060429569e-10,7.1870704858890255e-10,4.7803118712036455e-10,3.1922330724619644e-10,2.3713045414268359e-10,2.0210398609348203e-10
0.2525,1.0031495684619234e-09,8.6615574390365565e-10,7.4523478881417161e-10,5.0971406857176951e-10,3.5485243749211715e-10,2.7682095404753978e-10,2.4270792598477743e-10
0.255,1.0310193101490295e-09,8.9259451710924735e-10,7.7153886617916159e-10,5.4128944549790597e-10,3.9058648757219344e-10,3.171368397674015e-10,2.8506599212263014e-10
0.2575,1.0568158513623326e-09,9.169105536066282e-10,7.9562435722203589e-10,5.7024641629943832e-10,4.2331638772173107e-10,3.54378547872469e-10,3.2512745704336062e-10
0.26,1.079451052611009e-09,9.378165750457521e-10,8.1609969842569643e-10,5.9482508058201018e-10,4.508119973919204e-10,3.8581920185550417e-10,3.5981599026194099e-10
0.2625,1.0983237574295654e-09,9.5454401727872345e-10,8.3209755704557404e-10,6.1395473124279835e-10,4.7171508075146143e-10,4.0973984209023907e-10,3.8707430372820581e-10
0.265,1.1134037842450636e-09,9.669843479092843e-10,8.4351503013697737e-10,6.2752172280002047e-10,4.8581905246258791e-10,4.2573407595829163e-10,4.0618888148951906e-10
0.2675,1.12514649364945e-09,9.7554385737532133e-10,8.5072149840039523e-10,6.359888614665972e-10,4.9367602339586112e-10,4.3432994403705987e-10,4.1744113628533264e-10
0.27,1.1342974924388108e-09,9.8099196272094444e-10,8.5451712993837804e-10,6.4035380330184934e-10,4.9651403261950568e-10,4.3688877938613683e-10,4.2203449237307637e-10
0.2725,1.1417097432133467e-09,9.8428631314745989e-10,8.5594416478758962e-10,6.4189642886521423e-10,4.9592789827779189e-10,4.3526206624242673e-10,4.2177427364904402e-10
