Physical Time (s),massspec_vol Monitor (N): cv1,massspec_vol Monitor (N): cv2,massspec_vol Monitor (N): cv3,massspec_vol Monitor (N): cv4,massspec_vol Monitor (N): cv5,massspec_vol Monitor (N): cv6,massspec_vol Monitor (N): cv7
0.2125,1.3569045091643411e-11,2.0151773720795333e-11,2.0511781318438204e-11,2.0515592870438128e-11,2.0511701540941248e-11,2.0518396443092034e-11,2.0523017761148184e-11
0.215,1.3540169290050581e-11,2.0091061987577522e-11,2.0483598568347378e-11,2.0482353515672114e-11,2.0484123233014509e-11,2.0490561747217356e-11,2.048740459133527e-11
0.2175,1.3489605788949171e-11,2.0007642423518486e-11,2.0431363907652496e-11,2.0434632581168147e-11,2.0439343361176561e-11,2.0443389642175372e-11,2.0430497042991976e-11
0.22,1.3453516415992347e-11,1.9934369512863445e-11,2.0392725909497291e-11,2.039479227178056e-11,2.0397428456058141e-11,2.0389924901223942e-11,2.0387997509750031e-11
0.2225,1.3423021532739734e-11,1.9862870400350711e-11,2.0354764647526173e-11,2.0356423029978403e-11,2.0355769118823272e-11,2.0360308357413548e-11,2.0353504149160335e-11
0.225,1.3380733882414648e-11,1.9778683211037734e-11,2.0306600673646699e-11,2.0306923893103443e-11,2.031226699653638e-11,2.0306831310757479e-11,2.0313878414883117e-11
0.2275,1.3339864680100489e-11,1.9692228289732878e-11,2.0260989837249584e-11,2.0256481303119289e-11,2.0254519758775185e-11,2.0256740044595754e-11,2.0258057581545843e-11
0.23,1.3304206431654926e-11,1.961110178215363e-11,2.02144971445745e-11,2.0214731020180572e-11,2.0214387362734011e-11,2.0211295414360756e-11,2.0216675594532029e-11
0.2325,1.3270357462870566e-11,1.9531017852606275e-11,2.0175663421441652e-11,2.0173755658233748e-11,2.0173444073975933e-11,2.0171841604868695e-11,2.0173680807591242e-11
0.235,1.3236990476112398e-11,1.9445843952384938e-11,2.0131812205627841e-11,2.013036744173475e-11,2.0130553306924118e-11,2.0130922130232448e-11,2.0126238428426045e-11
0.2375,1.3190624353195475e-11,1.9348607889316682e-11,2.0080655125391912e-11,2.0082284373148364e-11,2.0086677502539638e-11,2.008908080340287e-11,2.0095676728547017e-11
0.24,1.3154754885287886e-11,1.9257316216992363e-11,2.0032824207639064e-11,2.0033370201959906e-11,2.0033854409454037e-11,2.0033410895235293e-11,2.0034366810924556e-11
0.2425,1.310976243122193e-11,1.9153293517093226e-11,1.9979440426870586e-11,1.9980769086587586e-11,1.9980679415863925e-11,1.9977402064071017e-11,1.9974949538935974e-11
