Physical Time (s),enth_flux_viscous_left Monitor (kg-m/s^3)
1.9925,2.2831486113350085e-08
1.995,2.2728470397433779e-08
1.9975,2.2627515418667908e-08
2.0,2.2528830428830958e-08
2.0025,2.2432651228395821e-08
2.005,2.2339231983761783e-08
2.0075,2.224881416384381e-08
2.01,2.2161593051518737e-08
2.0125,2.2077695479438323e-08
2.015,2.1997202098630733e-08
2.0175,2.192016549717974e-08
2.02,2.1846624979861653e-08
2.0225,2.177661661647539e-08
2.025,2.1710172219444206e-08
2.0275,2.1647285938737006e-08
2.03,2.1587906597050371e-08
2.0325,2.1531974332835928e-08
2.035,2.1479454675973084e-08
2.0375,2.1430326400646225e-08
2.04,2.1384460518257012e-08
2.0425,2.1340457238902713e-08
2.045,2.1297611915452512e-08
2.0475,2.1256427947985082e-08
2.05,2.1216991570595008e-08
2.0525,2.1179125926169589e-08
2.055,2.1142841926899696e-08
2.0575,2.1107680783554826e-08
2.06,2.1073660088933316e-08
2.0625,2.1040724249685597e-08
2.065,2.1008101889849868e-08
2.0675,2.0976038252872678e-08
2.07,2.0944306880928913e-08
2.0725,2.0912740239609692e-08
2.075,2.0881091029299527e-08
2.0775,2.0849249868070394e-08
2.08,2.0816962423444689e-08
2.0825,2.0783960108724348e-08
2.085,2.0749882705431597e-08
2.0875,2.0714642924574098e-08
2.09,2.0678136355364933e-08
2.0925,2.0640227491516048e-08
2.095,2.0600796612125417e-08
2.0975,2.0559708575833174e-08
2.1,2.0516849000534186e-08
2.1025,2.0472140816317429e-08
2.105,2.0425599649122741e-08
