Physical Time (s),ep_right Monitor (kg-m/s^3): right_cv1,ep_right Monitor (kg-m/s^3): right_cv2,ep_right Monitor (kg-m/s^3): right_cv3,ep_right Monitor (kg-m/s^3): right_cv4,ep_right Monitor (kg-m/s^3): right_cv5,ep_right Monitor (kg-m/s^3): right_cv6,ep_right Monitor (kg-m/s^3): right_cv7
0.2525,1.4981760438966063e-05,-5.3854385687705875e-07,1.8831428572086187e-08,1.0366985202586031e-10,-1.504488055784029e-08,-1.0603741430422966e-08,7.0354465031256209e-09
0.255,1.5718765185220197e-05,-6.1416871748887036e-07,7.2759315324566413e-09,2.6770463975270481e-09,-1.1105201757498122e-08,-1.1646457704093711e-08,1.5842902746398495e-09
0.2575,1.6505462651689249e-05,-6.7600070658522384e-07,-5.2424044588619041e-09,4.4489792673554518e-09,-5.8963002037311943e-09,-1.1956635093448429e-08,-6.4988823490026726e-10
0.26,1.7374536954622567e-05,-7.2127898283655459e-07,-1.8829295109132308e-08,4.5145602976594129e-09,-4.8771857373016558e-10,-1.1096315352231923e-08,-6.7388183039840486e-11
0.2625,1.8289531848181907e-05,-7.4858439751645426e-07,-3.2596129520138648e-08,2.3138871459653303e-09,3.7681771265777652e-09,-8.8238963659058769e-09,2.2234573074970436e-09
0.265,1.9255942781501093e-05,-7.5848557189508585e-07,-4.5886330195316359e-08,-2.2107393100070192e-09,6.0260494391586654e-09,-5.2297304333424019e-09,4.7688623659779708e-09
0.2675,2.0240572855994624e-05,-7.5432165046076294e-07,-5.7359635207596425e-08,-8.4831577220165928e-09,5.8145634823106906e-09,-9.8683382366676287e-10,6.2954162770998205e-09
0.27,2.1238183840621239e-05,-7.4035909126626161e-07,-6.6160480698527398e-08,-1.5633643507242701e-08,3.2847024484546889e-09,3.0113011024370144e-09,6.1238266371551384e-09
0.2725,2.2205294935198204e-05,-7.2346870970746514e-07,-7.1441269905142578e-08,-2.2312413092291576e-08,-7.8559228846771103e-10,5.753836921018919e-09,4.3286498125210266e-09
0.275,2.3148838327912192e-05,-7.0603055289146456e-07,-7.3327176616870639e-08,-2.7808916574797935e-08,-5.5023636376589884e-09,6.7987068212480095e-09,1.5996972185558138e-09
0.2775,2.404667761190568e-05,-6.9230042307615787e-07,-7.2020040434362458e-08,-3.1622821180192949e-08,-1.0001758769642778e-08,6.1581186495060543e-09,-1.1496571603759382e-09
0.28,2.4927252655733307e-05,-6.820062726182128e-07,-6.7558234896001342e-08,-3.3730244751109004e-08,-1.3927025487612081e-08,4.1784298757972304e-09,-3.1457043165844648e-09
0.2825,2.5758482335651335e-05,-6.7995747299561708e-07,-6.0420872747150989e-08,-3.3842815290652465e-08,-1.6738466281682597e-08,1.4758200747213303e-09,-3.9725064550679099e-09
0.285,2.6575566295850222e-05,-6.847151453324063e-07,-5.0788110860618145e-08,-3.1877567519477763e-08,-1.8341380699944949e-08,-1.4389657731961308e-09,-3.6415788108368934e-09
0.2875,2.7336852683894596e-05,-6.9721043072238496e-07,-4.0177371032632525e-08,-2.8038008579623632e-08,-1.8501148645037098e-08,-3.9402643689579456e-09,-2.7073473834541458e-09
0.29,2.8067258281930634e-05,-7.1393727512715496e-07,-2.9612136171586754e-08,-2.2759701524907069e-08,-1.728754503815401e-08,-5.7866670782689071e-09,-1.8753746067158754e-09
0.2925,2.8749815728273905e-05,-7.3333384771441755e-07,-2.0377325901580207e-08,-1.6941830011521388e-08,-1.4987758628494348e-08,-6.889455022276399e-09,-1.7724705807473319e-09
0.295,2.9410295409626107e-05,-7.5427089955036804e-07,-1.249257697928127e-08,-1.1067878470574543e-08,-1.1900974114141763e-08,-7.4122166499953587e-09,-2.6639234162955659e-09
0.2975,3.0054639822413374e-05,-7.773203782226826e-07,-5.7818025829515313e-09,-5.50067138591034e-09,-8.3436263774342401e-09,-7.5108376269697984e-09,-4.5565134502738202e-09
