Physical Time (s),ev_right Monitor (kg-m/s^3): right_cv1,ev_right Monitor (kg-m/s^3): right_cv2,ev_right Monitor (kg-m/s^3): right_cv3,ev_right Monitor (kg-m/s^3): right_cv4,ev_right Monitor (kg-m/s^3): right_cv5,ev_right Monitor (kg-m/s^3): right_cv6,ev_right Monitor (kg-m/s^3): right_cv7
0.3,7.547943367597844e-06,1.1492145621063982e-06,3.7329306547760022e-08,2.0792915407992045e-09,4.7304137261188074e-10,5.8873372778280494e-11,4.0742474673755751e-14
0.3025,7.3886628962121455e-06,1.1431249437908915e-06,3.8132503233870295e-08,2.1210943307095392e-09,4.7807847731418066e-10,5.9776647747314291e-11,1.3543455778729176e-13
0.305,7.2301394943219097e-06,1.1361763290621902e-06,3.8947453524994713e-08,2.1711093934947276e-09,4.8759945833105199e-10,6.2410581625780319e-11,2.3272217798231158e-13
0.3075,7.0728388130880266e-06,1.1285605223948845e-06,3.9777033914446844e-08,2.2293539828219878e-09,5.0149082248265153e-10,6.6864288682963207e-11,2.5555726850508109e-13
0.31,6.9170464131025085e-06,1.1205883965358548e-06,4.0624559898091819e-08,2.2947626021452975e-09,5.1918866759077734e-10,7.3045742253882028e-11,1.7549175135114232e-13
0.3125,6.7630548905790039e-06,1.1126062304164458e-06,4.1495019300770353e-08,2.3658250087359156e-09,5.3970665592412337e-10,8.0707074829152071e-11,6.9054152538521517e-14
0.315,6.6111519240830389e-06,1.1049094182124201e-06,4.239766445216095e-08,2.4411932639742136e-09,5.618204553842258e-10,8.9493172441975877e-11,1.3774697501778952e-13
0.3175,6.4615020235100622e-06,1.0977895862377368e-06,4.3337958740912762e-08,2.5197477666249434e-09,5.842725395033153e-10,9.893407374503224e-11,6.467349736672267e-13
0.32,6.3142633434538855e-06,1.0915098690551651e-06,4.4315255882852027e-08,2.6006868270710868e-09,6.0606101410834639e-10,1.0850120918088106e-10,1.8199668128360778e-12
0.3225,6.1694258673324821e-06,1.0862206607300067e-06,4.5332767629757318e-08,2.6835200344772575e-09,6.2641515168770291e-10,1.1754772611264095e-10,3.7331735862938778e-12
0.325,6.0269179271750921e-06,1.0820489097547574e-06,4.6387478590659894e-08,2.7678134960989071e-09,6.4482136935650824e-10,1.2541277533696943e-10,6.2700007562657334e-12
0.3275,5.8867288967478781e-06,1.0790920965809224e-06,4.7472545898079125e-08,2.8531875773222482e-09,6.610072659468756e-10,1.3155220616140783e-10,9.1472212865068721e-12
0.33,5.7488254191062636e-06,1.0774252015773682e-06,4.8579882748711782e-08,2.9392482385455607e-09,6.7492411665311736e-10,1.3564856669353824e-10,1.1983853925259674e-11
