Physical Time (s),etp_bot Monitor (kg-m/s^3): bot_cv1,etp_bot Monitor (kg-m/s^3): bot_cv2,etp_bot Monitor (kg-m/s^3): bot_cv3,etp_bot Monitor (kg-m/s^3): bot_cv4,etp_bot Monitor (kg-m/s^3): bot_cv5,etp_bot Monitor (kg-m/s^3): bot_cv6,etp_bot Monitor (kg-m/s^3): bot_cv7
0.3325,2.7487506773072005e-08,3.2979341771830272e-08,2.5623093346779455e-08,5.5422898766865653e-09,-1.0502325588127154e-08,-3.1193955194227967e-08,-4.7121705699578254e-08
0.335,3.669189640361179e-08,4.0340279161890233e-08,2.8888919949490389e-08,6.0785183209575552e-09,-1.151166207387314e-08,-3.3689242680100504e-08,-4.9537310566406678e-08
0.3375,4.8072523920916203e-08,4.905743785924669e-08,3.2064925622506452e-08,6.1363866050322396e-09,-1.2896893125881519e-08,-3.6063065966952716e-08,-5.1129569470419421e-08
0.34,6.1053206787495998e-08,5.8716540044037046e-08,3.4981044452025447e-08,5.6886141975799127e-09,-1.4610368126325827e-08,-3.8184093858469242e-08,-5.1852696220819455e-08
0.3425,7.543575058578069e-08,6.9223052091632263e-08,3.7675823046270842e-08,4.8049771331922698e-09,-1.6559250644536754e-08,-3.9955646027783412e-08,-5.172657290359293e-08
0.345,9.0635851796951258e-08,8.0196760014546537e-08,4.0158092760677909e-08,3.6423459211114259e-09,-1.8544714652956331e-08,-4.1210795500803487e-08,-5.0774095454132442e-08
0.3475,1.0561671456320996e-07,9.1032447799912714e-08,4.2653922934050853e-08,2.7451763731810566e-09,-1.9988978550460859e-08,-4.1491429109585541e-08,-4.8791672422408031e-08
0.35,1.2079875784963126e-07,1.0199020779311412e-07,4.5266530920239695e-08,2.2051648750446559e-09,-2.0765017524808402e-08,-4.062230539870353e-08,-4.5599617584115864e-08
0.3525,1.357229036251623e-07,1.1277594225068544e-07,4.8107619083682531e-08,2.3865018682829094e-09,-2.0441741942945352e-08,-3.8200246947012723e-08,-4.0877095279956595e-08
0.355,1.5000496300884591e-07,1.232564931240787e-07,5.1520392567097154e-08,3.8917777210065987e-09,-1.8343172396848299e-08,-3.3585009678205555e-08,-3.4027492421553596e-08
0.3575,1.6332171165869665e-07,1.3337319416781626e-07,5.5963245320990823e-08,7.4099405934416248e-09,-1.371381198666371e-08,-2.6064896884908418e-08,-2.4354604187150912e-08
0.36,1.7537163236771109e-07,1.4302666710870613e-07,6.1769197602165227e-08,1.3451801715569807e-08,-6.0013585907059182e-09,-1.5142993254972885e-08,-1.1364531950572325e-08
0.3625,1.8586322190682271e-07,1.5206486873461423e-07,6.9126295447803374e-08,2.2336029360583972e-08,5.1179837591343244e-09,-5.6744329094406478e-10,5.186208060197008e-09
