Physical Time (s),aphi_alt_flux_left Monitor (kg-m/s^3)
1.3475,-2.8688383496846208e-08
1.35,-2.8203181995760448e-08
1.3525,-2.7722457867406944e-08
1.355,-2.7254319538192293e-08
1.3575,-2.6797028669591986e-08
1.36,-2.634718580737728e-08
1.3625,-2.5902315526778505e-08
1.365,-2.5467741103696632e-08
1.3675,-2.5040457423962425e-08
1.37,-2.4624795891709496e-08
1.3725,-2.4217967037768903e-08
1.375,-2.3822334982496723e-08
1.3775,-2.3434819686763183e-08
1.38,-2.3055723841981788e-08
1.3825,-2.2688496675145845e-08
1.385,-2.2332735164834567e-08
1.3875,-2.1987970420568377e-08
1.39,-2.1648646826592117e-08
1.3925,-2.1320960743059021e-08
1.395,-2.100477749355694e-08
1.3975,-2.0697281755722002e-08
1.4,-2.0397858674518845e-08
1.4025,-2.010700555451052e-08
1.405,-1.9827986672921983e-08
1.4075,-1.955347858115267e-08
1.41,-1.9287471568416035e-08
1.4125,-1.9034758146268369e-08
1.415,-1.8783886358592356e-08
1.4175,-1.8543265599567826e-08
1.42,-1.8309768196211326e-08
1.4225,-1.8086135125952033e-08
1.425,-1.7872332521754785e-08
1.4275,-1.7662868917629558e-08
1.43,-1.7454020527613466e-08
1.4325,-1.7257437065091812e-08
1.435,-1.7066921114144388e-08
1.4375,-1.6876244935279867e-08
1.44,-1.6694523819063246e-08
1.4425,-1.6518290193530944e-08
1.445,-1.6347336587808174e-08
1.4475,-1.6178471601538651e-08
1.45,-1.6018271584600278e-08
1.4525,-1.5866438721585236e-08
1.455,-1.5712502156472591e-08
1.4575,-1.556366065899349e-08
1.46,-1.5421979788060608e-08
1.4625,-1.5285894620774361e-08
1.465,-1.5148592606413083e-08
1.4675,-1.5015733729242803e-08
1.47,-1.4887953290231229e-08
1.4725,-1.4767797790827901e-08
1.475,-1.4649171202451827e-08
1.4775,-1.4532652857540659e-08
1.48,-1.4421189905324899e-08
1.4825,-1.4320915775201806e-08
1.485,-1.4220036870002253e-08
1.4875,-1.4121777396077348e-08
1.49,-1.4029550613186494e-08
1.4925,-1.3945837861566288e-08
1.495,-1.3865044019883287e-08
1.4975,-1.3790613482762954e-08
1.5,-1.3722910910827026e-08
1.5025,-1.3658649452130331e-08
1.505,-1.3603552650184037e-08
1.5075,-1.3554971100477072e-08
1.51,-1.3515942476734771e-08
1.5125,-1.3481293605778076e-08
1.515,-1.3452614028330526e-08
1.5175,-1.343147853116932e-08
1.52,-1.3419795198487558e-08
1.5225,-1.3415547035601559e-08
1.525,-1.342181292059675e-08
1.5275,-1.3435355045947251e-08
1.53,-1.3455738137171942e-08
1.5325,-1.3480052489343979e-08
1.535,-1.3508868836739634e-08
1.5375,-1.3542045347726943e-08
