Physical Time (s),aphi_alt_vol Monitor (kg-m/s^3): cv1,aphi_alt_vol Monitor (kg-m/s^3): cv2,aphi_alt_vol Monitor (kg-m/s^3): cv3,aphi_alt_vol Monitor (kg-m/s^3): cv4,aphi_alt_vol Monitor (kg-m/s^3): cv5,aphi_alt_vol Monitor (kg-m/s^3): cv6,aphi_alt_vol Monitor (kg-m/s^3): cv7
0.2375,5.2415077353847149e-05,0.00010081669077331303,0.00011736841490145993,0.00011789944637031497,0.00011812300200629379,0.00011829031232709001,0.00011836890434123797
0.24,5.2317221385071741e-05,0.00010041599620109924,0.00011756559170730065,0.00011810363439912582,0.00011832908354269181,0.00011849787254680503,0.00011857748065433341
0.2425,5.2218613180171942e-05,9.9994077243452091e-05,0.00011776070224360513,0.00011830595687036017,0.00011853329262390423,0.00011870353177758409,0.00011878408920219925
0.245,5.2117867995679844e-05,9.9549001817186204e-05,0.00011795359611674529,0.00011850630283791408,0.00011873552347723592,0.00011890718832725447,0.00011898863766906543
0.2475,5.2016125130398384e-05,9.9081879808260421e-05,0.00011814442108450625,0.00011870480402082609,0.00011893590707810464,0.00011910897561116504,0.00011919127230020942
0.25,5.1915160981916925e-05,9.8594940899592625e-05,0.00011833318682366604,0.00011890143273931664,0.00011913441510155402,0.0001193088720174829,0.00011939199473070897
0.2525,5.1815542675589969e-05,9.8089475450478957e-05,0.00011851978764022703,0.00011909608212524603,0.00011933095245493919,0.00011950680813854894,0.00011959079183639659
0.255,5.171369242060448e-05,9.7561729344834388e-05,0.00011870451154572572,0.00011928913642572214,0.00011952589924353561,0.00011970313678154138,0.00011978794676469381
0.2575,5.1610617071681142e-05,9.7013814005208563e-05,0.00011888765550905127,0.00011948089146609955,0.00011971955949565546,0.00011989818219796738,0.00011998382159423554
0.26,5.1504798919448453e-05,9.6445012343111914e-05,0.00011906932747121798,0.00011967151916302319,0.00011991211319545502,0.00012009213445482552,0.00012017861636080759
0.2625,5.1397649063174344e-05,9.5858482419286704e-05,0.00011924954271933242,0.00011986100955397114,0.00012010354795557241,0.00012028498309023537,0.00012037232653788667
0.265,5.1288139409201306e-05,9.5254633513841246e-05,0.00011942821068228677,0.00012004931619664584,0.00012029381730127987,0.00012047668712664226,0.0001205649139174945
0.2675,5.1177054737878728e-05,9.4636288791055109e-05,0.00011960528411603078,0.00012023638526217277,0.00012048286286258733,0.00012066717661545122,0.0001207562987676944
0.27,5.1063979104415452e-05,9.4004968830391214e-05,0.000119780641517854,0.00012042212667541614,0.00012067059239106713,0.00012085634953020641,0.00012094635805406161
0.2725,5.0951509436773549e-05,9.3366140359951974e-05,0.00011995390539300668,0.00012060607619763428,0.0001208565355890831,0.00012104373183439556,0.00012113459306153632
0.275,5.0839474574650484e-05,9.2722025831426663e-05,0.00012012464862526315,0.00012078780823558573,0.000121040261912697,0.00012122889020186161,0.00012132055739040324
0.2775,5.0728319419648432e-05,9.2075772398215444e-05,0.0001202925247100416,0.00012096695789860769,0.00012122140324369084,0.00012141145822451324,0.00012150388821870065
0.28,5.0614224664036452e-05,9.1424086182219643e-05,0.00012045843315508201,0.00012114463515884352,0.00012140108540574573,0.00012159257123957829,0.00012168573023043261
0.2825,5.0498286305446978e-05,9.0770646717316228e-05,0.00012062236878301843,0.00012132081960660578,0.00012157928519177805,0.00012177220607293949,0.00012186606718871648
0.285,5.0377333351782954e-05,9.0113418882950389e-05,0.00012078493490680246,0.00012149632821563595,0.00012175683451392715,0.00012195120250507887,0.00012204574872317798
0.2875,5.0254136634167092e-05,8.9458066424140612e-05,0.00012094578153363802,0.00012167071549293028,0.00012193327939945613,0.00012212910426736089,0.00012222432454788435
0.29,5.0129276280683993e-05,8.8807342535246971e-05,0.00012110458314005789,0.00012184365686503458,0.00012210829420979875,0.00012230558639986152,0.00012240147661631828
0.2925,5.0006019529669388e-05,8.8167319477612427e-05,0.00012126046658250854,0.00012201409742454982,0.00012228081146947069,0.00012247957736526326,0.00012257614286646028
0.295,4.9883723717527628e-05,8.7538960678763619e-05,0.00012141320697552754,0.00012218185556940212,0.00012245065291260568,0.00012265090192743589,0.00012274815393235764
0.2975,4.9760547458342763e-05,8.6921013812780486e-05,0.00012156342900884176,0.0001223477140560952,0.00012261860666522935,0.00012282034412099054,0.00012291827679354424
0.3,4.9633147992516364e-05,8.6310013768415599e-05,0.00012171245121881592,0.00012251332027092438,0.00012278634101982921,0.00012298958732327121,0.00012308820662376279
0.3025,4.9502642590428372e-05,8.5708576022320866e-05,0.00012186016855584792,0.00012267856412135879,0.00012295373608856925,0.0001231584965651767,0.00012325778334357129
0.305,4.937071021793583e-05,8.5119782760464461e-05,0.00012200605414100002,0.00012284284508417472,0.00012312018373686269,0.0001233264588232494,0.00012342639176709017
0.3075,4.9236729168230103e-05,8.4543670995647439e-05,0.00012215010234299545,0.00012300627759507978,0.00012328580434671439,0.00012349360324821136,0.00012359417227441596
0.31,4.9101567567960806e-05,8.398186475599299e-05,0.00012229208899743618,0.00012316863022382403,0.00012345036055014683,0.00012365968319349942,0.000123760867518591
0.3125,4.8966386741161636e-05,8.3436191681966054e-05,0.00012243159805164954,0.00012332943369355981,0.0001236133806875324,0.00012382422810915751,0.00012392601160297889
0.315,4.8830457042929942e-05,8.2906084770073985e-05,0.00012256868499940289,0.00012348887982027441,0.00012377506142855404,0.00012398743940779004,0.00012408980860184528
0.3175,4.8694663926037599e-05,8.2392778847475439e-05,0.00012270305177836639,0.00012364663941070991,0.00012393507288588975,0.00012414899201432152,0.00012425194229196025
0.32,4.8560976458367731e-05,8.1898878326174183e-05,0.00012283375388746863,0.00012380154848265596,0.00012409224047800271,0.00012430770892942237,0.00012441123937242051
0.3225,4.8427357290431618e-05,8.1421848679344146e-05,0.00012296136737468993,0.0001239544866555372,0.00012424745776763222,0.00012446449356551904,0.00012456861303799833
0.325,4.8293412601056423e-05,8.0961090932015796e-05,0.00012308615107239253,0.00012410585032530225,0.00012440112608351684,0.00012461975183528277,0.00012472447521323261
0.3275,4.815909661682264e-05,8.0516412004078477e-05,0.0001232081287549843,0.00012425575614025751,0.00012455336457553123,0.0001247736059968756,0.00012487895398393737
0.33,4.8024394645937416e-05,8.0087627911881393e-05,0.00012332723425823256,0.0001244042237560921,0.0001247041903783681,0.00012492606612813257,0.00012503204658923607
0.3325,4.7889250214794185e-05,7.9674467465429535e-05,0.00012344343611086429,0.00012455133066925021,0.00012485368420348873,0.00012507721607855825,0.00012518384483446279
0.335,4.775081918797432e-05,7.9273287337189535e-05,0.00012355789402565832,0.00012469892463023692,0.00012500371103522497,0.00012522892047570281,0.00012533619991504836
0.3375,4.7609207416130662e-05,7.8884119037270166e-05,0.00012367050845807324,0.00012484711836630288,0.00012515438309040563,0.00012538128625819376,0.00012548921117498416
0.34,4.7466644239068576e-05,7.8509264212380534e-05,0.00012378031476307171,0.00012499468159377298,0.00012530445600119727,0.00012553306266625691,0.00012564162780183034
0.3425,4.7323512643242229e-05,7.8148891727944643e-05,0.00012388684069363396,0.00012514120225797331,0.00012545351374780952,0.00012568382899637754,0.00012579302376873803
0.345,4.7180962451766016e-05,7.7803949346562707e-05,0.00012398953647008962,0.00012528600091305382,0.00012560087299149885,0.00012583290200369367,0.00012594271839219703
0.3475,4.7042167339116855e-05,7.7477708688959774e-05,0.0001240868549007143,0.00012542672187089551,0.0001257441553519184,0.00012597789932555,0.0001260883372602557
0.35,4.6904163799816386e-05,7.7166418107914948e-05,0.00012417976461697824,0.00012556517776940898,0.00012588519267436231,0.00012612065617681313,0.00012623170748871223
0.3525,4.6766360122009896e-05,7.6868972462868271e-05,0.00012426870967507467,0.00012570216346568665,0.00012602478839449262,0.00012626198241769677,0.00012637364662470557
0.355,4.6628637189493648e-05,7.6584815473201563e-05,0.00012435377010372678,0.00012583797989861793,0.00012616324532967584,0.00012640218036171231,0.00012651445389731466
0.3575,4.6490986212029166e-05,7.6313516768179707e-05,0.00012443489594984281,0.00012597277484231105,0.00012630071398578096,0.00012654140351155211,0.00012665428765792962
0.36,4.6353429443242077e-05,7.6054674667571376e-05,0.00012451198231290352,0.0001261066411183707,0.00012643728884730723,0.00012667974783093711,0.00012679324599306697
0.3625,4.6216002035848262e-05,7.5807895976417422e-05,0.00012458490402259586,0.00012623966150354768,0.00012657305494414179,0.00012681730120359144,0.00012693142132977434
0.365,4.6078756319923588e-05,7.5572802913360717e-05,0.00012465350527716561,0.00012637189031448751,0.00012670806671503357,0.00012695411672687397,0.00012706886275924939
0.3675,4.5941744304830096e-05,7.5349017122457491e-05,0.00012471761684588152,0.00012650338189791569,0.00012684237932864006,0.00012709024951444855,0.00012720562453921182
0.37,4.5805015545591669e-05,7.5136159192597805e-05,0.000124777058183802,0.00012663419599159752,0.0001269760547995089,0.00012722576404946195,0.0001273417759117516
0.3725,4.5666240988082476e-05,7.4931305308897865e-05,0.00012483245679961919,0.000126766620887756,0.00012711140634320822,0.00012736297883873891,0.00012747963397563068
0.375,4.5529641928301135e-05,7.4738546285316152e-05,0.00012488218259840568,0.00012689695238799398,0.0001272446871349657,0.00012749813095955896,0.00012761542506973929
0.3775,4.5393836887118467e-05,7.4555993670240471e-05,0.00012492623948224179,0.00012702616051923498,0.00012737688268067609,0.00012763221341723419,0.00012775015110169468
0.38,4.5258533484086564e-05,7.438290786741576e-05,0.00012496452723370752,0.00012715464304805007,0.00012750839435113625,0.00012776562611344455,0.00012788420729105816
0.3825,4.5123664823838039e-05,7.4218798156750273e-05,0.00012499679537488983,0.00012728252671328119,0.00012763935009896965,0.00012789849487992029,0.0001280177147988827
0.385,4.4989226249225618e-05,7.4063247687944657e-05,0.00012502268941048177,0.00012740982147955404,0.00012776976155382913,0.00012803083147993547,0.00012815068632219637
0.3875,4.4855238221542038e-05,7.3915872233991142e-05,0.00012504175177920887,0.0001275364821946073,0.00012789958687192609,0.00012816259813189186,0.00012828309309324793
0.39,4.4721689177847651e-05,7.3776257545401082e-05,0.00012505341422883011,0.00012766244121137943,0.00012802875806228528,0.00012829372299712289,0.00012841485619507727
