Physical Time (s),ea_bot Monitor (kg-m/s^3): bot_cv1,ea_bot Monitor (kg-m/s^3): bot_cv2,ea_bot Monitor (kg-m/s^3): bot_cv3,ea_bot Monitor (kg-m/s^3): bot_cv4,ea_bot Monitor (kg-m/s^3): bot_cv5,ea_bot Monitor (kg-m/s^3): bot_cv6,ea_bot Monitor (kg-m/s^3): bot_cv7
0.2375,1.720053755424359e-11,-8.0750648423370623e-12,-1.342091625543029e-11,-1.3679747056983323e-11,-1.3867522872155686e-11,-1.3972307775126209e-11,-1.4027997186451473e-11
0.24,1.7459424263254803e-11,-8.5174819554246978e-12,-1.3893973955862287e-11,-1.4200331727746723e-11,-1.440389623989865e-11,-1.4496813807199031e-11,-1.456034173708957e-11
0.2425,1.8323348631691676e-11,-8.2581349218043243e-12,-1.3647748776217955e-11,-1.4018359065837048e-11,-1.4248577138859049e-11,-1.4334827332225356e-11,-1.4394706072400388e-11
0.245,1.9766382704079774e-11,-7.3423992535016149e-12,-1.2752035444464566e-11,-1.3199641618190468e-11,-1.346694406916809e-11,-1.3553742585012523e-11,-1.3601460118993471e-11
0.2475,2.1697404930405823e-11,-5.8817318361484144e-12,-1.1339779558196475e-11,-1.1868924977102413e-11,-1.2181141706399901e-11,-1.2276084179363863e-11,-1.230830834043564e-11
0.25,2.3961163762408448e-11,-4.0532324972129796e-12,-9.60284526954897e-12,-1.0207290095052057e-11,-1.0567492015437641e-11,-1.0677287679945929e-11,-1.069570110348479e-11
0.2525,2.6369056466139349e-11,-2.0700401506074878e-12,-7.7626486963914616e-12,-8.4258678211336951e-12,-8.831133410997019e-12,-8.9606823956605914e-12,-8.9699942693451234e-12
0.255,2.8747852670585175e-11,-1.3412579959711534e-13,-6.0274638190864337e-12,-6.7251300147156243e-12,-7.1667093963700026e-12,-7.3184537691607821e-12,-7.323981606904444e-12
0.2575,3.0921333511384563e-11,1.5581673628193052e-12,-4.5953805520982758e-12,-5.3003667808530595e-12,-5.7655695106002854e-12,-5.9389915058608044e-12,-5.9449123032857816e-12
0.26,3.2764856358116353e-11,2.861178655634351e-12,-3.6096803980568726e-12,-4.2966563660674578e-12,-4.7711347100155925e-12,-4.9629818838759256e-12,-4.9717120937642566e-12
0.2625,3.4212854544155684e-11,3.7014344677700594e-12,-3.1352995729057236e-12,-3.7847857667669999e-12,-4.2549577122496439e-12,-4.4601301713538783e-12,-4.4725943677728561e-12
0.265,3.52756494195933e-11,4.0858789870849526e-12,-3.1521005531849436e-12,-3.7521522625332225e-12,-4.206684341092418e-12,-4.4192145286459657e-12,-4.4355562048972969e-12
0.2675,3.6019732643555515e-11,4.0871008557174796e-12,-3.5719351393685811e-12,-4.1184221476961644e-12,-4.5491790328269252e-12,-4.7630423174507418e-12,-4.7832568879585402e-12
0.27,3.6549504719015313e-11,3.8184329860420893e-12,-4.265407242659807e-12,-4.7609759485768352e-12,-5.1634077086400784e-12,-5.3728740834824519e-12,-5.3970788450344178e-12
0.2725,3.697771480394835e-11,3.4083598838090617e-12,-5.0904228774796173e-12,-5.5425983403445696e-12,-5.9158429123779533e-12,-6.1159281671283182e-12,-6.1442278012314444e-12
0.275,3.7418978995527141e-11,2.9854115792496848e-12,-5.9091717610793546e-12,-6.3282747006239138e-12,-6.6747136523145742e-12,-6.8615208184226759e-12,-6.8937005318674468e-12
0.2775,3.7970398287579133e-11,2.662359650124585e-12,-6.6046353369707427e-12,-7.0019677845594802e-12,-7.3263697904947871e-12,-7.4975734223581183e-12,-7.5328813314632957e-12
0.28,3.8721157351955643e-11,2.5322304379065902e-12,-7.0849382837140284e-12,-7.4719522540112819e-12,-7.7807098239161411e-12,-7.9357870839382738e-12,-7.9729411994327472e-12
0.2825,3.9716927145571532e-11,2.6494542291881538e-12,-7.3012508528946732e-12,-7.68864220200109e-12,-7.9889061373775227e-12,-8.1291469562412383e-12,-8.1665942919804463e-12
0.285,4.0991135206483256e-11,3.0437831249061493e-12,-7.2335548915159437e-12,-7.6310213804278424e-12,-7.9302898528326974e-12,-8.0585038868474452e-12,-8.094746357555128e-12
0.2875,4.2521186490906825e-11,3.6983541920376797e-12,-6.9093598573345684e-12,-7.3247324939169302e-12,-7.6300993373940934e-12,-7.7500634830098461e-12,-7.7839790193033622e-12
0.29,4.4259488733408212e-11,4.5678743944891201e-12,-6.3833685856721341e-12,-6.8219941335362281e-12,-7.1396202328223348e-12,-7.255548563205092e-12,-7.2865289329614698e-12
0.2925,4.6118623689062451e-11,5.5727988561267378e-12,-5.7403336548239296e-12,-6.2047070362880346e-12,-6.5392534586949393e-12,-6.6552550443017034e-12,-6.6832180460194804e-12
0.295,4.8014875807614302e-11,6.6292459162323224e-12,-5.0669170395858808e-12,-5.5569752966969161e-12,-5.9114653745041745e-12,-6.0313196212018637e-12,-6.0566349152451243e-12
0.2975,4.9869991871817275e-11,7.6541622802702588e-12,-4.4486434214996215e-12,-4.9624425814768002e-12,-5.3384258904390009e-12,-5.4655261725260868e-12,-5.4889672870624673e-12
0.3,5.1614418640134436e-11,8.5696308576461678e-12,-3.966397283506432e-12,-4.5009153775689773e-12,-4.8988690321837247e-12,-5.036317113089262e-12,-5.0590346507564582e-12
0.3025,5.3161821061773452e-11,9.2908814989798368e-12,-3.7029234303201932e-12,-4.2550065919496583e-12,-4.6747725605954895e-12,-4.8253968346515521e-12,-4.8489036863183416e-12
0.305,5.4443805335616721e-11,9.7518586122046287e-12,-3.7150861941938229e-12,-4.2822989900762733e-12,-4.7235966350469853e-12,-4.889956150142053e-12,-4.9161359093760128e-12
0.3075,5.5433764567622081e-11,9.9271152936696614e-12,-4.015713315481215e-12,-4.5970051822896597e-12,-5.0598111899552097e-12,-5.2442533056585155e-12,-5.2754083116864657e-12
0.31,5.6135053863193394e-11,9.8264237832863022e-12,-4.5823508311526262e-12,-5.1786421313796586e-12,-5.6634671588067507e-12,-5.8681318551285988e-12,-5.907000214911235e-12
0.3125,5.6575079266285992e-11,9.480055508534422e-12,-5.3739195685027289e-12,-5.9886390184048765e-12,-6.4968745656158635e-12,-6.7236662145456346e-12,-6.7733206510784646e-12
0.315,5.6799238370352231e-11,8.9285491270632634e-12,-6.3416252234689287e-12,-6.9811858959078253e-12,-7.5155643103043347e-12,-7.7661639323578143e-12,-7.8297205023649067e-12
0.3175,5.6860110148380515e-11,8.2212866969690759e-12,-7.431132280167204e-12,-8.1050264178279004e-12,-8.6700108286114267e-12,-8.9459684926096546e-12,-9.0260685231196808e-12
0.32,5.6814286216855092e-11,7.4151249950353158e-12,-8.5837554617185764e-12,-9.3041506996545468e-12,-9.9060778709061908e-12,-1.0209004219820139e-11,-1.0307200774632433e-11
0.3225,5.6721554636527338e-11,6.5649595260352816e-12,-9.7454506809750118e-12,-1.0527036335908172e-11,-1.1174080424952222e-11,-1.1505798418274412e-11,-1.162193262670019e-11
0.325,5.6632991952171549e-11,5.7210273785315604e-12,-1.0869181181242015e-11,-1.1728648193186251e-11,-1.243052527531297e-11,-1.2793144496359746e-11,-1.2924963795942616e-11
0.3275,5.6587351517905418e-11,4.9197146768742024e-12,-1.1925131170926272e-11,-1.2880473612491743e-11,-1.3647919326210565e-11,-1.4043783658062654e-11,-1.4186975861106944e-11
0.33,5.6610946744386608e-11,4.1834264828840007e-12,-1.2899969895875087e-11,-1.3969514695434548e-11,-1.481358161156112e-11,-1.52450605867216e-11,-1.5393773927608396e-11
0.3325,5.6720563290233631e-11,3.5266582196316031e-12,-1.3789343493540971e-11,-1.4990345035573972e-11,-1.5921479189339286e-11,-1.6390616308358839e-11,-1.6538372539604628e-11
0.335,5.6927879430446936e-11,2.9543037702574381e-12,-1.4600156299597625e-11,-1.5947143990555859e-11,-1.6974029391288308e-11,-1.7481891413520171e-11,-1.7622473245506953e-11
0.3375,5.7235175081442756e-11,2.4676862538417493e-12,-1.5344445851210406e-11,-1.6846946799484702e-11,-1.7974974040284196e-11,-1.8520909522988799e-11,-1.8649357530238404e-11
0.34,5.7638214623649227e-11,2.0649926892225608e-12,-1.6036428859287809e-11,-1.7697061049731783e-11,-1.8927212667657997e-11,-1.9508313047535696e-11,-1.9621677924091902e-11
0.3425,5.8135857760172293e-11,1.748410295570012e-12,-1.6683021698498632e-11,-1.849595718190567e-11,-1.9823700018420749e-11,-2.0434414683407332e-11,-2.0531811721117244e-11
0.345,5.8732988251571648e-11,1.5337934074339683e-12,-1.7274239773655859e-11,-1.9224572086354091e-11,-2.0639275944298383e-11,-2.1271376609536964e-11,-2.1353541360083306e-11
0.3475,5.9431491598088311e-11,1.4388109087308644e-12,-1.7793780638096758e-11,-1.9859200556849038e-11,-2.1345066583295002e-11,-2.1988173228560522e-11,-2.2056779189016293e-11
0.35,6.0241378373747314e-11,1.4710043735077644e-12,-1.8240184644108181e-11,-2.0391124796760812e-11,-2.1926968756246712e-11,-2.2568564481502737e-11,-2.2625466911747394e-11
0.3525,6.1174099618513797e-11,1.6445594218721244e-12,-1.8608745073594075e-11,-2.0809361085397089e-11,-2.2369585534113351e-11,-2.2995642096300079e-11,-2.304246834886505e-11
0.355,6.2246668342700457e-11,1.9809576292400716e-12,-1.8888083996911499e-11,-2.1097935538976134e-11,-2.2654164075382866e-11,-2.3250244802868303e-11,-2.3288342153290992e-11
