Physical Time (s),FreestreamTemperature Monitor (K)
2.365,299.99999999999761
2.3675,299.9999999999975
2.37,299.99999999999739
2.3725,299.99999999999721
2.375,299.9999999999971
2.3775,299.99999999999699
2.38,299.99999999999687
2.3825,299.99999999999665
2.385,299.99999999999648
2.3875,299.99999999999631
2.39,299.99999999999613
2.3925,299.99999999999596
2.395,299.99999999999579
2.3975,299.99999999999562
2.4,299.99999999999557
2.4025,299.99999999999545
2.405,299.99999999999534
2.4075,299.99999999999528
2.41,299.99999999999528
2.4125,299.99999999999523
2.415,299.99999999999511
2.4175,299.999999999995
2.42,299.99999999999483
2.4225,299.99999999999466
2.425,299.99999999999454
2.4275,299.99999999999449
2.43,299.99999999999437
2.4325,299.9999999999942
2.435,299.99999999999409
2.4375,299.99999999999397
2.44,299.99999999999386
2.4425,299.9999999999938
2.445,299.99999999999369
2.4475,299.99999999999352
2.45,299.99999999999341
2.4525,299.99999999999329
2.455,299.99999999999318
2.4575,299.99999999999307
2.46,299.99999999999295
2.4625,299.99999999999278
2.465,299.99999999999261
2.4675,299.9999999999925
2.47,299.99999999999238
2.4725,299.99999999999227
2.475,299.99999999999216
2.4775,299.99999999999204
2.48,299.99999999999193
2.4825,299.99999999999181
2.485,299.99999999999176
2.4875,299.99999999999164
2.49,299.99999999999153
2.4925,299.99999999999142
2.495,299.9999999999913
2.4975,299.99999999999125
2.5,299.99999999999125
2.5025,299.99999999999125
2.505,299.99999999999125
2.5075,299.99999999999125
2.51,299.99999999999113
2.5125,299.99999999999102
2.515,299.99999999999102
2.5175,299.99999999999113
2.52,299.99999999999125
2.5225,299.99999999999136
2.525,299.99999999999153
2.5275,299.99999999999164
2.53,299.99999999999181
2.5325,299.99999999999199
2.535,299.99999999999216
2.5375,299.99999999999227
2.54,299.99999999999238
2.5425,299.9999999999925
2.545,299.99999999999261
2.5475,299.99999999999284
2.55,299.99999999999307
2.5525,299.99999999999335
2.555,299.99999999999358
2.5575,299.9999999999938
2.56,299.99999999999409
2.5625,299.99999999999437
2.565,299.99999999999466
2.5675,299.99999999999494
2.57,299.99999999999517
2.5725,299.9999999999954
2.575,299.99999999999568
2.5775,299.99999999999591
2.58,299.99999999999613
2.5825,299.99999999999636
2.585,299.99999999999659
2.5875,299.99999999999682
2.59,299.99999999999704
2.5925,299.99999999999727
2.595,299.99999999999756
2.5975,299.99999999999784
2.6,299.99999999999812
2.6025,299.99999999999841
2.605,299.99999999999864
2.6075,299.99999999999892
2.61,299.99999999999909
2.6125,299.99999999999926
2.615,299.99999999999932
2.6175,299.99999999999943
2.62,299.99999999999949
2.6225,299.9999999999996
2.625,299.99999999999972
2.6275,299.99999999999977
2.63,299.99999999999989
2.6325,299.99999999999989
2.635,299.99999999999989
2.6375,299.99999999999994
2.64,299.99999999999994
2.6425,300
2.645,300.00000000000006
2.6475,300.00000000000006
2.65,299.99999999999994
2.6525,299.99999999999989
2.655,299.99999999999977
2.6575,299.99999999999977
2.66,299.99999999999977
2.6625,299.99999999999966
2.665,299.99999999999955
2.6675,299.99999999999949
2.67,299.99999999999943
2.6725,299.99999999999932
2.675,299.9999999999992
2.6775,299.99999999999903
2.68,299.99999999999886
2.6825,299.99999999999875
2.685,299.99999999999858
2.6875,299.99999999999835
2.69,299.99999999999807
2.6925,299.99999999999784
2.695,299.99999999999778
2.6975,299.99999999999773
2.7,299.99999999999744
2.7025,299.99999999999682
2.705,299.99999999999636
2.7075,299.99999999999613
2.71,299.99999999999591
2.7125,299.99999999999568
2.715,299.99999999999551
2.7175,299.99999999999528
2.72,299.99999999999505
2.7225,299.99999999999488
2.725,299.99999999999466
2.7275,299.99999999999443
2.73,299.9999999999942
2.7325,299.99999999999397
2.735,299.9999999999938
2.7375,299.99999999999358
2.74,299.99999999999341
2.7425,299.99999999999329
2.745,299.99999999999307
2.7475,299.99999999999278
2.75,299.99999999999255
2.7525,299.99999999999238
2.755,299.99999999999221
2.7575,299.99999999999204
2.76,299.99999999999187
2.7625,299.9999999999917
2.765,299.99999999999153
2.7675,299.99999999999136
2.77,299.99999999999113
2.7725,299.99999999999096
2.775,299.99999999999085
2.7775,299.99999999999073
