Physical Time (s),ep_left Monitor (kg-m/s^3)
1.8675,3.3378942688483111e-07
1.87,3.285312960036931e-07
1.8725,3.2326847720095983e-07
1.875,3.1802372849326832e-07
1.8775,3.1281361582647799e-07
1.88,3.0765258723381084e-07
1.8825,3.0255980165044602e-07
1.885,2.9754255960698325e-07
1.8875,2.9261028958854646e-07
1.89,2.8777354502455663e-07
1.8925,2.8304398143090738e-07
1.895,2.7843595492060092e-07
1.8975,2.7396513944745268e-07
1.9,2.6964580675692274e-07
1.9025,2.6549015483881462e-07
1.905,2.6150970932658845e-07
1.9075,2.5771607115674085e-07
1.91,2.5412173674130185e-07
1.9125,2.5073994813665268e-07
1.915,2.475823450992409e-07
1.9175,2.4465835712599334e-07
1.92,2.4197351758772148e-07
1.9225,2.395286318980772e-07
1.925,2.3731902137757569e-07
1.9275,2.3533873629509681e-07
1.93,2.3358316621287391e-07
1.9325,2.3205007195068652e-07
1.935,2.3073594849374337e-07
1.9375,2.2963402138873741e-07
1.94,2.2873071431199191e-07
1.9425,2.2800715912338647e-07
1.945,2.2744116500842845e-07
1.9475,2.2701215315155703e-07
1.95,2.2670365421363646e-07
1.9525,2.265037038520011e-07
1.955,2.2639293077604438e-07
1.9575,2.2635065510190156e-07
1.96,2.2635005688199561e-07
1.9625,2.2636468288143976e-07
1.965,2.2637201547998047e-07
1.9675,2.2635437370756407e-07
1.97,2.2630097711785185e-07
1.9725,2.2619991061952293e-07
1.975,2.2603738757257241e-07
1.9775,2.2579284284781219e-07
1.98,2.2546242577111261e-07
1.9825,2.2504057335566561e-07
1.985,2.2453026610736402e-07
1.9875,2.2393547892304466e-07
1.99,2.2326042714302007e-07
1.9925,2.2250774223701921e-07
1.995,2.2167762409621505e-07
1.9975,2.2076757233072276e-07
2.0,2.1978095579779391e-07
2.0025,2.187358341044787e-07
2.005,2.1766391603491324e-07
2.0075,2.1659905990359653e-07
2.01,2.1556901607587506e-07
2.0125,2.1458264259665666e-07
2.015,2.1365904504405699e-07
2.0175,2.1280957579496531e-07
2.02,2.1204947871565121e-07
2.0225,2.1140077016183564e-07
2.025,2.1089000628928261e-07
2.0275,2.1054313511021118e-07
2.03,2.1038102861269618e-07
2.0325,2.1042309616960846e-07
2.035,2.1069850738558238e-07
2.0375,2.1123792131578241e-07
2.04,2.1206653142180783e-07
2.0425,2.1319623789721328e-07
2.045,2.1462381061297342e-07
2.0475,2.1634123149199391e-07
2.05,2.1833901906451876e-07
2.0525,2.2060958779318553e-07
2.055,2.2314677537641293e-07
2.0575,2.2594665493854733e-07
2.06,2.2900407344441786e-07
2.0625,2.3231114591731161e-07
2.065,2.3585650671495756e-07
2.0675,2.3962326164762021e-07
2.07,2.4359365368869363e-07
2.0725,2.4774616454381049e-07
2.075,2.5205888425500903e-07
2.0775,2.56508735787743e-07
2.08,2.6107085221843181e-07
2.0825,2.6571985126369921e-07
2.085,2.7043018743117022e-07
2.0875,2.7517923032161758e-07
2.09,2.7994814351263514e-07
2.0925,2.8471916819951858e-07
2.095,2.8947448118301959e-07
2.0975,2.9419610568403864e-07
2.1,2.9886612344648408e-07
2.1025,3.0346798455595341e-07
