Physical Time (s),anabla_vol Monitor (kg-m/s^3): cv1,anabla_vol Monitor (kg-m/s^3): cv2,anabla_vol Monitor (kg-m/s^3): cv3,anabla_vol Monitor (kg-m/s^3): cv4,anabla_vol Monitor (kg-m/s^3): cv5,anabla_vol Monitor (kg-m/s^3): cv6,anabla_vol Monitor (kg-m/s^3): cv7
0.255,1.1075007008120624e-08,1.3859637320530783e-08,1.4156595694418198e-08,1.4156598493908018e-08,1.4156598571202318e-08,1.4156598588606691e-08,1.4156598589941394e-08
0.2575,1.098010189988813e-08,1.3759670321294946e-08,1.4068475054344272e-08,1.4068478084850699e-08,1.4068478163359933e-08,1.4068478181002485e-08,1.4068478182347613e-08
0.26,1.0885051931356764e-08,1.3658141156458757e-08,1.3978936187666688e-08,1.3978939477794616e-08,1.3978939557551934e-08,1.3978939575436473e-08,1.397893957679159e-08
0.2625,1.0792805982690561e-08,1.3558059152089521e-08,1.3891033456325695e-08,1.3891037037304448e-08,1.3891037118351997e-08,1.3891037136483112e-08,1.3891037137847522e-08
0.265,1.0701316456213271e-08,1.3457435239958648e-08,1.3802818982663318e-08,1.3802822891465524e-08,1.3802822973845721e-08,1.3802822992231425e-08,1.3802822993606972e-08
0.2675,1.0612189926173631e-08,1.3357919235149379e-08,1.3716000718746122e-08,1.3716004996678716e-08,1.3716005080439106e-08,1.3716005099084192e-08,1.3716005100472411e-08
0.27,1.0524559180051085e-08,1.3258680073115532e-08,1.3629805904109137e-08,1.3629810599130082e-08,1.3629810684319499e-08,1.36298107032277e-08,1.3629810704629984e-08
0.2725,1.0442472834180387e-08,1.3163784560934818e-08,1.3548379432507705e-08,1.3548384593816392e-08,1.3548384680497723e-08,1.3548384699675181e-08,1.3548384701090605e-08
0.275,1.0364516478404971e-08,1.3071838000408062e-08,1.3470390941314525e-08,1.3470396623670081e-08,1.3470396711909973e-08,1.3470396731365364e-08,1.3470396732792803e-08
0.2775,1.029078835417643e-08,1.2982958002306068e-08,1.3396018390720904e-08,1.3396024653388971e-08,1.3396024743255927e-08,1.3396024762999117e-08,1.3396024764438671e-08
0.28,1.0215973566901946e-08,1.2891843704989079e-08,1.3320014715787726e-08,1.3320021638324374e-08,1.3320021729878359e-08,1.3320021749916454e-08,1.3320021751368248e-08
0.2825,1.0142331999987014e-08,1.2800769498930562e-08,1.3244715385838685e-08,1.3244723056521794e-08,1.3244723149828361e-08,1.3244723170168618e-08,1.3244723171632749e-08
