Physical Time (s),enth_flux_enthalpy_left Monitor (kg-m/s^3)
1.4625,-5.8756790742399319e-06
1.465,-6.371246722823969e-06
1.4675,-7.0163187938908643e-06
1.47,-7.8028520267840185e-06
1.4725,-8.7210530745025684e-06
1.475,-9.7595962324852936e-06
1.4775,-1.0905796505242094e-05
1.48,-1.2145592761736715e-05
1.4825,-1.3463843387893557e-05
1.485,-1.4844465400041312e-05
1.4875,-1.6271617874191681e-05
1.49,-1.7728553389905782e-05
1.4925,-1.9197778453228053e-05
1.495,-2.0662515373595054e-05
1.4975,-2.2106369790679971e-05
1.5,-2.3513473791038798e-05
1.5025,-2.4868453067847287e-05
1.505,-2.6156455983090958e-05
1.5075,-2.736295102208667e-05
1.51,-2.8474649968752796e-05
1.5125,-2.9477949093492751e-05
1.515,-3.0360453469763798e-05
1.5175,-3.1110863461829718e-05
1.52,-3.1719228841312503e-05
1.5225,-3.2177061254174666e-05
1.525,-3.2477366541208905e-05
1.5275,-3.2614579590298251e-05
1.53,-3.2584707157086345e-05
1.5325,-3.2385690717959854e-05
1.535,-3.2017983701859175e-05
1.5375,-3.1484892889331976e-05
1.54,-3.0792170135387481e-05
1.5425,-2.9947613882945711e-05
1.545,-2.8961019541528283e-05
1.5475,-2.7843859626103801e-05
1.55,-2.66100559723667e-05
1.5525,-2.5274572281598248e-05
1.555,-2.3854705808823065e-05
1.5575,-2.2369534524607958e-05
1.56,-2.0841436673467574e-05
1.5625,-1.9290137189787078e-05
1.565,-1.7736991504418059e-05
1.5675,-1.6204182688809487e-05
1.57,-1.4712987812930521e-05
1.5725,-1.328351594898904e-05
1.575,-1.1934530697216022e-05
1.5775,-1.0686005034415055e-05
1.58,-9.555462428221765e-06
1.5825,-8.5591430024312082e-06
1.585,-7.7119656582487352e-06
1.5875,-7.0268474174242006e-06
1.59,-6.5144025547128295e-06
1.5925,-6.1824007666646853e-06
1.595,-6.0351747266267614e-06
1.5975,-6.0738560941631502e-06
1.6,-6.2967099090693733e-06
1.6025,-6.6989277106154095e-06
1.605,-7.2733743628454309e-06
1.6075,-8.0101073990376964e-06
1.61,-8.896280414525446e-06
1.6125,-9.9166524270762514e-06
1.615,-1.1054130194503625e-05
1.6175,-1.2290374619037677e-05
1.62,-1.3605205450072522e-05
1.6225,-1.4977207731302418e-05
1.625,-1.6384872406376667e-05
1.6275,-1.7806587453699677e-05
1.63,-1.9220516933960632e-05
1.6325,-2.0606022452662206e-05
1.635,-2.1942999243393352e-05
1.6375,-2.3212654191038987e-05
1.64,-2.439781243443101e-05
1.6425,-2.5483334028214512e-05
1.645,-2.645649774610651e-05
1.6475,-2.7306285197277604e-05
1.65,-2.802375411663923e-05
1.6525,-2.860194902814789e-05
1.655,-2.9036342273037845e-05
1.6575,-2.9325312597704206e-05
1.66,-2.9470411503950551e-05
1.6625,-2.9475841105289121e-05
1.665,-2.9348292074687265e-05
1.6675,-2.9096422366099026e-05
1.67,-2.8731039475898485e-05
1.6725,-2.8265017233156757e-05
1.675,-2.7712958882538606e-05
1.6775,-2.7090571359535052e-05
1.68,-2.6413863039640946e-05
1.6825,-2.5699024460275659e-05
1.685,-2.4962330031886323e-05
1.6875,-2.4220143069613091e-05
1.69,-2.348902274548923e-05
1.6925,-2.2785124498450672e-05
1.695,-2.2123697095871022e-05
1.6975,-2.1518256697961657e-05
1.7,-2.09811617174218e-05
1.7025,-2.0522472892419421e-05
1.705,-2.0149906236159187e-05
1.7075,-1.9868685213450342e-05
1.71,-1.9681418057401729e-05
1.7125,-1.9588340358040216e-05
1.715,-1.9587646291713412e-05
1.7175,-1.9675366539261193e-05
1.72,-1.9846712869745133e-05
1.7225,-2.0095839339582656e-05
1.725,-2.0414874289489897e-05
1.7275,-2.0794201043039968e-05
1.73,-2.1217466902621048e-05
1.7325,-2.1677028227901129e-05
1.735,-2.2158721768993321e-05
1.7375,-2.2647946286460149e-05
1.74,-2.3130596753985806e-05
1.7425,-2.3593519169901645e-05
1.745,-2.4023982560011926e-05
1.7475,-2.4408684979946564e-05
1.75,-2.4735107627208774e-05
1.7525,-2.4993244469429752e-05
1.755,-2.5175898467734838e-05
1.7575,-2.5277483300266231e-05
1.76,-2.5291773947069754e-05
1.7625,-2.5213835085211296e-05
1.765,-2.5040117089807567e-05
1.7675,-2.4768614740600842e-05
1.77,-2.4399146698761623e-05
1.7725,-2.3933053230856479e-05
1.775,-2.3372861877506277e-05
1.7775,-2.2722263630242457e-05
1.78,-2.1986719277556362e-05
1.7825,-2.1174055314005947e-05
1.785,-2.0292742445097848e-05
1.7875,-1.9353277735629169e-05
1.79,-1.836744219763144e-05
1.7925,-1.7346874580263363e-05
1.795,-1.6303193076768931e-05
1.7975,-1.5247557473810852e-05
1.8,-1.4191079504226523e-05
1.8025,-1.3145783728368775e-05
1.805,-1.2122879758939715e-05
1.8075,-1.1134262835313376e-05
1.81,-1.0191304351400408e-05
1.8125,-9.3047890717581031e-06
1.815,-8.4851946195274023e-06
1.8175,-7.7426265257946098e-06
1.82,-7.0870084892982486e-06
1.8225,-6.5272089670052744e-06
1.825,-6.0706617122446436e-06
1.8275,-5.7230753493858927e-06
1.83,-5.4887267930890254e-06
1.8325,-5.3704808625907766e-06
1.835,-5.3699405599683352e-06
1.8375,-5.4876038964639686e-06
1.84,-5.7228757863104858e-06
1.8425,-6.074263113947546e-06
1.845,-6.5389960379625635e-06
1.8475,-7.1132822526698579e-06
1.85,-7.7925046289824936e-06
1.8525,-8.571113232136034e-06
1.855,-9.4424063317994337e-06
1.8575,-1.0397556569898742e-05
1.86,-1.1427365161245916e-05
1.8625,-1.2521302096335632e-05
1.865,-1.3667908948776072e-05
1.8675,-1.4855106053462339e-05
1.87,-1.6070798251429875e-05
1.8725,-1.7302551963111954e-05
1.875,-1.8538626380574882e-05
1.8775,-1.9766646377472454e-05
1.88,-2.0974566981747393e-05
1.8825,-2.2151618236443924e-05
1.885,-2.3285686142578408e-05
1.8875,-2.4365257186816224e-05
1.89,-2.5379957427619074e-05
1.8925,-2.6320028225302286e-05
1.895,-2.7176877399640612e-05
1.8975,-2.7943251904462892e-05
1.9,-2.8612904778111546e-05
1.9025,-2.9180668035009575e-05
1.905,-2.9642775965944564e-05
1.9075,-2.9996439081959162e-05
1.91,-3.0240621729153568e-05
1.9125,-3.0375784517441346e-05
1.915,-3.0403706136976264e-05
1.9175,-3.0327306813006139e-05
1.92,-3.0150183424210907e-05
1.9225,-2.9876713491463854e-05
1.925,-2.9511500761534787e-05
1.9275,-2.9059816455384245e-05
1.93,-2.8528795233471313e-05
1.9325,-2.7925862594908707e-05
1.935,-2.725913817263026e-05
1.9375,-2.653718443579854e-05
1.94,-2.5768395778152389e-05
1.9425,-2.4961093583424152e-05
1.945,-2.4123454365526234e-05
1.9475,-2.3263893371583793e-05
1.95,-2.2391371852850591e-05
1.9525,-2.1515619393047614e-05
1.955,-2.0645148009058714e-05
1.9575,-1.9788509831538319e-05
1.96,-1.8953133291230978e-05
1.9625,-1.8146053783190004e-05
1.965,-1.7374258581484153e-05
1.9675,-1.6644912589891447e-05
1.97,-1.5964924165240467e-05
1.9725,-1.5340066494937566e-05
1.975,-1.4775437676845418e-05
1.9775,-1.4270821214446911e-05
1.98,-1.3833500107058035e-05
1.9825,-1.3466382855733798e-05
1.985,-1.3172597099298392e-05
1.9875,-1.2954511746111986e-05
1.99,-1.2813860340516112e-05
1.9925,-1.2751036787344215e-05
1.995,-1.2764728883434324e-05
1.9975,-1.2851818526459954e-05
2.0,-1.3008658380463949e-05
2.0025,-1.3232329186568529e-05
2.005,-1.3520931995990174e-05
2.0075,-1.3872324577314621e-05
2.01,-1.4283303572213164e-05
