Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
0.2525,-6.7952791986958897e-16,-6.8346765416092718e-16,-7.9542828681743633e-16,-8.3713729704596423e-16,-7.2991572972793461e-16,-7.2806449797005275e-16,-7.349804086532957e-16
0.255,1.5276606449431386e-17,5.5561577544111114e-18,-1.0544251630236718e-16,-1.9987358274730841e-16,-1.3702027713128795e-16,-2.2857195670130158e-16,-2.6697930771972969e-16
0.2575,1.3997582794263012e-17,7.5748039957823216e-18,-3.7199298193336644e-17,-2.9431164794774888e-17,-6.9714623481523242e-17,-3.2913201983007604e-17,-3.4543042412245163e-17
0.26,-1.2189719882447947e-16,-3.557390831887979e-17,9.5159495171275601e-17,2.1434736323348857e-16,1.9557033991142988e-16,2.0711059876736958e-16,1.9750424541774371e-16
0.2625,2.9310821607883934e-17,-4.6936295272810571e-17,-1.2533777578289466e-16,-1.6796420430966336e-16,-2.1547701833386924e-16,-2.5043694024554878e-16,-2.6931702907435599e-16
0.265,7.7858394293743767e-17,1.3783472728361915e-16,1.6834038486728174e-16,1.4566080996325448e-16,1.6578126854391682e-16,1.344843274466926e-16,1.265335800040512e-16
0.2675,3.4523004725389397e-16,3.2880354298473909e-16,4.2322639986102897e-16,3.8873703918054951e-16,3.9457747880399275e-16,4.0154941404299891e-16,4.1946111676930365e-16
0.27,4.1317905499384372e-17,1.9271587556305777e-17,3.153822525721324e-17,-1.4355377931436344e-18,9.8222975507555797e-18,-1.5617545098706128e-17,-5.8593383358814466e-18
0.2725,7.5147376141961841e-17,1.5520531258617881e-16,2.1158662275099793e-16,7.658563764804237e-17,1.2961479123954486e-16,1.0024523908193264e-16,9.3495494163210348e-17
0.275,5.6090972299719628e-16,6.0089366906484367e-16,7.8394186409143412e-16,8.0271287566282406e-16,7.8004680327999924e-16,7.8918194171433446e-16,7.9606191492236584e-16
0.2775,2.9996938332167405e-16,2.8052569797574e-16,3.456512193282511e-16,4.2954005217944737e-16,4.1579614592307595e-16,3.5158760971958992e-16,3.5017682102101447e-16
0.28,1.2068139092258603e-16,7.1586659514127792e-17,1.8417182626587283e-16,2.1408932306053623e-16,1.851718626240909e-16,1.6136935978663148e-16,1.6680837130404276e-16
0.2825,-5.2093747462854256e-16,-5.5428569163783318e-16,-4.7627048686024806e-16,-5.3182076034319482e-16,-5.4438862505022442e-16,-5.3233045937903604e-16,-5.4937239394583536e-16
0.285,8.5599097981861574e-17,2.8230310113030244e-17,1.8727039871388497e-16,3.3324304609692984e-16,3.8849202551399328e-16,3.4206859699332693e-16,3.2681103133208003e-16
0.2875,8.034084363632227e-18,-8.5682243424166756e-17,-2.037164278332632e-16,-1.5704775860152594e-16,-1.9836345284671638e-16,-2.0736559933602441e-16,-2.1406886153951514e-16
0.29,-4.1046839314973694e-16,-4.4873619667165618e-16,-5.6907705500418728e-16,-5.6197059570266486e-16,-5.9197355151116678e-16,-5.4904880479495132e-16,-5.3955766384527503e-16
0.2925,2.1970244752050523e-16,2.7755057019164472e-16,3.9060591588124189e-16,3.3171508993639862e-16,2.8405437105297627e-16,2.5049762441149474e-16,2.5474409387607952e-16
0.295,-4.2204998471829033e-17,-2.114909570639948e-17,6.4649343704577606e-18,1.9837611536352051e-17,5.5479049388885766e-17,2.3891466324008427e-17,3.2070994767324147e-17
0.2975,1.8745993036079821e-16,1.7276046445711249e-16,2.2080824002114833e-16,3.8782283561268711e-16,3.5248864426495359e-16,3.4326840458786893e-16,3.3114162675448118e-16
