Physical Time (s),phi_alt_vol Monitor (N): cv1,phi_alt_vol Monitor (N): cv2,phi_alt_vol Monitor (N): cv3,phi_alt_vol Monitor (N): cv4,phi_alt_vol Monitor (N): cv5,phi_alt_vol Monitor (N): cv6,phi_alt_vol Monitor (N): cv7
0.21,5.3600881663450813e-05,0.00010416820524307965,0.00011505250972769485,0.0001155178747283994,0.00011572182444616565,0.00011587459171036175,0.00011594333072929838
0.2125,5.3469778783780282e-05,0.00010392175647247491,0.00011527315176852518,0.00011574373673853488,0.00011594931533169864,0.00011610316129884242,0.00011617247367475058
0.215,5.3345419298106887e-05,0.00010366540741474967,0.00011549181471733335,0.00011596774865675467,0.00011617497715709836,0.00011632992842010938,0.00011639984444033864
0.2175,5.3226989512585268e-05,0.00010339893496404388,0.00011570844505823119,0.00011618983812384703,0.0001163987159007072,0.00011655475482544119,0.00011662521430934717
0.22,5.3113890495913294e-05,0.00010312208280935918,0.00011592326612132252,0.00011641028775691169,0.00011662087013533639,0.00011677809257841877,0.0001168492557613526
0.2225,5.3005427509375954e-05,0.00010283420003232349,0.00011613626194702841,0.0001166290907337805,0.00011684143850663227,0.00011699995232667213,0.0001170719990187444
0.225,5.2900907198527988e-05,0.00010253440312282998,0.00011634730119209475,0.00011684610484381805,0.00011706026428249183,0.00011722014940229732,0.00011729319935389928
0.2275,5.2799708524300916e-05,0.00010222170268345296,0.00011655624079133747,0.00011706118036658226,0.0001172771876437647,0.00011743850610935893,0.00011751263822991542
0.23,5.2701195645484191e-05,0.00010189493536247962,0.00011676292858645463,0.00011727415952347431,0.00011749204007763929,0.0001176548356949558,0.00011773009145478905
0.2325,5.2604685714467561e-05,0.00010155276637688772,0.00011696723945108729,0.00011748491506002698,0.00011770468408168686,0.00011786898263250248,0.00011794537315491247
0.235,5.2509520786933856e-05,0.00010119381095849386,0.00011716909762383373,0.00011769337346122421,0.00011791503802321871,0.00011808084966534379,0.00011815836498962217
0.2375,5.2415103738118361e-05,0.00010081672946925024,0.00011736845506159536,0.00011789948653058384,0.00011812304216658006,0.00011829035248738141,0.0001183689445015301
0.24,5.2317247690270733e-05,0.0001004160347077372,0.0001175656317699915,0.00011810367446195478,0.00011832912360553844,0.00011849791260965689,0.000118577520717186
0.2425,5.221863940473991e-05,9.9994115554592687e-05,0.00011776074220705002,0.00011830599683394807,0.0001185333325875101,0.00011870357174119525,0.00011878412916581115
0.245,5.2117894137014933e-05,9.9549039925404012e-05,0.00011795363597833553,0.00011850634269965257,0.00011873556333899266,0.00011890722818901658,0.00011898867753082831
0.2475,5.2016151186915524e-05,9.9081917707025764e-05,0.0001181444608428059,0.00011870484377927954,0.00011893594683657664,0.0001191090153696425,0.00011919131205868764
0.25,5.1915186953534021e-05,9.8594978583813319e-05,0.0001183332264788541,0.00011890147239466433,0.00011913445475692056,0.000119308911672855,0.00011939203438608183
0.2525,5.1815568562688776e-05,9.8089512915495953e-05,0.00011851982719307205,0.00011909612167825685,0.00011933099200796918,0.00011950684769158455,0.00011959083138943299
0.255,5.1713718220700596e-05,9.7561766582912637e-05,0.00011870455099438644,0.00011928917587455518,0.00011952593869238812,0.00011970317623039959,0.00011978798621355282
0.2575,5.1610642783146285e-05,9.7013851009532931e-05,0.00011888769485264713,0.00011948093080987471,0.0001197195988394504,0.00011989822154176811,0.00011998386093803707
0.26,5.150482453945663e-05,9.6445049105699883e-05,0.00011906936670782033,0.00011967155839981235,0.00011991215243226428,0.00012009217369164065,0.00012017865559762354
0.2625,5.1397674590098974e-05,9.5858518933598488e-05,0.00011924958184824868,0.00011986104868308225,0.00012010358708470393,0.00012028502221937286,0.000120372365667025
0.265,5.1288164840624631e-05,9.5254669772786921e-05,0.00011942824970212323,0.00012004935521668579,0.00012029385632134056,0.00012047672614670901,0.00012056495293756209
0.2675,5.1177080072070761e-05,9.4636324788629117e-05,0.00011960532302609843,0.00012023642417245315,0.00012048290177288879,0.00012066721552575881,0.00012075633767800285
0.27,5.1064004339355194e-05,9.4005004560740503e-05,0.00011978068031721375,0.00012042216547499859,0.000120670631190671,0.00012085638832981651,0.00012094639685367258
0.2725,5.0951534572621873e-05,9.3366175820062164e-05,0.00011995394408281699,0.00012060611488767797,0.00012085657427914855,0.00012104377052446734,0.00012113463175160896
0.275,5.0839499611467634e-05,9.2722061018829987e-05,0.00012012468720657735,0.00012078784681714464,0.00012104030049427801,0.00012122892878344903,0.00012132059597199156
0.2775,5.0728344357895165e-05,9.2075807311610454e-05,0.00012029256318428349,0.00012096699637310634,0.00012122144171821196,0.00012141149669904087,0.00012150392669322917
0.28,5.0614249501026346e-05,9.1424120817492916e-05,0.0001204584715206894,0.0001211446735247208,0.00012140112377164583,0.00012159260960548499,0.0001216857685963402
0.2825,5.0498311039427345e-05,9.0770681072088497e-05,0.0001206224070393329,0.00012132085786320434,0.0001215793234483998,0.00012177224432956793,0.00012186610544534584
0.285,5.0377357978406096e-05,9.0113452952785762e-05,0.00012078497305070078,0.00012149636635983399,0.00012175687265814876,0.00012195124064930728,0.00012204578686740732
0.2875,5.0254161151412016e-05,8.9458100207798585e-05,0.00012094581956420607,0.0001216707535238152,0.00012193331743036498,0.00012212914229827666,0.00012222436257880106
0.29,5.0129300687037234e-05,8.8807376032730472e-05,0.00012110462105683354,0.00012184369478214575,0.00012210833212693425,0.00012230562431700403,0.00012240151453346172
0.2925,5.0006043826336069e-05,8.8167352692491665e-05,0.00012126050438756367,0.00012201413522996053,0.00012228084927490615,0.00012247961517070579,0.00012257618067190379
0.295,4.9883747905186204e-05,8.753899361471957e-05,0.00012141324467038292,0.00012218189326463472,0.00012245069060786343,0.00012265093962270085,0.00012274819162762354
0.2975,4.9760571536137791e-05,8.6921046472354207e-05,0.00012156346659354886,0.00012234775164120308,0.00012261864425036279,0.0001228203817061313,0.00012291831437868594
0.3,4.9633171956799349e-05,8.6310046151587874e-05,0.0001217124886908014,0.00012251335774333689,0.00012278637849226772,0.00012298962479571711,0.00012308824409620967
0.3025,4.9502666438503458e-05,8.5708608130586022e-05,0.00012186020591343045,0.00012267860147939752,0.00012295377344663438,0.00012315853392324937,0.00012325782070164495
0.305,4.9370733948525982e-05,8.5119814597238821e-05,0.00012200609138379694,0.00012284288232746016,0.000123120220980175,0.00012332649606656935,0.00012342642901041112
0.3075,4.9236752779557006e-05,8.4543702564191238e-05,0.00012215013947010692,0.00012300631472271563,0.00012328584147437751,0.00012349364037588225,0.00012359420940208786
0.31,4.9101591058980835e-05,8.3981896060636655e-05,0.00012229212600861855,0.00012316866723557053,0.00012345039756192109,0.00012365972020528154,0.00012376090453037415
0.3125,4.896641011180141e-05,8.343622272830072e-05,0.00012243163494752085,0.00012332947059003928,0.00012361341758404008,0.00012382426500567319,0.0001239260484994956
0.315,4.8830480292519682e-05,8.2906115563278831e-05,0.00012256872177997049,0.00012348891660149885,0.00012377509820980716,0.00012398747618905126,0.00012408984538310756
0.3175,4.8694687054650563e-05,8.239280939366317e-05,0.00012270308844428718,0.00012364667607734159,0.00012393510955255064,0.0001241490286809906,0.00012425197895863041
0.32,4.856099946774817e-05,8.1898908633362298e-05,0.00012283379044088888,0.00012380158503684608,0.00012409227703222254,0.00012430774548365052,0.00012441127592664972
0.3225,4.8427380180619932e-05,8.1421878753827184e-05,0.00012296140381611565,0.00012395452309779814,0.00012424749420992336,0.00012446453000781866,0.000124568649480299
0.325,4.8293435371767135e-05,8.0961120779780274e-05,0.00012308618740199744,0.00012410588665581507,0.00012440116241406037,0.00012461978816583489,0.00012472451154378584
0.3275,4.815911926774396e-05,8.0516441631090475e-05,0.00012320816497288261,0.00012425579235914472,0.0001245534007944497,0.00012477364221580279,0.00012487899020286565
0.33,4.8024417176768905e-05,8.0087657324099483e-05,0.00012332727036451182,0.00012440425986345071,0.00012470422648575848,0.00012492610223553181,0.00012503208269663642
0.3325,4.7889272625200723e-05,7.9674496668730201e-05,0.00012344347210554369,0.00012455136666511012,0.000124853720199381,0.00012507725207445947,0.00012518388083036515
0.335,4.7750841475239682e-05,7.9273316334889474e-05,0.00012355792990654475,0.00012469896051241954,0.00012500374691744052,0.00012522895635792749,0.00012533623579727418
0.3375,4.7609229577658978e-05,7.8884147832763865e-05,0.00012367054422306371,0.00012484715413272241,0.00012515441885685869,0.00012538132202465608,0.00012548924694144765
0.34,4.7466666274174602e-05,7.8509292810914651e-05,0.00012378035041179388,0.00012499471724407499,0.00012530449165153341,0.00012553309831660244,0.00012564166345217702
0.3425,4.7323534551590242e-05,7.8148920134993749e-05,0.00012388687622598868,0.00012514123779207892,0.0001254535492819499,0.00012568386453052748,0.00012579305930288914
0.345,4.7180984233994333e-05,7.7803977568435625e-05,0.00012398957188683668,0.00012528603633174442,0.00012560090841022485,0.00012583293742242938,0.0001259427538109339
0.3475,4.7042188998551172e-05,7.7477736734557154e-05,0.00012408689020501423,0.00012542675717735097,0.00012574419065840991,0.00012597793463205138,0.00012608837256675824
0.35,4.6904185337268214e-05,7.7166445983366502e-05,0.00012417979980964322,0.00012556521296446747,0.00012588522786945749,0.00012612069137191831,0.00012623174268381861
0.3525,4.6766381537773373e-05,7.6869000173568271e-05,0.00012426874475644046,0.00012570219854971448,0.00012602482347855788,0.00012626201750177214,0.00012637368170878219
0.355,4.6628658483761782e-05,7.6584843024231719e-05,0.0001243538050740272,0.0001258380148718844,0.00012616328030298042,0.00012640221533502717,0.00012651448887063076
0.3575,4.6491007384987898e-05,7.6313544164400144e-05,0.00012443493080928862,0.00012597280970506747,0.0001263007488485762,0.00012654143837435779,0.00012665432252073654
0.36,4.6353450495100277e-05,7.6054701913647215e-05,0.00012451201706170772,0.00012610667587087629,0.00012643732359985242,0.00012667978258349289,0.00012679328074562403
0.3625,4.6216022966845947e-05,7.5807923076825657e-05,0.00012458493866098137,0.00012623969614607841,0.00012657308958671285,0.00012681733584617326,0.00012693145597235744
0.365,4.6078777130349271e-05,7.5572829872407081e-05,0.00012465353980537985,0.00012637192484735147,0.00012670810124793864,0.00012695415125978996,0.00012706889729216669
