Physical Time (s),FreestreamAbsolutePressure Monitor (Pa)
2.3225,101325.00001126296
2.325,101325.00003326804
2.3275,101325.00005620647
2.33,101325.00007993971
2.3325,101325.00010431434
2.335,101325.00012916827
2.3375,101325.00015434333
2.34,101325.00017967033
2.3425,101325.00020497797
2.345,101325.00023009314
2.3475,101325.00025484616
2.35,101325.00027906732
2.3525,101325.00030258924
2.355,101325.00032516543
2.3575,101325.00034674126
2.36,101325.00036716927
2.3625,101325.00038628728
2.365,101325.00040396744
2.3675,101325.0004200676
2.37,101325.000434473
2.3725,101325.00044708235
2.375,101325.00045781076
2.3775,101325.00046659667
2.38,101325.00047339736
2.3825,101325.00047818992
2.385,101325.00048097258
2.3875,101325.00048176404
2.39,101325.00048060337
2.3925,101325.00047754939
2.395,101325.00047268051
2.3975,101325.00046609378
2.4,101325.00045790379
2.4025,101325.00044824224
2.405,101325.00043725522
2.4075,101325.00042510302
2.41,101325.00041195432
2.4125,101325.00039799965
2.415,101325.00038341399
2.4175,101325.00036838552
2.42,101325.00035299821
2.4225,101325.00033752577
2.425,101325.00032214836
2.4275,101325.00030704387
2.43,101325.00029238952
2.4325,101325.00027836159
2.435,101325.00026512913
2.4375,101325.00025285697
2.44,101325.00024169947
2.4425,101325.00023180025
2.445,101325.00022328386
2.4475,101325.00021625802
2.45,101325.00021080649
2.4525,101325.00020699135
2.455,101325.00020484912
2.4575,101325.00020439019
2.46,101325.00020560175
2.4625,101325.00020844932
2.465,101325.00021287923
2.4675,101325.0002188205
2.47,101325.00022618633
2.4725,101325.00023487593
2.475,101325.00024477569
2.4775,101325.00025575914
2.48,101325.0002676906
2.4825,101325.00028042277
2.485,101325.00029379885
2.4875,101325.00030756844
2.49,101325.00032164583
2.4925,101325.00033585202
2.495,101325.00034999516
2.4975,101325.00036388023
2.5,101325.00037731043
2.5025,101325.0003900881
2.505,101325.00040202209
2.5075,101325.00041292691
2.51,101325.00042263772
2.5125,101325.00043096852
2.515,101325.00043781628
2.5175,101325.00044305703
2.52,101325.00044663677
2.5225,101325.00044842187
2.525,101325.00044834937
2.5275,101325.00044637015
2.53,101325.0004424471
2.5325,101325.00043655431
2.535,101325.00042867872
2.5375,101325.00041882097
2.54,101325.00040700065
2.5425,101325.00039325679
2.545,101325.00037764941
2.5475,101325.0003602631
2.55,101325.00034120552
2.5525,101325.00032060746
2.555,101325.00029861982
2.5575,101325.00027540972
2.56,101325.00025115788
2.5625,101325.00022606709
2.565,101325.00020032859
2.5675,101325.0001741486
2.57,101325.00014773024
2.5725,101325.00012127748
2.575,101325.00009499426
2.5775,101325.0000690818
2.58,101325.00004373978
2.5825,101325.00001915968
2.585,101324.99999552789
2.5875,101324.99997301667
2.59,101324.99995179447
2.5925,101324.99993201342
2.595,101324.99991382114
2.5975,101324.99989735597
2.6,101324.99988274729
2.6025,101324.99987011158
2.605,101324.99985954733
2.6075,101324.99985113382
2.61,101324.99984493344
2.6125,101324.99984099111
2.615,101324.99983932852
2.6175,101324.99983994705
2.62,101324.99984282658
2.6225,101324.99984792601
2.625,101324.99985518631
2.6275,101324.99986453027
2.63,101324.99987586928
2.6325,101324.99988909744
2.635,101324.99990410314
2.6375,101324.99992076367
2.64,101324.99993895103
2.6425,101324.99995852612
2.645,101324.99997934337
2.6475,101325.00000124346
2.65,101325.00002407696
2.6525,101325.00004768491
2.655,101325.00007190653
2.6575,101325.00009658538
2.66,101325.00012156382
2.6625,101325.00014668792
2.665,101325.0001718088
2.6675,101325.00019678348
2.67,101325.00022147656
2.6725,101325.00024575788
2.675,101325.00026950712
2.6775,101325.00029261253
2.68,101325.00031497153
2.6825,101325.00033648852
2.685,101325.00035707228
2.6875,101325.00037664833
2.69,101325.00039516037
2.6925,101325.00041257159
2.695,101325.00042885287
2.6975,101325.0004439828
2.7,101325.00045795503
2.7025,101325.00047077287
2.705,101325.00048245376
2.7075,101325.00049302021
2.71,101325.00050250351
2.7125,101325.00051094651
2.715,101325.00051839408
2.7175,101325.0005248935
2.72,101325.0005304919
2.7225,101325.00053523661
2.725,101325.00053917605
2.7275,101325.00054236061
2.73,101325.00054484372
2.7325,101325.00054668172
2.735,101325.00054793377
2.7375,101325.00054866135
2.74,101325.00054892665
2.7425,101325.00054878807
2.745,101325.00054830767
2.7475,101325.00054753985
2.75,101325.00054653278
2.7525,101325.00054532752
2.755,101325.00054395752
2.7575,101325.00054244792
2.76,101325.00054081983
2.7625,101325.0005390822
2.765,101325.00053723835
2.7675,101325.00053528811
2.77,101325.00053322756
