Physical Time (s),aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.2025,9.582756537259697e-10,8.9517054476199488e-10,8.1302887737819584e-10,6.5785115001353641e-10,5.9446904571376143e-10,5.6956822976361846e-10,5.5663900199838838e-10
0.205,9.8226599951512671e-10,9.1830730748895606e-10,8.3683370864020666e-10,6.851384967268881e-10,6.2679651568005365e-10,6.0899429513231445e-10,6.0179792593555812e-10
0.2075,1.0035145742960416e-09,9.3872311090149725e-10,8.5784708458526801e-10,7.0813535078871223e-10,6.5334464134142384e-10,6.4161050752425134e-10,6.4048714996510213e-10
0.21,1.0212870038838967e-09,9.5522556238137491e-10,8.7418519898845332e-10,7.2433093568582294e-10,6.7102207612408062e-10,6.6361977887588417e-10,6.6830246951025159e-10
0.2125,1.0332812066920551e-09,9.6560454797292076e-10,8.839190139685478e-10,7.3181851589142635e-10,6.7771065475401929e-10,6.7244540720559882e-10,6.8219075941992437e-10
0.215,1.038567655376757e-09,9.6876964016705823e-10,8.8580852962397386e-10,7.2930602146760493e-10,6.7201104354296048e-10,6.6639427196421337e-10,6.8002481210301418e-10
0.2175,1.0363986928283992e-09,9.6398092725835889e-10,8.7924725534804691e-10,7.1641279171562163e-10,6.5367419117599061e-10,6.4515053502691376e-10,6.6112006337675076e-10
0.22,1.0274714786999735e-09,9.5178447357385168e-10,8.6460987987604849e-10,6.9369243588037071e-10,6.2349086754271651e-10,6.096459872938724e-10,6.2626033569812845e-10
0.2225,1.012862900081844e-09,9.3325635306661497e-10,8.4302702671832702e-10,6.6266109217261951e-10,5.8338721690176194e-10,5.6212957843501139e-10,5.7763622560952232e-10
0.225,9.9424069980733194e-10,9.1015415670623404e-10,8.1642309558200086e-10,6.2576063126651405e-10,5.3634032234731173e-10,5.0605986366764233e-10,5.1874517162572835e-10
