Physical Time (s),phi_alt_flux_top Monitor (kg-m/s^3): top_cv1,phi_alt_flux_top Monitor (kg-m/s^3): top_cv2,phi_alt_flux_top Monitor (kg-m/s^3): top_cv3,phi_alt_flux_top Monitor (kg-m/s^3): top_cv4,phi_alt_flux_top Monitor (kg-m/s^3): top_cv5,phi_alt_flux_top Monitor (kg-m/s^3): top_cv6,phi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.29,1.2059869565643227e-09,1.0173076268278278e-09,8.7452037018196814e-10,6.6322735772549374e-10,5.0514690146622324e-10,4.3749045164923389e-10,4.2436697470593318e-10
0.2925,1.2196988890747359e-09,1.0270516568532484e-09,8.8210674112255432e-10,6.7194568646001116e-10,5.1309733653998886e-10,4.4546042186619591e-10,4.3245170814561147e-10
0.295,1.2335760760144977e-09,1.037151604600214e-09,8.8996359970561284e-10,6.8096374278257438e-10,5.2128495128548325e-10,4.5359757605198392e-10,4.4080770471830061e-10
0.2975,1.2470108424427033e-09,1.0469500240893424e-09,8.9742706906182752e-10,6.895625689869908e-10,5.2887012119355397e-10,4.6088916206585419e-10,4.4833625780176764e-10
0.3,1.2594865151749523e-09,1.0558341353805577e-09,9.0383501689801935e-10,6.9699710719397415e-10,5.349872040073298e-10,4.6630853480072827e-10,4.5389280529484621e-10
0.3025,1.2703893048860374e-09,1.0631437355606908e-09,9.0852479821906594e-10,7.0256106266123594e-10,5.3885304502024088e-10,4.6897112988337431e-10,4.5648221619105137e-10
0.305,1.2792802590539933e-09,1.0683752122178949e-09,9.1096017650494302e-10,7.0568392051237819e-10,5.3985435395725262e-10,4.6822076521270128e-10,4.553584390660253e-10
0.3075,1.2859679968926409e-09,1.0712839275016004e-09,9.1085870709513239e-10,7.0608061423136015e-10,5.3770815206077184e-10,4.6378716099870196e-10,4.5018801583164338e-10
0.31,1.2904721681461484e-09,1.0718619494501444e-09,9.0820251582424677e-10,7.0378067444055742e-10,5.3251721156137187e-10,4.5585474755590271e-10,4.4113534906618826e-10
0.3125,1.293043384400068e-09,1.0703309010282999e-09,9.0319023549300024e-10,6.9902140957301982e-10,5.2462608184267095e-10,4.4489133689560328e-10,4.2869250038259514e-10
0.315,1.2939671550839076e-09,1.0669549141922743e-09,8.960587800678606e-10,6.9207774113957593e-10,5.1443106193772582e-10,4.3144463938519982e-10,4.1347569244813107e-10
0.3175,1.2935625957173572e-09,1.0620561618274798e-09,8.8711129961346341e-10,6.8327634919219808e-10,5.0236405115643164e-10,4.1610101214872116e-10,3.9617724926321278e-10
0.32,1.2921312721239738e-09,1.0559832067438427e-09,8.7669226591656963e-10,6.7298344651583228e-10,4.8887234644930645e-10,3.9944542315694119e-10,3.7750844737287116e-10
0.3225,1.2899951391940311e-09,1.0490577812513619e-09,8.6510324039867283e-10,6.6151519471042237e-10,4.7432070188303188e-10,3.8195005999566533e-10,3.5807522586515564e-10
0.325,1.2874566928849768e-09,1.0416202396826329e-09,8.5268111425357796e-10,6.4922360470887553e-10,4.5908936876253196e-10,3.6406913656622434e-10,3.3845723965740164e-10
0.3275,1.2847899048407286e-09,1.0339889678078519e-09,8.3974193364548893e-10,6.3643527109553067e-10,4.4351711417110785e-10,3.461802458078282e-10,3.1913811338874753e-10
0.33,1.2821567751565752e-09,1.0263842588862066e-09,8.2653772082976658e-10,6.2342878149006323e-10,4.2789114194258246e-10,3.2858665692031312e-10,3.0050528216943728e-10
0.3325,1.2797191840146937e-09,1.0190148200935586e-09,8.1327732910590214e-10,6.1041806479210295e-10,4.1241693578574342e-10,3.1146882230930503e-10,2.8278200496459995e-10
0.335,1.2775913356940388e-09,1.0120353651150704e-09,8.0014287390878031e-10,5.9761587659806257e-10,3.973088120839212e-10,2.9501261594144886e-10,2.6617813958500327e-10
0.3375,1.27589694978652e-09,1.0056581334198614e-09,7.8739218555682709e-10,5.8530425383063541e-10,3.8285139337466458e-10,2.794578664229654e-10,2.5091231991570172e-10
0.34,1.2746927586703185e-09,1.0000049385482324e-09,7.7520072610396196e-10,5.7367950368476917e-10,3.6924209265312723e-10,2.6493914819144771e-10,2.37041959841621e-10
0.3425,1.2740796985213081e-09,9.9523518597728342e-10,7.6378037932467906e-10,5.6297916776571338e-10,3.5672253422252592e-10,2.5163320895008252e-10,2.2463427639007035e-10
0.345,1.2742046056007376e-09,9.9154818827526448e-10,7.5333862132955652e-10,5.5341626678285654e-10,3.4550852468825494e-10,2.3968697703804476e-10,2.1370436908790033e-10
0.3475,1.2752012223756015e-09,9.8915152362504665e-10,7.4411322532552785e-10,5.4523502311685596e-10,3.358568008022152e-10,2.2930345438894422e-10,2.0432730918570429e-10
0.35,1.2773079168039454e-09,9.883275631544474e-10,7.3644568006083258e-10,5.388103197074103e-10,3.2818161017226629e-10,2.2088472123362884e-10,1.9682285008678456e-10
0.3525,1.2807958457757792e-09,9.8939657960996757e-10,7.3068857196040846e-10,5.3450535939712467e-10,3.2288992860141833e-10,2.1485326227166294e-10,1.9156032815875978e-10
0.355,1.2859034486111767e-09,9.9264467644293845e-10,7.271762172516014e-10,5.3267336056409784e-10,3.2038995323174089e-10,2.1166167123533651e-10,1.8896373505915652e-10
0.3575,1.2928696651437081e-09,9.9833924837840532e-10,7.2620805367816842e-10,5.3361389899850863e-10,3.2102237618738957e-10,2.1169951089506608e-10,1.8940646254713351e-10
0.36,1.3018763155750097e-09,1.0066951835369636e-09,7.2804370613571729e-10,5.3758962634141521e-10,3.2507732417585556e-10,2.1530385586286072e-10,1.9322493957975856e-10
0.3625,1.3130387436697461e-09,1.0178545018070091e-09,7.3286196085482761e-10,5.4477398481827529e-10,3.3273921185103652e-10,2.2269532715639066e-10,2.0065781625164643e-10
