Physical Time (s),ev_top Monitor (kg-m/s^3): top_cv1,ev_top Monitor (kg-m/s^3): top_cv2,ev_top Monitor (kg-m/s^3): top_cv3,ev_top Monitor (kg-m/s^3): top_cv4,ev_top Monitor (kg-m/s^3): top_cv5,ev_top Monitor (kg-m/s^3): top_cv6,ev_top Monitor (kg-m/s^3): top_cv7
0.28,5.435176649579336e-11,3.6283201507061931e-11,-1.2268114673217799e-11,-2.220936053563461e-11,-2.327072083666924e-11,-2.3465980135730655e-11,-2.347397869154973e-11
0.2825,5.5592047630878683e-11,3.7223745808923313e-11,-1.2729406739599069e-11,-2.2970273127507001e-11,-2.4059376735495966e-11,-2.4260079222708262e-11,-2.4268628452705167e-11
0.285,5.7067662818337539e-11,3.8436148761889035e-11,-1.2870056490963718e-11,-2.339223321349274e-11,-2.4502479676234716e-11,-2.4705307317221926e-11,-2.4714258906744421e-11
0.2875,5.8776639931567427e-11,3.9931310439021746e-11,-1.2656429135734534e-11,-2.3440717775300658e-11,-2.4566244383411011e-11,-2.4768023286914111e-11,-2.477708910634972e-11
0.29,6.0688933897783189e-11,4.1682385566999163e-11,-1.2108587823645374e-11,-2.3139075121756252e-11,-2.4276112232845459e-11,-2.4474630049107165e-11,-2.4483483882790815e-11
0.2925,6.2745622574317131e-11,4.3625560362026275e-11,-1.1297942790683146e-11,-2.2565123511501089e-11,-2.3712659069117142e-11,-2.3907149127808753e-11,-2.3915540487889857e-11
0.295,6.4869434639574706e-11,4.5673268503178434e-11,-1.0332126082750144e-11,-2.1834561763998215e-11,-2.2994345510091805e-11,-2.3185527779553193e-11,-2.319336207616369e-11
0.2975,6.6972028461410804e-11,4.7724685003018247e-11,-9.3414455456732955e-12,-2.1087425637181745e-11,-2.22637286429585e-11,-2.2453599665837871e-11,-2.2460959651471224e-11
0.3,6.8962245535301723e-11,4.9673317506388471e-11,-8.4726244824065765e-12,-2.0482587867745634e-11,-2.1682116593567152e-11,-2.1873732564341265e-11,-2.1880858340914696e-11
0.3025,7.0756075915421461e-11,5.1415474136904576e-11,-7.8742710521672547e-12,-2.0181390688932427e-11,-2.1412944029332193e-11,-2.1610143864486354e-11,-2.1617394171022997e-11
0.305,7.2290724267147318e-11,5.2868512421684128e-11,-7.6675518199860922e-12,-2.0314351264482273e-11,-2.1588129498867489e-11,-2.1795214802979603e-11,-2.1803046140168352e-11
0.3075,7.3534074187539322e-11,5.3987308513741286e-11,-7.9187384214145482e-12,-2.0951309660891885e-11,-2.2278061260910839e-11,-2.2499535937010239e-11,-2.2508515595588534e-11
0.31,7.448913844965193e-11,5.4768600313519471e-11,-8.6387820176910055e-12,-2.2101017261602663e-11,-2.3490766673843539e-11,-2.3730991751558461e-11,-2.3741813169435027e-11
0.3125,7.5188247823601806e-11,5.5239239648952777e-11,-9.8125420323302477e-12,-2.3745170754130385e-11,-2.520617648222824e-11,-2.5468953078407336e-11,-2.5482431958960003e-11
