Physical Time (s),lift Monitor (N)
1.4825,-1.2368184992333068e-05
1.485,-1.3804382067145257e-05
1.4875,-1.521452189284291e-05
1.49,-1.6592903879179416e-05
1.4925,-1.7933925277235835e-05
1.495,-1.9233302073988385e-05
1.4975,-2.0488174245640524e-05
1.5,-2.169353537959085e-05
1.5025,-2.2844716478995304e-05
1.505,-2.3937025684973714e-05
1.5075,-2.4965452839253067e-05
1.51,-2.5927455141061678e-05
1.5125,-2.6819815011740725e-05
1.515,-2.7638496075717819e-05
1.5175,-2.8379831261408764e-05
1.52,-2.9040380475530391e-05
1.5225,-2.9615729471149325e-05
1.525,-3.0104261808085853e-05
1.5275,-3.0504880722592307e-05
1.53,-3.0816189497170815e-05
1.5325,-3.1036176569564084e-05
1.535,-3.116475886750602e-05
1.5375,-3.1201457111043023e-05
1.54,-3.1143551497532554e-05
1.5425,-3.0990662109201403e-05
1.545,-3.0742867795464087e-05
1.5475,-3.0399037941570446e-05
1.55,-2.9957853015588033e-05
1.5525,-2.9418859092978866e-05
1.555,-2.878145915256648e-05
1.5575,-2.8045630905338474e-05
1.56,-2.7214002003836015e-05
1.5625,-2.628872948514921e-05
1.565,-2.5271832483199369e-05
1.5675,-2.4165137720060657e-05
1.57,-2.297222351409054e-05
1.5725,-2.1696984254883864e-05
1.575,-2.0341364053416709e-05
1.5775,-1.8910418742046571e-05
1.58,-1.7406415982936569e-05
1.5825,-1.5832547399273425e-05
1.585,-1.4194322418042226e-05
1.5875,-1.2498195058698194e-05
1.59,-1.0745370159108632e-05
1.5925,-8.9423237312446991e-06
1.595,-7.0952393402459786e-06
1.5975,-5.2091818921625651e-06
1.6,-3.2883186407921437e-06
1.6025,-1.3395999242390285e-06
1.605,6.3122904756922055e-07
1.6075,2.6189840560569981e-06
1.61,4.6159367654545081e-06
1.6125,6.6156502500601755e-06
1.615,8.6127988688730475e-06
1.6175,1.0601008674218017e-05
1.62,1.2573295671015471e-05
1.6225,1.4522856707212184e-05
1.625,1.64431063033021e-05
1.6275,1.8327107359284934e-05
1.63,2.0168971123767384e-05
1.6325,2.1962258973466662e-05
1.635,2.3700118843131808e-05
1.6375,2.5378448617180046e-05
1.64,2.6990299501073218e-05
1.6425,2.8528707182688113e-05
1.645,2.9986775926663732e-05
1.6475,3.1358534905813491e-05
1.65,3.2640745048729586e-05
1.6525,3.3826752681626957e-05
1.655,3.4911890014378919e-05
1.6575,3.5894171097868477e-05
1.66,3.6768325320486042e-05
1.6625,3.7530498932607985e-05
1.665,3.8177565136547914e-05
1.6675,3.8706165763406817e-05
1.67,3.911357444547089e-05
1.6725,3.9399150230775282e-05
1.675,3.9560494543810343e-05
1.6775,3.9594543287196475e-05
1.68,3.9500237886972034e-05
