Physical Time (s),ev_left Monitor (kg-m/s^3)
1.33,-5.9292307145208328e-08
1.3325,-5.9268213743053919e-08
1.335,-5.9243473789279103e-08
1.3375,-5.9217997642585105e-08
1.34,-5.9191710635952944e-08
1.3425,-5.9164568201870572e-08
1.345,-5.9136561244574773e-08
1.3475,-5.9107706684767019e-08
1.35,-5.9078030351384548e-08
1.3525,-5.9047570723178111e-08
1.355,-5.901637945755022e-08
1.3575,-5.8984522929691096e-08
1.36,-5.895208143478724e-08
1.3625,-5.8919148914945197e-08
1.365,-5.8885832616880015e-08
1.3675,-5.8852244341961178e-08
1.37,-5.8818486684577686e-08
1.3725,-5.8784640633340594e-08
1.375,-5.8750765701753908e-08
1.3775,-5.8716908718226175e-08
1.38,-5.8683108158340711e-08
1.3825,-5.8649388469618124e-08
1.385,-5.8615750781983629e-08
1.3875,-5.8582167376930123e-08
1.39,-5.8548581826828001e-08
1.3925,-5.8514916361364496e-08
1.395,-5.848108342732021e-08
1.3975,-5.8446994346049234e-08
1.4,-5.8412556514486137e-08
1.4025,-5.8377673954610367e-08
1.405,-5.8342244918150249e-08
1.4075,-5.8306162434123806e-08
1.41,-5.8269314665772229e-08
1.4125,-5.8231585507432516e-08
1.415,-5.819285371426136e-08
1.4175,-5.8152989346632396e-08
1.42,-5.8111863833765517e-08
1.4225,-5.8069343537141227e-08
1.425,-5.8025311727433571e-08
1.4275,-5.79796757796849e-08
1.43,-5.7932371640310362e-08
1.4325,-5.7883365488122863e-08
1.435,-5.7832645947534513e-08
1.4375,-5.7780215595702884e-08
1.44,-5.7726083491515121e-08
1.4425,-5.7670274593027805e-08
1.445,-5.7612841643616906e-08
1.4475,-5.7553866441865382e-08
1.45,-5.7493456253801813e-08
1.4525,-5.7431746147869307e-08
1.455,-5.7368898421886388e-08
1.4575,-5.7305100444117428e-08
1.46,-5.7240548814653734e-08
1.4625,-5.7175441103583188e-08
1.465,-5.7109976180842387e-08
1.4675,-5.704437641292543e-08
1.47,-5.6978886335515448e-08
1.4725,-5.6913756722132914e-08
1.475,-5.684923290952266e-08
1.4775,-5.6785546042631986e-08
1.48,-5.6722909521314023e-08
1.4825,-5.6661515296108182e-08
1.485,-5.6601532726021991e-08
1.4875,-5.6543105360267686e-08
1.49,-5.6486372391505557e-08
1.4925,-5.6431485879351446e-08
1.495,-5.6378600463922403e-08
1.4975,-5.6327861976076152e-08
1.5,-5.6279394792339584e-08
1.5025,-5.6233290180508747e-08
1.505,-5.6189598211189189e-08
1.5075,-5.6148328755132347e-08
1.51,-5.6109435518623655e-08
1.5125,-5.6072850624321e-08
1.515,-5.6038479832725574e-08
1.5175,-5.600619169448012e-08
1.52,-5.5975818486565582e-08
1.5225,-5.5947166518839118e-08
1.525,-5.5920022016490839e-08
1.5275,-5.5894142243636424e-08
1.53,-5.5869240921014915e-08
1.5325,-5.5844988227879462e-08
1.535,-5.5821030697732204e-08
1.5375,-5.5797006293050108e-08
1.54,-5.5772565270204519e-08
1.5425,-5.574735936622314e-08
1.545,-5.5721011418314427e-08
1.5475,-5.5693109529020932e-08
1.55,-5.5663221584766534e-08
1.5525,-5.5630932289349031e-08
1.555,-5.5595881870254702e-08
1.5575,-5.5557789419706006e-08
1.56,-5.5516407128805335e-08
1.5625,-5.5471594187193055e-08
1.565,-5.5423301468896442e-08
1.5675,-5.5371520453038166e-08
1.57,-5.5316263404623349e-08
1.5725,-5.5257563173160461e-08
1.575,-5.5195497301131941e-08
1.5775,-5.5130156063160747e-08
1.58,-5.5061686131768356e-08
1.5825,-5.4990320167605864e-08
1.585,-5.4916388179127396e-08
1.5875,-5.4840321265441385e-08
1.59,-5.4762633752299794e-08
1.5925,-5.4683888584456048e-08
