Physical Time (s),FreestreamDensity Monitor (kg/m^3)
3.105,1.18415
3.1075,1.18415
3.11,1.18415
3.1125,1.18415
3.115,1.18415
3.1175,1.18415
3.12,1.18415
3.1225,1.18415
3.125,1.18415
3.1275,1.18415
3.13,1.18415
3.1325,1.18415
3.135,1.18415
3.1375,1.18415
3.14,1.18415
3.1425,1.18415
3.145,1.18415
3.1475,1.18415
3.15,1.18415
3.1525,1.18415
3.155,1.18415
3.1575,1.18415
3.16,1.18415
3.1625,1.18415
3.165,1.18415
3.1675,1.18415
3.17,1.18415
3.1725,1.18415
3.175,1.18415
3.1775,1.18415
3.18,1.18415
3.1825,1.18415
3.185,1.18415
3.1875,1.18415
3.19,1.18415
3.1925,1.18415
3.195,1.18415
3.1975,1.18415
3.2,1.18415
3.2025,1.18415
3.205,1.18415
3.2075,1.18415
3.21,1.18415
3.2125,1.18415
3.215,1.18415
3.2175,1.18415
3.22,1.18415
3.2225,1.18415
3.225,1.18415
3.2275,1.18415
3.23,1.18415
3.2325,1.18415
3.235,1.18415
3.2375,1.18415
3.24,1.18415
3.2425,1.18415
3.245,1.18415
3.2475,1.18415
3.25,1.18415
3.2525,1.18415
3.255,1.18415
3.2575,1.18415
3.26,1.18415
3.2625,1.18415
3.265,1.18415
3.2675,1.18415
3.27,1.18415
3.2725,1.18415
3.275,1.18415
3.2775,1.18415
3.28,1.18415
3.2825,1.18415
3.285,1.18415
3.2875,1.18415
3.29,1.18415
3.2925,1.18415
3.295,1.18415
3.2975,1.18415
3.3,1.18415
3.3025,1.18415
3.305,1.18415
3.3075,1.18415
3.31,1.18415
3.3125,1.18415
3.315,1.18415
3.3175,1.18415
3.32,1.18415
3.3225,1.18415
3.325,1.18415
3.3275,1.18415
3.33,1.18415
3.3325,1.18415
3.335,1.18415
3.3375,1.18415
3.34,1.18415
3.3425,1.18415
3.345,1.18415
3.3475,1.18415
3.35,1.18415
3.3525,1.18415
3.355,1.18415
3.3575,1.18415
3.36,1.18415
3.3625,1.18415
3.365,1.18415
3.3675,1.18415
3.37,1.18415
3.3725,1.18415
3.375,1.18415
3.3775,1.18415
3.38,1.18415
3.3825,1.18415
3.385,1.18415
3.3875,1.18415
3.39,1.18415
3.3925,1.18415
3.395,1.18415
3.3975,1.18415
3.4,1.18415
3.4025,1.18415
3.405,1.18415
3.4075,1.18415
3.41,1.18415
3.4125,1.18415
3.415,1.18415
3.4175,1.18415
3.42,1.18415
3.4225,1.18415
3.425,1.18415
3.4275,1.18415
3.43,1.18415
3.4325,1.18415
3.435,1.18415
3.4375,1.18415
3.44,1.18415
3.4425,1.18415
3.445,1.18415
3.4475,1.18415
3.45,1.18415
3.4525,1.18415
3.455,1.18415
3.4575,1.18415
3.46,1.18415
3.4625,1.18415
3.465,1.18415
3.4675,1.18415
3.47,1.18415
3.4725,1.18415
3.475,1.18415
3.4775,1.18415
3.48,1.18415
3.4825,1.18415
3.485,1.18415
3.4875,1.18415
3.49,1.18415
3.4925,1.18415
3.495,1.18415
3.4975,1.18415
3.5,1.18415
3.5025,1.18415
3.505,1.18415
3.5075,1.18415
3.51,1.18415
3.5125,1.18415
3.515,1.18415
3.5175,1.18415
3.52,1.18415
3.5225,1.18415
3.525,1.18415
3.5275,1.18415
3.53,1.18415
3.5325,1.18415
3.535,1.18415
3.5375,1.18415
3.54,1.18415
3.5425,1.18415
3.545,1.18415
3.5475,1.18415
3.55,1.18415
3.5525,1.18415
3.555,1.18415
3.5575,1.18415
3.56,1.18415
3.5625,1.18415
3.565,1.18415
3.5675,1.18415
3.57,1.18415
3.5725,1.18415
3.575,1.18415
3.5775,1.18415
3.58,1.18415
3.5825,1.18415
3.585,1.18415
3.5875,1.18415
3.59,1.18415
3.5925,1.18415
3.595,1.18415
3.5975,1.18415
3.6,1.18415
3.6025,1.18415
