Physical Time (s),ep_top Monitor (kg-m/s^3): top_cv1,ep_top Monitor (kg-m/s^3): top_cv2,ep_top Monitor (kg-m/s^3): top_cv3,ep_top Monitor (kg-m/s^3): top_cv4,ep_top Monitor (kg-m/s^3): top_cv5,ep_top Monitor (kg-m/s^3): top_cv6,ep_top Monitor (kg-m/s^3): top_cv7
0.225,-3.3161384314333138e-08,-1.4596142178212238e-08,1.6399983567588188e-08,3.4907710422097168e-08,4.5827337796534361e-08,5.4049531894934702e-08,4.7572160875870127e-08
0.2275,-3.127071619508369e-08,-1.2785084743217243e-08,1.5762479787810326e-08,3.1648442737339946e-08,4.1746453451587911e-08,5.2328373154793624e-08,4.5763195184114321e-08
0.23,-2.7490240428267604e-08,-8.6165554753443789e-09,1.8297736715195258e-08,3.1391538884801073e-08,3.9911889634064553e-08,5.1715350721023875e-08,4.7605825373816997e-08
0.2325,-2.2543658862857902e-08,-2.7261043222979364e-09,2.379173251948434e-08,3.4384058254995865e-08,4.0793092911028334e-08,5.2214656961946014e-08,5.2386219604930288e-08
0.235,-1.7099295419008278e-08,4.1672376282688973e-09,3.1701036493359911e-08,4.0501369832546416e-08,4.4620003532682175e-08,5.4002726301218742e-08,5.9042321609534292e-08
0.2375,-1.1678866665557176e-08,1.1333458664458509e-08,4.115380337164268e-08,4.9149463072988721e-08,5.1198293328884421e-08,5.7257227626590542e-08,6.6380540072455056e-08
0.24,-6.3739747775870466e-09,1.838078206011785e-08,5.1401458987839388e-08,5.9617223621736171e-08,6.0065280298291294e-08,6.2006588662824227e-08,7.3210491431701458e-08
0.2425,-1.710837729557122e-09,2.4227560372967462e-08,6.0461663890127149e-08,6.9818851065991689e-08,6.948829617932088e-08,6.7551030817428428e-08,7.834005591535706e-08
0.245,2.5665378630838878e-09,2.8726179660094807e-08,6.7339350086657218e-08,7.8371316094844346e-08,7.8077773856652836e-08,7.3140585854611056e-08,8.1077544577574647e-08
0.2475,6.7083929083902376e-09,3.1796734339548071e-08,7.1011975523539791e-08,8.366887939716703e-08,8.4064647064458488e-08,7.7515345845587827e-08,8.0973531168474496e-08
0.25,1.1077450549892696e-08,3.3759592517280733e-08,7.1275666233372786e-08,8.4927826653928873e-08,8.6339654492777808e-08,7.963641497162733e-08,7.8175215412979671e-08
0.2525,1.6015653831379753e-08,3.5136825676921818e-08,6.8643321723358872e-08,8.2318958903928776e-08,8.4742703921983466e-08,7.9014383004341568e-08,7.3267283166358526e-08
0.255,2.1845334725534894e-08,3.6313560057300808e-08,6.3508271769864599e-08,7.6092181818948722e-08,7.9306636016838631e-08,7.5218505869145097e-08,6.6411027167673617e-08
0.2575,2.863550274252847e-08,3.7892246716277052e-08,5.7095090425988637e-08,6.7486448467580461e-08,7.1068570265453946e-08,6.8818413757861637e-08,5.8586561885241958e-08
0.26,3.6328220683613799e-08,4.0186148294816528e-08,5.0247415971016405e-08,5.7457392038751104e-08,6.0922397961494698e-08,6.036145800239267e-08,5.0212832036618168e-08
0.2625,4.4538930493484323e-08,4.3438807029476625e-08,4.4281437897994984e-08,4.7659728528779512e-08,5.052643907428785e-08,5.1257579009608209e-08,4.2358236924287153e-08
0.265,5.2809055129814881e-08,4.7456864484807754e-08,3.9606686734571626e-08,3.8768223221836362e-08,4.0611884045698952e-08,4.2171173161250396e-08,3.5169480457349143e-08
0.2675,6.0574476310861254e-08,5.2017577622536947e-08,3.6863218817302753e-08,3.1853908930305741e-08,3.2353325259774059e-08,3.4259861525730198e-08,2.9336321766921407e-08
