Physical Time (s),xth_right Monitor (kg-m/s^3): right_cv1,xth_right Monitor (kg-m/s^3): right_cv2,xth_right Monitor (kg-m/s^3): right_cv3,xth_right Monitor (kg-m/s^3): right_cv4,xth_right Monitor (kg-m/s^3): right_cv5,xth_right Monitor (kg-m/s^3): right_cv6,xth_right Monitor (kg-m/s^3): right_cv7
0.31,1.3587885121899013e-11,3.4040717911570574e-11,1.2290963574808023e-13,-1.1817681858101629e-13,1.4329019951863266e-13,-1.8543663762535082e-13,-7.3255505816206264e-15
0.3125,1.3432947875758995e-11,3.3292635535570371e-11,5.7826560185348769e-15,-6.399390814103835e-14,-2.2183950821227466e-15,-3.0107489459741725e-14,-1.0165159470117162e-13
0.315,1.3559136386454284e-11,3.2495344173747541e-11,5.2518317702745927e-14,-6.4921079545632688e-14,-6.4333226990946157e-14,-6.7948061017249907e-14,-7.4077097028333256e-14
0.3175,1.3822914319949723e-11,3.1460220319395196e-11,8.9212807267537707e-14,3.8607677015976006e-14,8.8601093440923208e-14,1.8885835398566448e-14,-2.1671408384974733e-14
0.32,1.3786316050134975e-11,3.066666523829285e-11,1.3507754122832666e-13,2.5484679662425951e-14,-1.5610206523932607e-14,-6.2310227761391953e-14,2.4759680500502054e-14
0.3225,1.3954199396304687e-11,2.9527538012793603e-11,3.6597430832535437e-14,-5.7044342294402678e-14,1.1794028569441014e-13,-6.8053718117937972e-14,7.9710866057377215e-14
0.325,1.4039158872309546e-11,2.8487306276973989e-11,-2.0615008276450269e-14,-6.1848213015327791e-14,8.3214820993387114e-14,1.9863009409446771e-14,-1.1247822895380484e-13
0.3275,1.3990875494424332e-11,2.7651243776526938e-11,3.3746928698445359e-14,-1.5087806325855777e-14,4.7341195438946438e-14,8.0843120835166945e-14,5.1466775478180143e-14
0.33,1.411625138192364e-11,2.6449528601427102e-11,-1.0277738701946564e-13,-1.1575507918343135e-13,3.629155728046823e-14,-1.2060581378887814e-14,1.0376162351804892e-13
0.3325,1.4269676426332129e-11,2.5507431275770799e-11,-3.7523542803531655e-15,-3.8556812603954694e-14,-1.0820796024730137e-13,8.9379975428319477e-15,5.4729002119732387e-15
0.335,1.4212063339041711e-11,2.4543632216425862e-11,2.0007358030343453e-14,7.3129174420592877e-14,-1.3175326492488992e-13,3.9621646686838325e-14,1.3200454780987993e-13
0.3375,1.4255482880232118e-11,2.3414008438880268e-11,9.2073830164944603e-14,1.510912456817669e-13,5.5374349477637899e-14,-1.092559549618768e-14,-3.4122156043832918e-14
0.34,1.4327299584181202e-11,2.2502317557728121e-11,-3.1327718375624524e-14,4.8911124261149881e-14,3.2711549647609503e-14,3.9309884880351492e-14,-6.2820908802550158e-14
