Physical Time (s),FreestreamDynamicViscosity Monitor (Pa-s)
1.0125,1.8459666102616306e-05
1.015,1.845966610261614e-05
1.0175,1.8459666102615974e-05
1.02,1.8459666102615811e-05
1.0225,1.8459666102615655e-05
1.025,1.84596661026155e-05
1.0275,1.8459666102615347e-05
1.03,1.8459666102615201e-05
1.0325,1.8459666102615052e-05
1.035,1.8459666102614913e-05
1.0375,1.8459666102614778e-05
1.04,1.8459666102614649e-05
1.0425,1.845966610261452e-05
1.045,1.8459666102614402e-05
1.0475,1.845966610261428e-05
1.05,1.8459666102614168e-05
1.0525,1.8459666102614056e-05
1.055,1.8459666102613965e-05
1.0575,1.845966610261386e-05
1.06,1.8459666102613761e-05
1.0625,1.8459666102613673e-05
1.065,1.8459666102613585e-05
1.0675,1.8459666102613504e-05
1.07,1.8459666102613416e-05
1.0725,1.8459666102613335e-05
1.075,1.8459666102613257e-05
1.0775,1.8459666102613185e-05
1.08,1.8459666102613111e-05
1.0825,1.8459666102613033e-05
1.085,1.8459666102612958e-05
1.0875,1.8459666102612887e-05
1.09,1.8459666102612816e-05
1.0925,1.8459666102612752e-05
1.095,1.8459666102612681e-05
1.0975,1.8459666102612613e-05
1.1,1.8459666102612549e-05
1.1025,1.8459666102612494e-05
1.105,1.845966610261243e-05
1.1075,1.8459666102612379e-05
1.11,1.8459666102612318e-05
1.1125,1.8459666102612257e-05
1.115,1.84596661026122e-05
1.1175,1.8459666102612139e-05
1.12,1.8459666102612081e-05
1.1225,1.845966610261203e-05
1.125,1.8459666102611973e-05
1.1275,1.8459666102611915e-05
1.13,1.8459666102611861e-05
1.1325,1.84596661026118e-05
1.135,1.8459666102611739e-05
1.1375,1.8459666102611685e-05
1.14,1.845966610261162e-05
1.1425,1.8459666102611569e-05
1.145,1.8459666102611502e-05
1.1475,1.8459666102611444e-05
1.15,1.8459666102611393e-05
1.1525,1.8459666102611336e-05
1.155,1.8459666102611281e-05
1.1575,1.8459666102611224e-05
1.16,1.845966610261118e-05
1.1625,1.8459666102611119e-05
1.165,1.8459666102611065e-05
1.1675,1.845966610261102e-05
1.17,1.8459666102610966e-05
1.1725,1.8459666102610922e-05
1.175,1.8459666102610875e-05
1.1775,1.8459666102610834e-05
1.18,1.845966610261079e-05
1.1825,1.8459666102610753e-05
1.185,1.8459666102610712e-05
1.1875,1.8459666102610675e-05
1.19,1.8459666102610641e-05
1.1925,1.8459666102610611e-05
1.195,1.845966610261058e-05
1.1975,1.8459666102610546e-05
1.2,1.8459666102610519e-05
1.2025,1.8459666102610495e-05
1.205,1.8459666102610461e-05
1.2075,1.8459666102610441e-05
1.21,1.8459666102610411e-05
1.2125,1.8459666102610387e-05
1.215,1.845966610261036e-05
1.2175,1.8459666102610336e-05
1.22,1.8459666102610323e-05
1.2225,1.8459666102610289e-05
1.225,1.8459666102610275e-05
1.2275,1.8459666102610255e-05
1.23,1.8459666102610238e-05
1.2325,1.8459666102610217e-05
1.235,1.8459666102610194e-05
1.2375,1.8459666102610177e-05
1.24,1.845966610261015e-05
1.2425,1.8459666102610143e-05
1.245,1.8459666102610123e-05
1.2475,1.8459666102610109e-05
1.25,1.8459666102610089e-05
1.2525,1.8459666102610072e-05
1.255,1.8459666102610062e-05
1.2575,1.8459666102610045e-05
1.26,1.8459666102610031e-05
1.2625,1.8459666102610024e-05
1.265,1.8459666102610007e-05
1.2675,1.8459666102609997e-05
1.27,1.8459666102609984e-05
1.2725,1.845966610260998e-05
1.275,1.8459666102609967e-05
1.2775,1.8459666102609953e-05
1.28,1.845966610260994e-05
1.2825,1.8459666102609936e-05
1.285,1.8459666102609926e-05
1.2875,1.8459666102609923e-05
1.29,1.8459666102609913e-05
1.2925,1.8459666102609906e-05
1.295,1.8459666102609902e-05
1.2975,1.8459666102609902e-05
1.3,1.8459666102609902e-05
1.3025,1.8459666102609906e-05
1.305,1.8459666102609909e-05
1.3075,1.8459666102609913e-05
1.31,1.8459666102609916e-05
1.3125,1.8459666102609919e-05
1.315,1.8459666102609923e-05
1.3175,1.8459666102609936e-05
1.32,1.8459666102609936e-05
1.3225,1.8459666102609943e-05
1.325,1.8459666102609946e-05
1.3275,1.8459666102609953e-05
1.33,1.845966610260996e-05
1.3325,1.845966610260997e-05
1.335,1.845966610260998e-05
1.3375,1.8459666102609984e-05
1.34,1.845966610260999e-05
1.3425,1.8459666102609997e-05
1.345,1.8459666102610004e-05
1.3475,1.8459666102610014e-05
1.35,1.8459666102610024e-05
1.3525,1.8459666102610028e-05
1.355,1.8459666102610038e-05
1.3575,1.8459666102610038e-05
1.36,1.8459666102610041e-05
1.3625,1.8459666102610048e-05
1.365,1.8459666102610048e-05
1.3675,1.8459666102610058e-05
1.37,1.8459666102610058e-05
1.3725,1.8459666102610058e-05
1.375,1.8459666102610048e-05
1.3775,1.8459666102610048e-05
1.38,1.8459666102610045e-05
1.3825,1.8459666102610038e-05
1.385,1.8459666102610028e-05
1.3875,1.8459666102610024e-05
1.39,1.8459666102610014e-05
1.3925,1.8459666102610004e-05
1.395,1.8459666102609987e-05
1.3975,1.845966610260998e-05
1.4,1.845966610260996e-05
1.4025,1.8459666102609943e-05
1.405,1.8459666102609936e-05
1.4075,1.8459666102609919e-05
1.41,1.8459666102609902e-05
1.4125,1.8459666102609889e-05
1.415,1.8459666102609872e-05
1.4175,1.8459666102609852e-05
1.42,1.8459666102609841e-05
1.4225,1.8459666102609821e-05
1.425,1.8459666102609804e-05
1.4275,1.8459666102609777e-05
1.43,1.8459666102609767e-05
1.4325,1.845966610260975e-05
1.435,1.845966610260973e-05
1.4375,1.8459666102609716e-05
1.44,1.8459666102609702e-05
1.4425,1.8459666102609682e-05
1.445,1.8459666102609669e-05
1.4475,1.8459666102609652e-05
1.45,1.8459666102609635e-05
1.4525,1.8459666102609625e-05
1.455,1.8459666102609608e-05
1.4575,1.8459666102609594e-05
1.46,1.8459666102609577e-05
1.4625,1.845966610260956e-05
1.465,1.8459666102609553e-05
1.4675,1.8459666102609543e-05
1.47,1.8459666102609526e-05
1.4725,1.8459666102609513e-05
1.475,1.8459666102609506e-05
1.4775,1.8459666102609496e-05
1.48,1.8459666102609489e-05
1.4825,1.8459666102609472e-05
1.485,1.8459666102609465e-05
1.4875,1.8459666102609459e-05
1.49,1.8459666102609455e-05
1.4925,1.8459666102609452e-05
1.495,1.8459666102609438e-05
1.4975,1.8459666102609435e-05
1.5,1.8459666102609431e-05
1.5025,1.8459666102609431e-05
1.505,1.8459666102609425e-05
1.5075,1.8459666102609418e-05
1.51,1.8459666102609411e-05
1.5125,1.8459666102609404e-05
1.515,1.8459666102609401e-05
1.5175,1.8459666102609391e-05
1.52,1.8459666102609384e-05
1.5225,1.8459666102609377e-05
1.525,1.845966610260937e-05
1.5275,1.8459666102609357e-05
1.53,1.8459666102609347e-05
1.5325,1.8459666102609333e-05
1.535,1.8459666102609337e-05
1.5375,1.845966610260933e-05
1.54,1.8459666102609326e-05
1.5425,1.8459666102609316e-05
1.545,1.8459666102609313e-05
1.5475,1.8459666102609299e-05
1.55,1.8459666102609293e-05
1.5525,1.8459666102609293e-05
1.555,1.8459666102609286e-05
1.5575,1.8459666102609279e-05
1.56,1.8459666102609276e-05
1.5625,1.8459666102609272e-05
1.565,1.8459666102609269e-05
1.5675,1.8459666102609262e-05
1.57,1.8459666102609248e-05
1.5725,1.8459666102609248e-05
1.575,1.8459666102609245e-05
1.5775,1.8459666102609245e-05
1.58,1.8459666102609248e-05
1.5825,1.8459666102609248e-05
1.585,1.8459666102609248e-05
1.5875,1.8459666102609248e-05
1.59,1.8459666102609252e-05
1.5925,1.8459666102609252e-05
1.595,1.8459666102609269e-05
1.5975,1.8459666102609276e-05
1.6,1.8459666102609289e-05
1.6025,1.8459666102609296e-05
1.605,1.8459666102609313e-05
1.6075,1.8459666102609316e-05
1.61,1.8459666102609337e-05
1.6125,1.8459666102609337e-05
1.615,1.8459666102609364e-05
1.6175,1.8459666102609377e-05
1.62,1.8459666102609391e-05
1.6225,1.8459666102609411e-05
1.625,1.8459666102609425e-05
1.6275,1.8459666102609442e-05
1.63,1.8459666102609459e-05
1.6325,1.8459666102609472e-05
