Physical Time (s),aphi_vol Monitor (kg-m/s^3): cv1,aphi_vol Monitor (kg-m/s^3): cv2,aphi_vol Monitor (kg-m/s^3): cv3,aphi_vol Monitor (kg-m/s^3): cv4,aphi_vol Monitor (kg-m/s^3): cv5,aphi_vol Monitor (kg-m/s^3): cv6,aphi_vol Monitor (kg-m/s^3): cv7
0.2775,3.7708128576407238e-05,4.5000303969107476e-05,4.5347489590255129e-05,4.5351722348208009e-05,4.5351955326275932e-05,4.5352001839129342e-05,4.5352016956839635e-05
0.28,3.7632609888306316e-05,4.4993775333335641e-05,4.5348860811848391e-05,4.5353167946288933e-05,4.535341167830528e-05,4.5353458426792272e-05,4.5353471660709856e-05
0.2825,3.7558968185896386e-05,4.4987952944387505e-05,4.5350845091748762e-05,4.5355229054981269e-05,4.5355484180853643e-05,4.5355531662034258e-05,4.535554302219408e-05
0.285,3.748460195590428e-05,4.4980700923826541e-05,4.5351319194387691e-05,4.5355781151636338e-05,4.535604809996267e-05,4.5356096662497468e-05,4.5356106298543438e-05
0.2875,3.7412620566157096e-05,4.4974835308003634e-05,4.5353047600466718e-05,4.5357586036194344e-05,4.5357864871287312e-05,4.5357914765834939e-05,4.5357923101277145e-05
0.29,3.7342270954810139e-05,4.4969781610346753e-05,4.5355453700303647e-05,4.5360066156095866e-05,4.5360356711498575e-05,4.5360408067873633e-05,4.5360415613013107e-05
0.2925,3.7275252624365984e-05,4.4967099060231011e-05,4.5360064783295664e-05,4.5364748227972176e-05,4.5365050139777852e-05,4.5365102939993311e-05,4.5365110206960321e-05
0.295,3.7209625706758435e-05,4.4965018760962612e-05,4.5365110318621639e-05,4.5369862466175408e-05,4.5370175337603155e-05,4.5370229433410449e-05,4.5370236800862062e-05
0.2975,3.7143943344298455e-05,4.4962296270151391e-05,4.5369347138182707e-05,4.5374166468669486e-05,4.5374490009729851e-05,4.5374545151541798e-05,4.5374552839382423e-05
0.3,3.7076174406869313e-05,4.4957127834329558e-05,4.5370963432013199e-05,4.5375849052032469e-05,4.5376183231988068e-05,4.5376239109377433e-05,4.5376247201527437e-05
0.3025,3.7008169370086487e-05,4.4951055555618601e-05,4.537144923735637e-05,4.5376399460589776e-05,4.5376744517767594e-05,4.5376800793948771e-05,4.5376809274846613e-05
0.305,3.6940838306681514e-05,4.4945118512117719e-05,4.5371841255674209e-05,4.5376854524921933e-05,4.5377210930085663e-05,4.5377267362865228e-05,4.5377276184407175e-05
0.3075,3.6873105062860759e-05,4.4938330013119543e-05,4.5371156865427802e-05,4.5376232685853686e-05,4.5376601040381142e-05,4.5376657539821386e-05,4.5376666689536809e-05
