Physical Time (s),enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv1,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv2,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv3,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv4,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv5,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv6,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv7
0.2425,-5.3651538403180422e-05,0.00017921659129272171,-6.0721781527485241e-05,-4.8678007387744534e-05,-4.1360962083530549e-05,-5.6109009042200556e-05,-0.00012011265054089279
0.245,-4.8093996808428851e-05,0.00019342299100250519,-5.7684170581427535e-05,-4.5572318263297888e-05,-3.4801379716608411e-05,-4.0116104414291307e-05,-0.00011292529837747284
0.2475,-3.8901497751653506e-05,0.00021126297799635576,-5.2336461631987514e-05,-4.1909381116826874e-05,-2.9053206148951223e-05,-2.4548868521562743e-05,-9.9144111997872847e-05
0.25,-2.7121306350064823e-05,0.00023177131637900278,-4.4775398850874763e-05,-3.7469759109262174e-05,-2.4186127147296372e-05,-1.0821957346844764e-05,-8.0328419983954197e-05
0.2525,-1.3939082982221902e-05,0.00025380859888465027,-3.5415203557447047e-05,-3.2148661494342014e-05,-2.0050210916662797e-05,2.0557510315560195e-07,-5.8306450680142945e-05
0.255,-3.5651606349508338e-07,0.00027637776882155499,-2.4937872510099078e-05,-2.6271480825510063e-05,-1.679198359555195e-05,7.9087778375464408e-06,-3.4574274776048822e-05
0.2575,1.2272654878177062e-05,0.0002982506041759113,-1.3932547501866697e-05,-1.9814049491496981e-05,-1.394310695723131e-05,1.2110327211351301e-05,-1.1252675156040316e-05
0.26,2.2960981661325819e-05,0.00031840303798507102,-2.9899229527322928e-06,-1.3019133029748425e-05,-1.1344897055321418e-05,1.2931588269319273e-05,1.015544355834902e-05
0.2625,3.0884036093535242e-05,0.00033581927645621903,7.2532832137319589e-06,-6.0145053296011282e-06,-8.5398456586540147e-06,1.1196847587489558e-05,2.7946829799168329e-05
0.265,3.5716034755422419e-05,0.00034986533391903466,1.6252925501102953e-05,9.1550135439110306e-07,-5.4370362778051421e-06,7.6676643916522691e-06,4.1257567059836602e-05
0.2675,3.7463910584331967e-05,0.0003601776045096125,2.3482835348531385e-05,7.4619808996935168e-06,-1.8791639777164004e-06,3.4815619558275351e-06,4.9494879031215694e-05
0.27,3.6348379168184899e-05,0.0003667333594477823,2.8591372504056532e-05,1.3224779325631867e-05,2.0295881460660694e-06,-5.2879161035603651e-07,5.2660485642171443e-05
0.2725,3.2800873666005139e-05,0.00036970030590454767,3.1174100663055572e-05,1.7471386744315893e-05,5.7756833830733302e-06,-3.6501374140566983e-06,5.1016018215557901e-05
0.275,2.7328874356872549e-05,0.00036951334424225495,3.1350256593022528e-05,1.9919011800066583e-05,8.9323258812026554e-06,-5.6569311749480499e-06,4.5463010183976392e-05
0.2775,2.0595901553655341e-05,0.00036674818599080806,2.9395554031975095e-05,2.0432142181243874e-05,1.1072117154862517e-05,-6.5319024513406849e-06,3.7135851410836882e-05
0.28,1.3025510342180704e-05,0.00036184632309832249,2.5722094004371211e-05,1.9270676921194666e-05,1.2201102079981131e-05,-6.2875204662410341e-06,2.7057566403354105e-05
0.2825,5.2527013867518733e-06,0.00035547007905289198,2.0732436808637557e-05,1.6436742777680102e-05,1.1949858503564864e-05,-5.3248267568092192e-06,1.6506322190052132e-05
0.285,-2.4839338108785367e-06,0.00034802407466409712,1.4812343458778723e-05,1.2179941396028871e-05,1.038583809619959e-05,-3.851544783073352e-06,6.3992188497962878e-06
0.2875,-9.6609270287360516e-06,0.00034014548510834111,8.589783695740556e-06,6.7978392566458462e-06,7.3499868710508697e-06,-2.6243904142361214e-06,-2.0533657629006313e-06
0.29,-1.6092403938747246e-05,0.00033216333472977277,2.5498287070180975e-06,7.7557161277267349e-07,3.0791539116977716e-06,-2.0333309454634676e-06,-8.2077392852816362e-06
0.2925,-2.1571084373021276e-05,0.00032438626135515179,-2.772816226846513e-06,-5.2042608914176609e-06,-1.9472794276188609e-06,-2.4082886796871779e-06,-1.1721886928924074e-05
0.295,-2.615993604340649e-05,0.00031690228074655045,-7.2199932085007712e-06,-1.0711411414596801e-05,-7.20805705067716e-06,-3.598244011632572e-06,-1.2691228709698909e-05
0.2975,-3.0007259194843935e-05,0.00030971336685388129,-1.0752365378362887e-05,-1.5490693827686621e-05,-1.2277595004409347e-05,-5.3921209942684376e-06,-1.1362582683210391e-05
0.3,-3.344713066343124e-05,0.00030273371614976895,-1.3443213022536771e-05,-1.9497306373726722e-05,-1.6898004885792058e-05,-7.5652477747621406e-06,-8.0707068478550845e-06
0.3025,-3.6748848120658577e-05,0.00029593647777156982,-1.513317881378991e-05,-2.2469126300975346e-05,-2.0588260648733892e-05,-9.7675740847079331e-06,-3.4373323116961223e-06
0.305,-4.0039730093055735e-05,0.00028926350786042927,-1.5745190084070885e-05,-2.4208337621762073e-05,-2.298918499670704e-05,-1.1545580082298984e-05,1.8216041151916466e-06
0.3075,-4.3476705349854264e-05,0.00028246211592523012,-1.5465466790527281e-05,-2.4701737435182e-05,-2.4021519443049002e-05,-1.2557256779206231e-05,7.1007954851091651e-06
0.31,-4.6996340799043617e-05,0.00027534716374254318,-1.4506692889587055e-05,-2.3940496773478501e-05,-2.3571648159638095e-05,-1.2474770529554966e-05,1.1816326067269353e-05
0.3125,-5.0537786830453501e-05,0.00026786667009295108,-1.3153499397309875e-05,-2.2117976042060463e-05,-2.1688454247476283e-05,-1.1140985913763896e-05,1.5535358035062047e-05
0.315,-5.4207428889286185e-05,0.00025998573090874847,-1.1697336440803727e-05,-1.9552679511362534e-05,-1.8573216327686131e-05,-8.5697267004803653e-06,1.7993502655820526e-05
0.3175,-5.7876166513554274e-05,0.00025183492143893572,-1.0288626002979011e-05,-1.6601140301282388e-05,-1.455750605466583e-05,-4.9078293023878433e-06,1.9045957818360031e-05
0.32,-6.1343900741395071e-05,0.0002436122625781562,-9.012904967217145e-06,-1.3660469460168807e-05,-1.0158490931398642e-05,-5.1493956205058478e-07,1.8711798913927104e-05
0.3225,-6.4640658689947588e-05,0.00023543007607026159,-7.8118101960484042e-06,-1.0785926013270715e-05,-5.5722394474122054e-06,4.4648168502324046e-06,1.7036621257018686e-05
0.325,-6.7484508961658158e-05,0.00022750860978326359,-6.5643404181046287e-06,-8.0396127942842004e-06,-1.0533329119686535e-06,9.7433767403230453e-06,1.4157962358923976e-05
0.3275,-6.9591034206539136e-05,0.00022015905699736724,-5.0976374024598221e-06,-5.4098388148186826e-06,3.2314116249889922e-06,1.5002416628685397e-05,1.0257589934321031e-05
