Physical Time (s),enth_flux_pressure_left Monitor (kg-m/s^3)
1.31,1.183603529899423e-05
1.3125,1.2869487360117666e-05
1.315,1.4015859442262472e-05
1.3175,1.526385558574153e-05
1.32,1.6600915066383287e-05
1.3225,1.801342100154203e-05
1.325,1.9487118531110547e-05
1.3275,2.1006963439960696e-05
1.33,2.2557328442865039e-05
1.3325,2.4122538743495999e-05
1.335,2.568383217069862e-05
1.3375,2.7227612620609165e-05
1.34,2.8739028841030933e-05
1.3425,3.0202960975101831e-05
1.345,3.1606168410898747e-05
1.3475,3.2934688982508219e-05
1.35,3.4177315940258284e-05
1.3525,3.5320400560877403e-05
1.355,3.635330887969564e-05
1.3575,3.7267509808966521e-05
1.36,3.8056154307834342e-05
1.3625,3.8714102055017705e-05
1.365,3.923776353439076e-05
1.3675,3.9624302341475076e-05
1.37,3.9871873859172488e-05
1.3725,3.997941907791805e-05
1.375,3.9946732040258482e-05
1.3775,3.9774513139856279e-05
1.38,3.9464233912491238e-05
1.3825,3.901803026416508e-05
1.385,3.8438686898551805e-05
1.3875,3.7729667848252873e-05
1.39,3.6895131771031097e-05
1.3925,3.5940081275256543e-05
1.395,3.4870468709296205e-05
1.3975,3.3693119132041001e-05
1.4,3.2416443626060409e-05
1.4025,3.1048547501869008e-05
1.405,2.9599063492034888e-05
1.4075,2.8079724035820777e-05
1.41,2.650262943990512e-05
1.4125,2.4881082872832065e-05
1.415,2.322928722941831e-05
1.4175,2.1561870782859074e-05
1.42,1.9895138422902781e-05
1.4225,1.8245970275428151e-05
1.425,1.6631504484782711e-05
1.4275,1.5068445196973171e-05
1.43,1.357366938715153e-05
1.4325,1.2163324581061723e-05
1.435,1.085224973403544e-05
1.4375,9.6536476722374567e-06
1.44,8.5799513299817628e-06
1.4425,7.6420080713939618e-06
1.445,6.8490259711833592e-06
1.4475,6.2084827418854289e-06
1.45,5.7262624358252285e-06
1.4525,5.4069159395602845e-06
1.455,5.2534952254089438e-06
1.4575,5.2671838386692223e-06
1.46,5.4468454661424867e-06
1.4625,5.7892250745408582e-06
1.465,6.2890711978845701e-06
1.4675,6.939531681323256e-06
1.47,7.7324910887165263e-06
1.4725,8.6580706328809638e-06
1.475,9.7048584650000623e-06
1.4775,1.0860069300109973e-05
1.48,1.2109531862237705e-05
