Physical Time (s),enth_flux_viscous_right Monitor (kg-m/s^3): right_cv1,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv2,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv3,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv4,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv5,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv6,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv7
0.2675,1.7015254328450491e-06,2.1716250320660807e-08,-1.4792060514305614e-08,-9.7930136853758138e-09,-6.7105786430089989e-09,-3.1579763828579813e-09,6.6531475522053177e-10
0.27,1.6801367986650588e-06,1.8814725742929046e-08,-1.46495913663736e-08,-9.6042651597093588e-09,-6.5938453869242396e-09,-3.3761128512347047e-09,6.3045753614223778e-10
0.2725,1.6574429057532553e-06,1.6010834268391555e-08,-1.4548433377332376e-08,-9.4147167530967939e-09,-6.4253724098908112e-09,-3.5098774149364027e-09,4.6647877759935433e-10
0.275,1.6334479569429391e-06,1.3296837437488945e-08,-1.4499916502615058e-08,-9.2490322189110687e-09,-6.2317293641602813e-09,-3.5552067189305498e-09,1.9241887511875889e-10
0.2775,1.6085161180656124e-06,1.0680977336688811e-08,-1.45066897287251e-08,-9.1249179410948384e-09,-6.0393401895143893e-09,-3.5194849559942816e-09,-1.6438423304098723e-10
0.28,1.5825967866320408e-06,8.1742227443751635e-09,-1.456754926660588e-08,-9.0525442476741331e-09,-5.8703055572734334e-09,-3.4161115733092356e-09,-5.7534892525192174e-10
0.2825,1.5560147990100501e-06,5.7751446678056163e-09,-1.4674438643258832e-08,-9.0362766201347816e-09,-5.7423007324491962e-09,-3.265525886186008e-09,-1.0080746736119515e-09
0.285,1.5287213445681797e-06,3.5097958513178757e-09,-1.4816794093983305e-08,-9.0747301979782004e-09,-5.6673559442361812e-09,-3.0907824452015802e-09,-1.4321702713054666e-09
0.2875,1.5010033281515786e-06,1.3603653385136775e-09,-1.4978394185701042e-08,-9.1597848294534414e-09,-5.6498351615440463e-09,-2.9181621343854245e-09,-1.8184555305959004e-09
0.29,1.4728937605855388e-06,-6.6029487523602265e-10,-1.5143430467382004e-08,-9.2776093032013924e-09,-5.6862216796647117e-09,-2.7714006527398426e-09,-2.1455726601160261e-09
0.2925,1.4445551089859096e-06,-2.5701045337650736e-09,-1.5298761221376716e-08,-9.4116055208306778e-09,-5.7652759985120974e-09,-2.6680972081010974e-09,-2.4017743592645095e-09
0.295,1.4158118171840381e-06,-4.3557092469007331e-09,-1.5437423665420137e-08,-9.546705781242495e-09,-5.8731710484379321e-09,-2.6177601630089548e-09,-2.5856085689305793e-09
0.2975,1.3866854320096887e-06,-6.0144885289926891e-09,-1.5556835900285328e-08,-9.6719878039151301e-09,-5.9964449519156344e-09,-2.6236982264712613e-09,-2.7023719825022116e-09
0.3,1.3572548353701992e-06,-7.5389895708408268e-09,-1.5656684538469883e-08,-9.7812360379577293e-09,-6.1240295063899316e-09,-2.6854556473939007e-09,-2.761191791594822e-09
0.3025,1.3277116573348512e-06,-8.9367961686714115e-09,-1.5737140942190361e-08,-9.8728777535847709e-09,-6.2469724091518898e-09,-2.796948302426846e-09,-2.77430332145199e-09
0.305,1.2980416680172018e-06,-1.0211435186683667e-08,-1.5801587541035061e-08,-9.9481432489872871e-09,-6.3604320750699137e-09,-2.9469815270816399e-09,-2.7565435859277797e-09
0.3075,1.2681579600961035e-06,-1.1357712304816766e-08,-1.5858731171493242e-08,-1.0009511145692735e-08,-6.4636371496312588e-09,-3.1229935840091145e-09,-2.7216971349010365e-09
0.31,1.2380599062659974e-06,-1.2376570719776856e-08,-1.5920960306960169e-08,-1.0062966354820922e-08,-6.5578439173130687e-09,-3.31192323247058e-09,-2.6800965495488739e-09
0.3125,1.2078808738276038e-06,-1.3258676961672397e-08,-1.6001756527041249e-08,-1.0118290753481172e-08,-6.6462048052539398e-09,-3.5021528617189221e-09,-2.6373272806632404e-09
0.315,1.1776732739784957e-06,-1.3998495687460182e-08,-1.6113958305888526e-08,-1.0187403962292878e-08,-6.7341806159492522e-09,-3.6851811303068854e-09,-2.5932798173219581e-09
0.3175,1.1475137130258399e-06,-1.4596209772438542e-08,-1.6265939510086386e-08,-1.028258377576601e-08,-6.8292140434386593e-09,-3.8550013062496432e-09,-2.5430522751236616e-09
0.32,1.1175169737242267e-06,-1.5029153682926366e-08,-1.6459787957353372e-08,-1.0412847692871617e-08,-6.9393011985306313e-09,-4.0082104738177628e-09,-2.478694872313148e-09
0.3225,1.0875513043530968e-06,-1.526370243549591e-08,-1.6696151646184645e-08,-1.0583152000567416e-08,-7.0723335780875315e-09,-4.143690062513127e-09,-2.3896012726833666e-09
0.325,1.0576016020532969e-06,-1.5303642852735968e-08,-1.6972660300399871e-08,-1.0794974590173447e-08,-7.2337030152972215e-09,-4.261686175386592e-09,-2.2646750788567587e-09
0.3275,1.0277370856262295e-06,-1.5148102076425054e-08,-1.7283724263774738e-08,-1.1046158663106412e-08,-7.4252508387935143e-09,-4.3637250585736256e-09,-2.0941460592641278e-09
0.33,9.9806115309123903e-07,-1.4803050487169067e-08,-1.7621171632170137e-08,-1.1331026879820205e-08,-7.6450765313929712e-09,-4.4518356445880199e-09,-1.8712044834885375e-09
0.3325,9.6855235620046633e-07,-1.4272929696240144e-08,-1.7974936336920305e-08,-1.1640972076791556e-08,-7.8877920246263653e-09,-4.5274421049071142e-09,-1.5931745633389359e-09
0.335,9.3915870292287538e-07,-1.3544599880234039e-08,-1.8335939443387724e-08,-1.1966317778929744e-08,-8.1459260485956948e-09,-4.5895805411353332e-09,-1.2599193988222257e-09
0.3375,9.1002293911060457e-07,-1.2649831515539288e-08,-1.8692202830765105e-08,-1.2294677442025091e-08,-8.407740644237988e-09,-4.634676518962659e-09,-8.7762527748540957e-10
0.34,8.8111081506522161e-07,-1.1622093833414318e-08,-1.9028783013569966e-08,-1.2611428894640117e-08,-8.6587772381197964e-09,-4.6576315597945177e-09,-4.5974861188080724e-10
0.3425,8.5235218402148675e-07,-1.0493805113704004e-08,-1.933282616435279e-08,-1.2901131270486882e-08,-8.8841695688949929e-09,-4.6517172863380825e-09,-2.3412896973513604e-11
0.345,8.2373789133792895e-07,-9.3116383427130026e-09,-1.959385359893208e-08,-1.314981105819939e-08,-9.0694594771437945e-09,-4.6097786431225707e-09,4.1174118462225481e-10
0.3475,7.9539156861305285e-07,-8.0963589705957943e-09,-1.9804823581981837e-08,-1.3347987869183746e-08,-9.2034360015661571e-09,-4.5270894612867746e-09,8.2592402124808826e-10
