Physical Time (s),enth_flux_pressure_right Monitor (W): right_cv1,enth_flux_pressure_right Monitor (W): right_cv2,enth_flux_pressure_right Monitor (W): right_cv3,enth_flux_pressure_right Monitor (W): right_cv4,enth_flux_pressure_right Monitor (W): right_cv5,enth_flux_pressure_right Monitor (W): right_cv6,enth_flux_pressure_right Monitor (W): right_cv7
0.22,-6.7675144817761493e-06,-9.4585035881250509e-06,-1.0027733864621697e-05,-1.0075349939274317e-05,-9.7027977036647094e-06,-8.232132460656813e-06,-7.1307895721584081e-06
0.2225,-9.0492880790209323e-06,-1.2091329651416971e-05,-1.2373449439724883e-05,-1.2135717705316042e-05,-1.1610454430854775e-05,-9.5620725145003444e-06,-8.0472859096631248e-06
0.225,-1.0451781577217216e-05,-1.3785111819482516e-05,-1.3902780643241396e-05,-1.3473500991118011e-05,-1.2832625370278815e-05,-1.0392882264345865e-05,-8.5686070650452596e-06
0.2275,-1.098419958900066e-05,-1.4542663078647618e-05,-1.4687062156425596e-05,-1.4201514803183689e-05,-1.3469078059343636e-05,-1.0790910054566302e-05,-8.7974451962485176e-06
0.23,-1.0730109249146409e-05,-1.4444777871255357e-05,-1.4821216264426829e-05,-1.4432556340924984e-05,-1.3637987824606722e-05,-1.0854146062814849e-05,-8.821049285845786e-06
0.2325,-9.8329542981064082e-06,-1.3629073071130585e-05,-1.4395747866051517e-05,-1.4243313495103167e-05,-1.3440849464844962e-05,-1.0686895939065495e-05,-8.690530408721569e-06
0.235,-8.4608011928381989e-06,-1.226298484059357e-05,-1.348585183879283e-05,-1.3666051041341493e-05,-1.2942408175424008e-05,-1.0374302818916087e-05,-8.4148862118843987e-06
0.2375,-6.7573395837004452e-06,-1.0494428594874951e-05,-1.2133405979147007e-05,-1.2683672090450442e-05,-1.2151661656002478e-05,-9.955891933107337e-06,-7.9642578051982983e-06
0.24,-4.8290498743130195e-06,-8.4376575876414548e-06,-1.0358529979962271e-05,-1.1255751029265956e-05,-1.103593044942964e-05,-9.416197985596968e-06,-7.2878664329927585e-06
0.2425,-2.7355690461434406e-06,-6.1632076045996915e-06,-8.1736680928575269e-06,-9.343510124620529e-06,-9.537718993209605e-06,-8.6866508874143478e-06,-6.3293364836314715e-06
0.245,-5.1141192105129635e-07,-3.7190766307302506e-06,-5.614726394566823e-06,-6.9517110588029516e-06,-7.616223673925108e-06,-7.6764042320368637e-06,-5.0579193238969412e-06
0.2475,1.8176122579790816e-06,-1.147847388158464e-06,-2.7558460912052636e-06,-4.1486036481026969e-06,-5.2757197722441762e-06,-6.3003576325958761e-06,-3.4824940402180073e-06
0.25,4.2135494360902214e-06,1.4958227021372029e-06,2.8419194658676669e-07,-1.0652948344129814e-06,-2.5794825218156377e-06,-4.507602764491729e-06,-1.6540387947057664e-06
0.2525,6.6108486198748399e-06,4.1286109751123761e-06,3.3466475224874083e-06,2.1129859730507404e-06,3.4600436322301954e-07,-2.3065394030004283e-06,3.394123361118796e-07
0.255,8.9106182111087539e-06,6.6362115303114246e-06,6.246786415076856e-06,5.1731204769824259e-06,3.3238504301665458e-06,2.2504093027507484e-07,2.3862586965976987e-06
0.2575,1.0983019939927562e-05,8.8748519591571647e-06,8.7929279666552284e-06,7.9018886683633141e-06,6.1492304309480916e-06,2.9391041500831299e-06,4.3636785030087201e-06
0.26,1.268174303302292e-05,1.0688857884210254e-05,1.0810660335728497e-05,1.0113713992455385e-05,8.6189757868092214e-06,5.6359136293505004e-06,6.1518475264834618e-06
0.2625,1.3876954803118037e-05,1.1944261886294048e-05,1.2177406945843201e-05,1.1686029419886435e-05,1.0572586647948613e-05,8.109010310102564e-06,7.6570671518922568e-06
0.265,1.4458826341172642e-05,1.2533175984220435e-05,1.281895488760148e-05,1.2551817407202016e-05,1.1895701785979197e-05,1.0158518853453749e-05,8.8002902978419297e-06
0.2675,1.4380615815937155e-05,1.2416460404604474e-05,1.2740733356130078e-05,1.2727041242698051e-05,1.2556390775978086e-05,1.1648373550778894e-05,9.5424344605339429e-06
0.27,1.36493617232667e-05,1.1614043812338534e-05,1.200600969081576e-05,1.228236261345137e-05,1.2584536325744202e-05,1.2503532227743125e-05,9.8638451116481989e-06
0.2725,1.2340792560872838e-05,1.0216924005575501e-05,1.0737520724450635e-05,1.1340288722158532e-05,1.2073534503168879e-05,1.2731982802236768e-05,9.7747813088635962e-06
0.275,1.0576765244286475e-05,8.3626137650543126e-06,9.086133686566453e-06,1.0042433449986556e-05,1.1149707647996622e-05,1.24056804963306e-05,9.3039897742990693e-06
0.2775,8.5155325689507644e-06,6.2214681684840872e-06,7.2172589012158877e-06,8.5356478336970796e-06,9.9549895937328963e-06,1.1646282299394151e-05,8.503067822544557e-06
0.28,6.3301318960281167e-06,3.9741825559814142e-06,5.2879020612800685e-06,6.9528431419919834e-06,8.6241494037212425e-06,1.05935004847659e-05,7.4421377403478768e-06
0.2825,4.1841955768437089e-06,1.7861992896419267e-06,3.4279450930969834e-06,5.3970873453338086e-06,7.2627085956296164e-06,9.3738272431661038e-06,6.2012575036723061e-06
0.285,2.2138550006224383e-06,-2.112578216930056e-07,1.7281841341753787e-06,3.9334246198462689e-06,5.9342217337240597e-06,8.0762882262238246e-06,4.8613029108885445e-06
0.2875,5.2165852356346031e-07,-1.9236990365556394e-06,2.4306863295299055e-07,2.5942811904370263e-06,4.6643247605564485e-06,6.7479822519204933e-06,3.5009757851577533e-06
0.29,-8.2552604654832541e-07,-3.2954050764234504e-06,-1.0026343717667842e-06,1.386071837194084e-06,3.4481625246964922e-06,5.3972703377109819e-06,2.1899742773805117e-06
0.2925,-1.793239548726077e-06,-4.3039790650925125e-06,-2.0082496121702999e-06,2.9861335222501233e-07,2.2626923583308849e-06,4.007455604572898e-06,9.8331567151634426e-07
0.295,-2.3741873762924246e-06,-4.9512156660788893e-06,-2.7854649074781447e-06,-6.8253201875789006e-07,1.0823298165161327e-06,2.5558905154535709e-06,-8.0610341444989842e-08
0.2975,-2.5798601693432553e-06,-5.2549013507724503e-06,-3.3502581495611632e-06,-1.5679089677904489e-06,-1.0668051030966963e-07,1.0347553426946151e-06,-9.8072026735079459e-07
0.3,-2.4347681423001205e-06,-5.2415311350318651e-06,-3.7166042254714044e-06,-2.3587884258298484e-06,-1.2975189933684886e-06,-5.3751181176878098e-07,-1.7095688628799722e-06
0.3025,-1.9700836744961858e-06,-4.9410960509127804e-06,-3.8946080685541061e-06,-3.0439726096461126e-06,-2.4587316437504017e-06,-2.1103910831900874e-06,-2.26830906834749e-06
0.305,-1.2223207421214427e-06,-4.3866728850063067e-06,-3.8910979745857982e-06,-3.6024495587525613e-06,-3.5364514593814373e-06,-3.6043958456723305e-06,-2.6595210130652554e-06
0.3075,-2.3387311892125971e-07,-3.6140491442069852e-06,-3.7137724535405157e-06,-4.0089832227978123e-06,-4.4650014339898775e-06,-4.9237849495943492e-06,-2.8844409909624332e-06
0.31,9.4494545503291261e-07,-2.6683930014105408e-06,-3.3774908435382435e-06,-4.2415881587515806e-06,-5.1802326713264537e-06,-5.971835714053125e-06,-2.9423066432527803e-06
0.3125,2.2527537196848467e-06,-1.6040057887528525e-06,-2.9057603166961347e-06,-4.2883390237145687e-06,-5.6310350849594094e-06,-6.6718405076366222e-06,-2.8326820036573993e-06
0.315,3.6164310345714333e-06,-4.8666254097280039e-07,-2.333935442677453e-06,-4.1528270195535303e-06,-5.7935552976479055e-06,-6.981036460765043e-06,-2.560851002431168e-06
0.3175,4.9535650628683155e-06,6.1040269679749142e-07,-1.7068012390402208e-06,-3.8574779581901002e-06,-5.6737420630354113e-06,-6.8990009251256423e-06,-2.1415568282311227e-06
0.32,6.1786477164858042e-06,1.6130597694983242e-06,-1.0746690771887376e-06,-3.4374018157534183e-06,-5.3073366966857233e-06,-6.4651710022966394e-06,-1.6019617415759014e-06
0.3225,7.2091978792483644e-06,2.451487132950806e-06,-4.8771903975446721e-07,-2.9382390559714841e-06,-4.7533856563279971e-06,-5.7524810345646042e-06,-9.8235049848858418e-07
0.325,7.9748786464128721e-06,3.0677982003495696e-06,1.1156541117542863e-08,-2.4081016675901457e-06,-4.0828669282568049e-06,-4.8539349698122609e-06,-3.333496764678948e-07
0.3275,8.4241611221417086e-06,3.4240080997532495e-06,3.9070117806263497e-07,-1.8912864289404398e-06,-3.3665390111324391e-06,-3.8678692891086114e-06,2.8983941610506825e-07
0.33,8.5314919664822076e-06,3.5055386302689392e-06,6.3502612281857873e-07,-1.4211503001126365e-06,-2.6632441987063329e-06,-2.8830736847344481e-06,8.3488599470436566e-07
0.3325,8.301265185652953e-06,3.3241347773486992e-06,7.4616649362528899e-07,-1.0148477276985295e-06,-2.0096810980672335e-06,-1.9655893425366127e-06,1.2617915301522833e-06
0.335,7.7656886253152442e-06,2.9131814874815494e-06,7.4108821131476729e-07,-6.7272108732856353e-07,-1.4181253513161247e-06,-1.1509356560178208e-06,1.5485244657441479e-06
0.3375,6.9805342931017915e-06,2.3227002946781725e-06,6.4793524659729537e-07,-3.808392951267706e-07,-8.7927627392068035e-07,-4.4614745221007823e-07,1.6929028716133351e-06
0.34,6.0192116909871438e-06,1.6143442465420208e-06,5.0309937590915779e-07,-1.1448873038487098e-07,-3.6765842776685944e-07,1.6853477476082855e-07,1.7139450524933147e-06
0.3425,4.964896671842481e-06,8.5360532935194666e-07,3.4468355859663352e-07,1.5608523956543764e-07,1.497761995114001e-07,7.2923078515774222e-07,1.6471024831855189e-06
0.345,3.9016906914001736e-06,1.0311418767716104e-07,2.0923563536273051e-07,4.5811477344470291e-07,7.0395771827297065e-07,1.2796812037663966e-06,1.539143270989393e-06
0.3475,2.9097896039560873e-06,-5.7965354715829826e-07,1.2828848354831216e-07,8.1325264238605883e-07,1.3166541566673956e-06,1.8599243437888647e-06,1.4403101020698912e-06
0.35,2.0567872857068124e-06,-1.1473085138110028e-06,1.2383112114089539e-07,1.2318513339125624e-06,1.9945549437732946e-06,2.4981858789961911e-06,1.3969030700186348e-06
0.3525,1.3972939549463552e-06,-1.5622337074662529e-06,2.1098020916878306e-07,1.7132172490696339e-06,2.7283862573769674e-06,3.2057831837148636e-06,1.4446550019013375e-06
0.355,9.7146612614560653e-07,-1.797703789100257e-06,3.9665564425002886e-07,2.2468616831224764e-06,3.4952321687309825e-06,3.9752766056033691e-06,1.6052435880782832e-06
0.3575,8.0435985990403652e-07,-1.8352382308832561e-06,6.807416857968541e-07,2.813399216718168e-06,4.2624852478595265e-06,4.780791304455308e-06,1.8843800772926736e-06
0.36,9.0622606677084001e-07,-1.6663022973172725e-06,1.0563457407730512e-06,3.3891016329908637e-06,4.9920290954218105e-06,5.5825319975723209e-06,2.271224430638891e-06
