Physical Time (s),phi_vol Monitor (W): cv1,phi_vol Monitor (W): cv2,phi_vol Monitor (W): cv3,phi_vol Monitor (W): cv4,phi_vol Monitor (W): cv5,phi_vol Monitor (W): cv6,phi_vol Monitor (W): cv7
0.2775,7.4937471950318232e-07,1.3922978861847059e-07,3.6083767048888571e-09,6.7886602911457083e-11,8.5670575978016127e-12,3.6326158184513726e-12,3.9462540230945458e-12
0.28,7.4880927213166174e-07,1.4070974876741517e-07,3.6871615655678824e-09,7.0895517307442909e-11,8.7427846406252878e-12,3.1073427686133817e-12,3.698677589695425e-12
0.2825,7.4811606222235093e-07,1.4217450786491889e-07,3.759533371287874e-09,7.3540094686445992e-11,9.033287337573333e-12,2.8868050471474481e-12,3.7527925761250219e-12
0.285,7.4721561770765148e-07,1.4361695864655405e-07,3.8227218837238231e-09,7.5427337854240042e-11,9.3461496345094217e-12,2.833273889717968e-12,4.1373455107222469e-12
0.2875,7.4605055933316967e-07,1.4503270242095658e-07,3.8750464893961144e-09,7.6218616751858126e-11,9.5909288848086204e-12,2.8471410132535435e-12,4.749955796081719e-12
0.29,7.445974417836181e-07,1.4641912032452423e-07,3.9163358584568246e-09,7.5718808234964189e-11,9.7037446160557674e-12,2.9373326484469687e-12,5.4244123650065314e-12
0.2925,7.4286962940574483e-07,1.4777551154397029e-07,3.947988264943e-09,7.3924122598935945e-11,9.6444862376756697e-12,3.1906843962440192e-12,6.0068931713984761e-12
0.295,7.4091604837528383e-07,1.4910484855590914e-07,3.9726556420168142e-09,7.1008771727806097e-11,9.3755142689379378e-12,3.663156159682043e-12,6.3870816776764201e-12
0.2975,7.3881117838457373e-07,1.504120324619814e-07,3.9938830934469933e-09,6.7289061012653952e-11,8.8607580906426264e-12,4.286244937395401e-12,6.5010922509092716e-12
0.3,7.3664085621315462e-07,1.5170224743767311e-07,4.0155643532948509e-09,6.3173611579165651e-11,8.0909947826707103e-12,4.8566966688111819e-12,6.3220059341984335e-12
0.3025,7.3449023561639367e-07,1.5298103774397838e-07,4.0414098971914269e-09,5.9122777001537915e-11,7.1189671941876025e-12,5.1288516366026343e-12,5.8680555212658993e-12
0.305,7.3243202301413844e-07,1.5425398180007417e-07,4.0745343492673088e-09,5.5606921150750069e-11,6.0742757803927768e-12,4.9482830464774196e-12,5.2184108725285349e-12
0.3075,7.3051755071372686e-07,1.5552458986859383e-07,4.1172211833204017e-09,5.3072460926874109e-11,5.1424266082426024e-12,4.3392791857065149e-12,4.5252345088718698e-12
0.31,7.2877365795072541e-07,1.5679484304935162e-07,4.1708573373278269e-09,5.1899445305581023e-11,4.508232181059958e-12,3.4942095237787446e-12,3.9885943222309476e-12
0.3125,7.272029868049077e-07,1.5806607195875993e-07,4.2359435639034437e-09,5.2355664195071146e-11,4.2963123822523695e-12,2.6729099342647045e-12,3.8016128655685905e-12
