Physical Time (s),xth_top Monitor (W): top_cv1,xth_top Monitor (W): top_cv2,xth_top Monitor (W): top_cv3,xth_top Monitor (W): top_cv4,xth_top Monitor (W): top_cv5,xth_top Monitor (W): top_cv6,xth_top Monitor (W): top_cv7
0.255,-5.7163888651182109e-19,-1.8158283447695865e-19,3.6755839231306709e-21,-1.1097299648682304e-19,-1.3218590823201272e-20,-4.0312798415764011e-20,-2.4439753892610654e-20
0.2575,1.3118749985982219e-19,-2.3941456606338391e-19,4.0373736307314993e-19,-2.4382030970329815e-20,-7.644691325512176e-20,1.0389343259612133e-21,-5.2034442261747691e-20
0.26,6.1688497572896743e-19,-1.8540892781551242e-19,-3.5439207088214116e-19,-2.8766264482715726e-19,2.8253127208168793e-20,2.0015331488688672e-20,-2.7104669934397313e-20
0.2625,-4.376318908123053e-19,-1.4161059262045385e-19,8.1106071691788964e-19,-1.4249206125682444e-19,-4.3414794967682731e-20,1.4858939466290827e-20,2.8074315776866965e-20
0.265,7.4328471814071311e-19,2.352688741360308e-19,1.4144426239884346e-19,-7.392938193840549e-20,7.4986326279559788e-20,2.9389651010962667e-20,-9.1097608136471939e-21
0.2675,1.1846379952950654e-18,5.7043811874980077e-20,7.4355849493361255e-19,4.6071382524790318e-20,-2.586228762487831e-19,-5.3140194822555173e-20,6.2031710451782499e-21
0.27,-4.2883361696516995e-19,-1.3231493566717525e-20,-1.1293637027895279e-19,-2.1975227080576542e-19,-9.8888795213579262e-20,9.9815755877036331e-20,-2.3523577267873515e-21
0.2725,9.0205231351815892e-19,-5.4886563382564605e-19,3.9527761307752449e-19,2.7392267965560201e-19,-7.6242690841921774e-20,1.7672273793122399e-20,6.214971181587807e-20
0.275,7.5266074091212145e-19,-1.5659746937643821e-19,1.8721386106587903e-19,-2.9140811611551894e-19,-1.4336509204146895e-20,-8.7700162050525479e-20,1.571850428034756e-20
0.2775,3.2907733483010244e-19,8.5667869492301899e-20,3.3704778033668473e-19,3.2937263053211006e-20,6.4270788621035679e-20,4.1350352952070462e-21,-3.0915526606486617e-20
0.28,-1.0935957117440809e-19,-3.0693459576562873e-20,2.4561421828914375e-19,9.2915172158998387e-21,9.6484801915295751e-20,1.1936011451946676e-19,2.659177748972631e-20
0.2825,7.7909929609340841e-23,-1.9293472612527347e-19,-7.51494148228273e-19,3.6540105849634227e-19,-5.5060333905630519e-20,-2.614991391854938e-20,-2.614270592141329e-20
0.285,-2.1780560392096538e-19,-8.8961297238702639e-21,-3.8904608472711931e-19,2.2231232874141452e-19,-1.8038264514336851e-19,1.2625038952342853e-21,-1.1939177209645542e-21
0.2875,-1.3002510732032041e-18,2.7151542111528392e-19,-5.0389503964946808e-19,-3.2275032053800986e-19,2.704441608043266e-19,-6.0831457354773892e-20,3.7406880329368314e-23
0.29,1.0348458420157222e-19,2.4303666554875016e-19,-5.296563038516841e-20,-5.3545454307235213e-19,5.1425842324004631e-20,3.5465138628924265e-20,4.7172915490231087e-21
0.2925,-7.2644331715912795e-19,8.9306748197963257e-20,-2.5323240824421471e-19,-1.2847678281803905e-19,5.772595766283914e-20,-4.1168046196334265e-20,5.6377995949435248e-21
0.295,-7.7742050341922053e-19,-1.5057004691931818e-19,-1.0333653721079346e-18,6.9037892122527695e-20,4.5167209035691594e-20,-7.933661641811366e-20,-4.8220768281157909e-21
0.2975,-1.4068517383890434e-18,8.9204933057104636e-20,1.4901458378073604e-19,-8.642039159078869e-20,-2.6054387618492397e-20,-2.6487559895578141e-20,1.2279747218828258e-21
0.3,3.4765008878927765e-19,1.0259953496485932e-19,3.4005710306726721e-20,2.6663632731927984e-19,1.0993376131281124e-19,-6.2739679915196903e-20,1.8074544133052476e-20
0.3025,6.966883862279451e-19,1.9852695961638189e-19,-1.9252046000596401e-19,-2.1613728143228356e-19,-3.2056589873091054e-19,4.9692516980801093e-20,-5.2576343396962699e-20
0.305,-7.3102858684911009e-20,3.1343244002067248e-19,-1.179175543490727e-21,-5.02924371882754e-19,2.5987271432641571e-19,-6.8453501607636676e-20,-1.4909485295032331e-20
0.3075,-1.5300725141457596e-18,-1.1577032257330045e-20,3.3226199917077085e-19,2.419519188771168e-19,-2.0982096907452659e-19,2.1307913439188234e-19,1.5259999420683523e-20
0.31,-8.9438415233863361e-19,2.1083003775164178e-19,-7.4383502868074969e-19,-1.0916808030414127e-19,2.938870363499001e-19,-8.1039393508203346e-20,7.208272677365634e-20
0.3125,-1.4498825333955328e-19,-1.5602067784041154e-19,5.7671599575130674e-19,1.722500452765975e-19,9.0273553719111869e-20,-3.1723943660358256e-20,-1.0755798135906735e-20
0.315,-4.437535496795629e-19,-1.196496040667735e-19,3.1319050931255866e-19,2.4713572215286896e-20,1.0401946300510307e-19,-3.1929286480059695e-20,-1.5752268046664632e-20
0.3175,1.9192981710772153e-19,1.8817194544820557e-19,-2.2406693803529946e-19,2.1637279322160642e-19,-1.0689891510060873e-19,-7.9175987081199185e-20,-2.1572233288284829e-20
0.32,-7.554552687516021e-20,-1.5533087437709662e-19,-5.4909849192601094e-19,7.1773637448521458e-21,6.2431114696053397e-20,-4.4913314633003162e-20,-9.4064130278296923e-21
