Physical Time (s),ev_left Monitor (W)
1.1675,-9.5763059524064875e-10
1.17,-9.533775614464847e-10
1.1725,-9.4844244781483371e-10
1.175,-9.4296640705749671e-10
1.1775,-9.3710751934819594e-10
1.18,-9.3103240479653125e-10
1.1825,-9.2490710839591483e-10
1.185,-9.1887140680973935e-10
1.1875,-9.1306801371804405e-10
1.19,-9.0762378494121354e-10
1.1925,-9.0264415593558852e-10
1.195,-8.9820981849012693e-10
1.1975,-8.9437715552054942e-10
1.2,-8.9117686727029357e-10
1.2025,-8.8862611037064506e-10
1.205,-8.8673191829723234e-10
1.2075,-8.8549174499951499e-10
1.21,-8.8488883831586382e-10
1.2125,-8.8489085439019027e-10
1.215,-8.8545372214936565e-10
1.2175,-8.8652273564049188e-10
1.22,-8.8804224576527446e-10
1.2225,-8.8995582534918707e-10
1.225,-8.922058005811691e-10
1.2275,-8.9473586588643077e-10
1.23,-8.9748637266653316e-10
1.2325,-9.0039443268009674e-10
1.235,-9.0339704576144909e-10
1.2375,-9.0644894763527094e-10
1.24,-9.0948849492396829e-10
1.2425,-9.124501270999834e-10
1.245,-9.1527111822138095e-10
1.2475,-9.1789659714443465e-10
1.25,-9.2028008649182242e-10
1.2525,-9.2238236611667724e-10
1.255,-9.2417162665965945e-10
1.2575,-9.2562912011077153e-10
1.26,-9.2676326037254484e-10
1.2625,-9.2757081621424587e-10
1.265,-9.2805442301112598e-10
1.2675,-9.2822199537012457e-10
1.27,-9.280837377657716e-10
1.2725,-9.2764962085976425e-10
1.275,-9.2692320380429724e-10
1.2775,-9.2589816305078163e-10
1.28,-9.2455463533876794e-10
1.2825,-9.228711861907894e-10
1.285,-9.2082941946700484e-10
1.2875,-9.1842419244329173e-10
1.29,-9.1566161543255361e-10
1.2925,-9.1255799924788146e-10
1.295,-9.0914244788424454e-10
1.2975,-9.0545879559309036e-10
1.3,-9.0156614235499209e-10
1.3025,-8.9753656395479069e-10
1.305,-8.9343990089376714e-10
1.3075,-8.8935193166380241e-10
1.31,-8.8535340029094103e-10
1.3125,-8.8153692290637319e-10
1.315,-8.779944473363147e-10
1.3175,-8.7480969191007384e-10
1.32,-8.7205555984914878e-10
1.3225,-8.6979214931621282e-10
1.325,-8.6806534345072662e-10
1.3275,-8.6690682504233581e-10
1.33,-8.6633252445164101e-10
1.3325,-8.6634404708865964e-10
1.335,-8.6693396549288612e-10
1.3375,-8.6808080693793066e-10
1.34,-8.6974457567898443e-10
1.3425,-8.7187071005009061e-10
1.345,-8.7439294057558699e-10
1.3475,-8.7723680622131015e-10
1.35,-8.8031906799175406e-10
1.3525,-8.8355105206633826e-10
1.355,-8.8684147352702487e-10
1.3575,-8.9009832504673192e-10
1.36,-8.9323031851069533e-10
1.3625,-8.9615223528316334e-10
1.365,-8.9878035943986247e-10
1.3675,-9.0103672782783099e-10
1.37,-9.0285287493851083e-10
1.3725,-9.0417157164490857e-10
1.375,-9.0494820552008488e-10
1.3775,-9.0515148849704379e-10
1.38,-9.0476284212669947e-10
1.3825,-9.0377633729938453e-10
1.385,-9.0219815295272881e-10
1.3875,-9.0004549699861632e-10
1.39,-8.9734687469498464e-10
1.3925,-8.9414153460820372e-10
1.395,-8.9047946562201087e-10
1.3975,-8.8642022398632945e-10
1.4,-8.8203204191879256e-10
1.4025,-8.7738882101195345e-10
1.405,-8.7257098908102703e-10
1.4075,-8.6766241791180023e-10
1.41,-8.6274720381669952e-10
1.4125,-8.57906900403805e-10
1.415,-8.5321829535360465e-10
1.4175,-8.4874996591304707e-10
1.42,-8.4456460000586135e-10
1.4225,-8.4071721094828756e-10
1.425,-8.372545645405645e-10
1.4275,-8.3421445562301595e-10
1.43,-8.3162513543863547e-10
1.4325,-8.2950501993054062e-10
1.435,-8.2786217627353031e-10
1.4375,-8.2669458493791267e-10
1.44,-8.2599095647283103e-10
1.4425,-8.2573078509162895e-10
1.445,-8.258847504719324e-10
1.4475,-8.2641538554324233e-10
1.45,-8.2727805328891557e-10
1.4525,-8.2842156007948589e-10
1.455,-8.2978947161071463e-10
1.4575,-8.3132144108359438e-10
1.46,-8.3295485670881279e-10
1.4625,-8.346262432689471e-10
1.465,-8.3627225842542757e-10
1.4675,-8.3783051380063817e-10
1.47,-8.3924012528987152e-10
1.4725,-8.4044275868724983e-10
1.475,-8.413836700853591e-10
1.4775,-8.4201311720193524e-10
1.48,-8.4228849950804656e-10
1.4825,-8.4217603137253922e-10
1.485,-8.416510987431665e-10
1.4875,-8.406994816012687e-10
1.49,-8.3931796035086485e-10
1.4925,-8.3751227806730921e-10
1.495,-8.3529669825498049e-10
1.4975,-8.3269307097116812e-10
1.5,-8.2973024376258303e-10
1.5025,-8.2644300632373666e-10
1.505,-8.2287149473984179e-10
1.5075,-8.1906030392595465e-10
1.51,-8.1505745259661113e-10
1.5125,-8.1091265754818859e-10
1.515,-8.0667604345254836e-10
1.5175,-8.0239654397801769e-10
1.52,-7.9812127595714891e-10
1.5225,-7.9389429146700091e-10
1.525,-7.8975593705254866e-10
1.5275,-7.8574266000305755e-10
1.53,-7.8188641872357558e-10
1.5325,-7.7821484640459106e-10
1.535,-7.747514826959147e-10
1.5375,-7.7151582074899998e-10
