Physical Time (s),ea_top Monitor (W): top_cv1,ea_top Monitor (W): top_cv2,ea_top Monitor (W): top_cv3,ea_top Monitor (W): top_cv4,ea_top Monitor (W): top_cv5,ea_top Monitor (W): top_cv6,ea_top Monitor (W): top_cv7
0.2575,5.2445982618708402e-13,-3.3572285872441946e-13,-1.2065360798667674e-13,-7.2409671341881086e-15,-3.4301266627987722e-15,7.4410809903102285e-16,3.1248823988361738e-15
0.26,6.1244367042775378e-13,-4.0128004883997947e-13,-1.4073680470871676e-13,-1.2074558515035314e-14,-7.9852179610965801e-15,5.8657181310412009e-16,3.2821054946950603e-15
0.2625,7.4377970249368733e-13,-4.7939698560002473e-13,-1.6453130527995552e-13,-1.8587258563227909e-14,-1.6006725730954661e-14,-2.1644139245406456e-15,2.681663173941615e-15
0.265,9.1777322405504074e-13,-5.7086841138929017e-13,-1.9312853884130807e-13,-2.5623228092746845e-14,-2.6528220774286612e-14,-8.062785145383322e-15,1.5691415984317487e-15
0.2675,1.1207631121244082e-12,-6.771086496001374e-13,-2.2886581003177733e-13,-3.0841825346769449e-14,-3.6438631205100573e-14,-1.5375206471070304e-14,4.0093842193547935e-16
0.27,1.3277035692765688e-12,-7.9959666716282412e-13,-2.7528441681568776e-13,-3.1658666465255509e-14,-4.1870243971611335e-14,-2.1083803001144972e-14,-4.3183612676525213e-16
0.2725,1.509679689367593e-12,-9.3884552423152137e-13,-3.3677480532806307e-13,-2.6927457335097326e-14,-4.0416824788041345e-14,-2.2839163791421052e-14,-7.9079349856080782e-16
0.275,1.6442284751197821e-12,-1.0930761248720637e-12,-4.1776837899230515e-13,-1.8297368443160371e-14,-3.2583614377385186e-14,-2.0259138783928459e-14,-7.9100607273740998e-16
0.2775,1.7236475640273923e-12,-1.2568934816267395e-12,-5.2128183643324026e-13,-1.0031463655803609e-14,-2.1426277237210513e-14,-1.4832049733321306e-14,-6.7241248040716253e-16
0.28,1.7576509901058024e-12,-1.4204472145503443e-12,-6.470499282782328e-13,-7.2579679020079968e-15,-1.0784635076009157e-14,-8.8288821820053629e-15,-6.2697468801791071e-16
0.2825,1.769680148448783e-12,-1.569876802881426e-12,-7.8999937944195384e-13,-1.3765017778158627e-14,-3.4475560785454875e-15,-4.0762777073789407e-15,-6.5993308949164935e-16
0.285,1.7893247057805304e-12,-1.6890280412286982e-12,-9.3999473878471229e-13,-3.0697626346960775e-14,-3.7422308547424087e-16,-1.2931712462494559e-15,-5.6609156340598447e-16
0.2875,1.8434038033629026e-12,-1.7625823246280229e-12,-1.0833075934485708e-12,-5.6621932885580915e-14,-1.1337797356868717e-15,-1.9688971466665285e-16,-9.4885774988433976e-17
0.29,1.9488793122467665e-12,-1.7797948103284788e-12,-1.205516288209536e-12,-8.8412144687644262e-14,-4.8700364904544797e-15,-1.3174236345927573e-16,7.2281928544586656e-16
0.2925,2.1090928043854913e-12,-1.73744662725215e-12,-1.2949176311790787e-12,-1.2216390710908148e-13,-1.0920252954552183e-14,-6.9869174218496051e-16,1.3021233733074923e-15
0.295,2.3146608895057161e-12,-1.6409579278640976e-12,-1.3450689605061664e-12,-1.5379182010724572e-13,-1.8705077732494445e-14,-1.9232021033975294e-15,6.0247034469095333e-16
0.2975,2.5469517833749072e-12,-1.5032544080875613e-12,-1.3557051944833505e-12,-1.7945764065057606e-13,-2.7216475713200811e-14,-3.8877537920323142e-15,-2.2760029980695155e-15
0.3,2.7831911882134116e-12,-1.341808835109622e-12,-1.3321214266786195e-12,-1.9606452849269328e-13,-3.4764296265794456e-14,-6.2451506284317004e-15,-7.3014732802195567e-15
0.3025,3.0010162258863211e-12,-1.1751929497461584e-12,-1.2832807527432821e-12,-2.0183918883820593e-13,-3.9378836777592437e-14,-8.1491987198004791e-15,-1.3119119488219905e-14
0.305,3.1813758403110622e-12,-1.0204015932020927e-12,-1.2194898624413104e-12,-1.967273903729916e-13,-3.9685019886380559e-14,-8.7362741677189025e-15,-1.7526568581501674e-14
0.3075,3.3101514060614046e-12,-8.9121369975186855e-13,-1.1504739165206155e-12,-1.823558137395201e-13,-3.5624212572078788e-14,-7.7356861676684435e-15,-1.8643521061314918e-14
0.31,3.3783422722056232e-12,-7.9750626243810309e-13,-1.0839453812769553e-12,-1.6150948598572572e-13,-2.8492788742990994e-14,-5.6524940097278238e-15,-1.6018832507115478e-14
0.3125,3.3815864623601095e-12,-7.4491790687090368e-13,-1.0248426010668701e-12,-1.3732214826348336e-13,-2.0297454830846462e-14,-3.3745097579746412e-15,-1.091330720155487e-14
