Physical Time (s),Etau_left Monitor (W)
1.8075,-3.0239194489488784e-11
1.81,-3.0178476911481179e-11
1.8125,-3.0112019128016096e-11
1.815,-3.0040303922158047e-11
1.8175,-2.9963855699287492e-11
1.82,-2.9883328790614253e-11
1.8225,-2.9799496766109347e-11
1.825,-2.9713229892993658e-11
1.8275,-2.9625476526268938e-11
1.83,-2.9537258606457886e-11
1.8325,-2.9449633293955175e-11
1.835,-2.9363692165763028e-11
1.8375,-2.9280517360688716e-11
1.84,-2.9201153028787352e-11
1.8425,-2.912656092907491e-11
1.845,-2.9057624823274888e-11
1.8475,-2.899511539810042e-11
1.85,-2.8939699215217186e-11
1.8525,-2.8891907232752135e-11
1.855,-2.8852121710532765e-11
1.8575,-2.8820530903254778e-11
1.86,-2.8797131213851131e-11
1.8625,-2.8781748987863817e-11
1.865,-2.8774029196052469e-11
1.8675,-2.8773493030254155e-11
1.87,-2.8779517092724745e-11
1.8725,-2.8791354277047517e-11
1.875,-2.8808126215778001e-11
1.8775,-2.8828838104550395e-11
1.88,-2.8852398015330149e-11
1.8825,-2.8877656486299788e-11
1.885,-2.89034478769405e-11
1.8875,-2.8928623466246056e-11
1.89,-2.8952061007994534e-11
1.8925,-2.8972718431046618e-11
1.895,-2.8989586453707954e-11
1.8975,-2.9001773618663592e-11
1.9,-2.9008455772802394e-11
1.9025,-2.900901898093859e-11
1.905,-2.9002939340923281e-11
1.9075,-2.8989940099279832e-11
1.91,-2.896983723191374e-11
1.9125,-2.8942685912965179e-11
1.915,-2.8908611013141227e-11
1.9175,-2.8867988791578453e-11
1.92,-2.8821236371549145e-11
1.9225,-2.8768997185052892e-11
1.925,-2.8711927523511311e-11
1.9275,-2.8650839571655528e-11
1.93,-2.8586541913697406e-11
1.9325,-2.8519942589056964e-11
1.935,-2.8451954438181943e-11
1.9375,-2.8383513036231288e-11
1.94,-2.8315529367875946e-11
1.9425,-2.8248838618507931e-11
1.945,-2.8184195508117881e-11
1.9475,-2.812227036904296e-11
1.95,-2.8063638995780359e-11
1.9525,-2.8008787682743639e-11
1.955,-2.7958102548258143e-11
1.9575,-2.7911871189405986e-11
1.96,-2.7870271374511268e-11
1.9625,-2.7833352475870126e-11
1.965,-2.7801045818194555e-11
1.9675,-2.7773197091313e-11
1.97,-2.7749586109947472e-11
1.9725,-2.7729934272225412e-11
1.975,-2.7713925456636441e-11
1.9775,-2.7701229063478157e-11
1.98,-2.7691485760621681e-11
1.9825,-2.7684317054586e-11
1.985,-2.7679336204466517e-11
1.9875,-2.7676143874140578e-11
1.99,-2.7674342442844491e-11
1.9925,-2.7673527751942752e-11
1.995,-2.7673420438654557e-11
1.9975,-2.767371332465788e-11
2.0,-2.7674216749479619e-11
