Physical Time (s),enth_flux_enthalpy_left Monitor (W)
1.395,-3.1681465477211271e-07
1.3975,-3.0843349452446516e-07
1.4,-3.012667424191796e-07
1.4025,-2.9542014480396294e-07
1.405,-2.910801274959503e-07
1.4075,-2.8830969781367306e-07
1.41,-2.871293090521004e-07
1.4125,-2.8750502320606079e-07
1.415,-2.893523725184459e-07
1.4175,-2.9247550947485466e-07
1.42,-2.9678387973058596e-07
1.4225,-3.0210187372573566e-07
1.425,-3.0822411385826628e-07
1.4275,-3.149245393650763e-07
1.43,-3.2195558225950201e-07
1.4325,-3.2904762186892631e-07
1.435,-3.3593949929247736e-07
1.4375,-3.4241488823379528e-07
1.44,-3.4824274684070753e-07
1.4425,-3.5329249742270344e-07
1.445,-3.5738284760597747e-07
1.4475,-3.6038311122884597e-07
1.45,-3.6221807073685483e-07
1.4525,-3.6283283231398164e-07
1.455,-3.6221371021344767e-07
1.4575,-3.6037413575502501e-07
1.46,-3.5732767275866767e-07
1.4625,-3.5316211970694728e-07
1.465,-3.4802172884568583e-07
1.4675,-3.4207169002949388e-07
1.47,-3.3552306609790317e-07
1.4725,-3.2859880184339633e-07
1.475,-3.2152935005424565e-07
1.4775,-3.145253109702804e-07
1.48,-3.0776494053119598e-07
1.4825,-3.0141997152148029e-07
1.485,-2.9563362842575369e-07
1.4875,-2.9055437456670946e-07
1.49,-2.863469715621207e-07
1.4925,-2.8313832921349058e-07
1.495,-2.8107247815627345e-07
1.4975,-2.8024686763687555e-07
1.5,-2.8076260545731601e-07
1.5025,-2.8263787693804803e-07
1.505,-2.8579016943530844e-07
1.5075,-2.9010515079265007e-07
1.51,-2.9543183839559048e-07
1.5125,-3.0157295823090224e-07
1.515,-3.0835661109037352e-07
1.5175,-3.1552781884521018e-07
1.52,-3.2287450949529243e-07
1.5225,-3.3017447106638437e-07
1.525,-3.3723789996389435e-07
1.5275,-3.438848821420666e-07
1.53,-3.4996335355069744e-07
1.5325,-3.5535379616700548e-07
1.535,-3.5996322813850393e-07
