Physical Time (s),ev_top Monitor (W): top_cv1,ev_top Monitor (W): top_cv2,ev_top Monitor (W): top_cv3,ev_top Monitor (W): top_cv4,ev_top Monitor (W): top_cv5,ev_top Monitor (W): top_cv6,ev_top Monitor (W): top_cv7
0.26,1.0368473148092621e-12,-1.4979642908150931e-13,-5.1526496746195671e-13,-1.0087250019877412e-13,-3.8675672141667313e-15,3.0560100197989557e-16,5.2347048975543174e-16
0.2625,1.0121375710354933e-12,-1.8289996319156799e-13,-6.2769289575733024e-13,-1.420289416824978e-13,-9.1160660451268667e-15,-1.2519379482086611e-16,1.4963297377563382e-16
0.265,9.7847022638539858e-13,-2.2118437861114403e-13,-7.5865246779110109e-13,-1.9637915907299826e-13,-1.9175604431168351e-14,-1.1576777877639575e-15,1.1835175461111469e-17
0.2675,9.3479643571242107e-13,-2.6326437622706633e-13,-8.9810806253879155e-13,-2.5771179764893283e-13,-3.3687677075096827e-14,-4.1521174166410111e-15,-1.1103761972074291e-17
0.27,8.8288475867405863e-13,-3.0708349466834712e-13,-1.0328771087970376e-12,-3.1524914860720441e-13,-4.8935746705277413e-14,-8.9317241185689148e-15,-1.2463449374042589e-16
0.2725,8.2683296550708791e-13,-3.5002669417970506e-13,-1.1498229693721446e-12,-3.5765680344829674e-13,-5.9446155815367799e-14,-1.305155044293978e-14,-3.3783844956702207e-16
0.275,7.7225320412315295e-13,-3.8907474845364491e-13,-1.2390563428139543e-12,-3.7808812864027116e-13,-6.1577385552248487e-14,-1.3924549784501132e-14,-4.7340435765999042e-16
0.2775,7.2531505355401639e-13,-4.2094200504057507e-13,-1.2957655747733314e-12,-3.7669109850262403e-13,-5.5760020038637129e-14,-1.1284972621179842e-14,-4.0932508036489692e-16
0.28,6.9210600623953209e-13,-4.4223407396138291e-13,-1.3199510067091547e-12,-3.5939609548286789e-13,-4.5625040335756872e-14,-7.1510664023091256e-15,-2.2002171524760733e-16
0.2825,6.78358751356095e-13,-4.4985225852071709e-13,-1.3146554230611797e-12,-3.3438183846302093e-13,-3.5254068723254967e-14,-3.7104799173269341e-15,-6.3982534045750381e-17
0.285,6.8949511358653187e-13,-4.4151052462884491e-13,-1.2839768265456255e-12,-3.0876476707098352e-13,-2.7183599252233497e-14,-1.7615996307271486e-15,-5.9644937875611841e-18
0.2875,7.310177817547918e-13,-4.1650427744899128e-13,-1.2318489080847783e-12,-2.869864572493662e-13,-2.2172771867992696e-14,-9.4214340984031595e-16,-1.4647616019540065e-20
0.29,8.0877833020109132e-13,-3.7636705190962435e-13,-1.1616779401943623e-12,-2.7073026095265461e-13,-1.9998827892889012e-14,-7.0887240056802953e-16,1.7402418272282187e-18
0.2925,9.2883221891963651e-13,-3.2505265673947204e-13,-1.0767195929329152e-12,-2.595500935918642e-13,-2.0218635202707819e-14,-8.2645974706727643e-16,1.7326181058687496e-18
0.295,1.0968818591622995e-12,-2.6832445243970192e-13,-9.8072591697602077e-13,-2.5160563477893311e-13,-2.2426935993657415e-14,-1.3689066617386747e-15,-1.453032809048421e-19
0.2975,1.3163585930252198e-12,-2.1248124228132821e-13,-8.7845303626753178e-13,-2.4435957433796752e-13,-2.6084631687613505e-14,-2.6599570426999381e-15,-1.8569632161666263e-17
0.3,1.5850902250267159e-12,-1.6283461440261228e-13,-7.7572872101421329e-13,-2.353192747022599e-13,-3.0237519831862639e-14,-5.0291364709137022e-15,-1.7347818223574357e-16
0.3025,1.891540806772422e-12,-1.2260726281321795e-13,-6.7892046550347964e-13,-2.2284141853375467e-13,-3.3484446191088895e-14,-8.2330564236648383e-15,-6.58055506685977e-16
0.305,2.2122869152400825e-12,-9.273976097495266e-14,-5.9401060049917881e-13,-2.0675872965610399e-13,-3.4457360574956633e-14,-1.1097665878840331e-14,-1.4792510893577788e-15
0.3075,2.5133266629295534e-12,-7.2484304164375987e-14,-5.2591230237467867e-13,-1.8851289721497171e-13,-3.2544021572369914e-14,-1.2108104936130694e-14,-2.2532798581903395e-15
0.31,2.7559206237756751e-12,-6.036127997263115e-14,-4.7819033255132544e-13,-1.7066642608046148e-13,-2.826349325875034e-14,-1.0617251036762393e-14,-2.4314113854854133e-15
0.3125,2.90554945089458e-12,-5.5030613502339118e-14,-4.5337835201066805e-13,-1.5607132334553237e-13,-2.2966425134650796e-14,-7.4332011809012806e-15,-1.835003463319293e-15
0.315,2.9413354717259318e-12,-5.5826851029019548e-14,-4.5366109834293922e-13,-1.4724354142038594e-13,-1.8082523307419326e-14,-4.1413501877309498e-15,-8.8963426015591544e-16
0.3175,2.861004171006935e-12,-6.3021199526039751e-14,-4.8163087346899263e-13,-1.4612749520790527e-13,-1.4524445643355179e-14,-1.8848757422569282e-15,-2.1179918640342438e-16
0.32,2.6804269314599279e-12,-7.7899927688438403e-14,-5.4078730241555865e-13,-1.5432663503350661e-13,-1.2625428988929781e-14,-8.0572235934957972e-16,-6.7528238757524929e-18
0.3225,2.4289182415771081e-12,-1.0263060494594623e-13,-6.3512873088575984e-13,-1.734061793803231e-13,-1.2426458745934607e-14,-4.3387600776930917e-16,9.5861097641337231e-18
0.325,2.1412021254834065e-12,-1.3973105539018006e-13,-7.6773948584408642e-13,-2.0486077861017202e-13,-1.3999378859144013e-14,-3.4695878632696393e-16,1.3612002961635143e-16
0.3275,1.8497376535405455e-12,-1.9111481880784043e-13,-9.3878538600041772e-13,-2.4964218012143639e-13,-1.759302088335268e-14,-4.2562276473363539e-16,3.2447916303989138e-16
0.33,1.5798524870682541e-12,-2.5679281311883618e-13,-1.1431783407610439e-12,-3.0723346819694689e-13,-2.3546037203842761e-14,-7.3540310722958037e-16,3.5531196461580131e-16
0.3325,1.3478341830915968e-12,-3.3372716461706165e-13,-1.3690988023371502e-12,-3.7469424654000626e-13,-3.1981003945014529e-14,-1.4115539144554108e-15,2.0334217025654543e-16
0.335,1.1618033586165166e-12,-4.1543161562603155e-13,-1.5982687913775833e-12,-4.462488913244362e-13,-4.2404922740693448e-14,-2.6322639067160868e-15,5.0819596270339069e-17
0.3375,1.0241997242988332e-12,-4.9265218882925458e-13,-1.8082372198827669e-12,-5.1388363184412238e-13,-5.3466471091579566e-14,-4.4734805708138356e-15,-3.8291506041798438e-19
0.34,9.3451897053894403e-13,-5.5505444389567636e-13,-1.976398616633356e-12,-5.6898138867619192e-13,-6.3155018194097314e-14,-6.641802877550296e-15,-4.4134051949711857e-17
0.3425,8.9153088429818857e-13,-5.9358017290089316e-13,-2.0844305044302733e-12,-6.0442501039981602e-13,-6.9450453753210928e-14,-8.4241644945478746e-15,-1.6869542172002605e-16
0.345,8.9447445761033534e-13,-6.0266210371206527e-13,-2.121989512507103e-12,-6.1646448880791325e-13,-7.1113430750777591e-14,-9.0754344144400666e-15,-2.9064317603563469e-16
0.3475,9.4373595397458877e-13,-5.8153640672839828e-13,-2.0884378081106928e-12,-6.0539087888989307e-13,-6.8132855522864259e-14,-8.3428899528032671e-15,-2.7822010065116888e-16
0.35,1.0408578621876725e-12,-5.3430526746616456e-13,-1.9919560194893757e-12,-5.7497783417091934e-13,-6.1632663512066494e-14,-6.6360668697832868e-15,-1.4855462720913781e-16
