Physical Time (s),enth_flux_pressure_left Monitor (W)
1.36,4.2188626184725637e-07
1.3625,4.2063285989971794e-07
1.365,4.1815049647182866e-07
1.3675,4.1445220851553419e-07
1.37,4.095154689434344e-07
1.3725,4.0333377961192127e-07
1.375,3.9595953504615283e-07
1.3775,3.8746793442190958e-07
1.38,3.7800781089941868e-07
1.3825,3.6781188249822034e-07
1.385,3.5715877185685047e-07
1.3875,3.4632254109156018e-07
1.39,3.3565730429298789e-07
1.3925,3.2546020049517503e-07
1.395,3.1602307070224067e-07
1.3975,3.0761004691482962e-07
1.4,3.0041683665387423e-07
1.4025,2.9454944972293316e-07
1.405,2.9019499794925627e-07
1.4075,2.8741657097851667e-07
1.41,2.8623454118759207e-07
1.4125,2.8661461254931876e-07
1.415,2.8847217078810351e-07
1.4175,2.9161037079493822e-07
1.42,2.9593828117507234e-07
1.4225,3.0127967753883858e-07
1.425,3.074283078453393e-07
1.4275,3.1415718265056132e-07
1.43,3.2121778780216988e-07
1.4325,3.2833965821049178e-07
1.435,3.3526108622353466e-07
1.4375,3.4176512342921008e-07
1.44,3.4761844864189038e-07
1.4425,3.5268821621010986e-07
1.445,3.5679267072000183e-07
1.4475,3.5980330987428546e-07
1.45,3.6164549243952981e-07
1.4525,3.6226318920303204e-07
1.455,3.6164116696160251e-07
1.4575,3.5979202664233135e-07
1.46,3.5673041828758635e-07
1.4625,3.525455119023625e-07
1.465,3.4738215778992082e-07
1.4675,3.4140588375633624e-07
1.47,3.3482808942759562e-07
1.4725,3.2787160082018514e-07
1.475,3.2076726557836332e-07
1.4775,3.1372635902329316e-07
1.48,3.0692807753957467e-07
1.4825,3.0054544790794735e-07
1.485,2.9472266161310389e-07
1.4875,2.8960924352007496e-07
1.49,2.8537083193017645e-07
1.4925,2.8213499549072506e-07
1.495,2.8004596396124744e-07
1.4975,2.7920027222400495e-07
1.5,2.7969640920099472e-07
1.5025,2.8155600020644971e-07
1.505,2.8470173671720334e-07
1.5075,2.8901579341009186e-07
1.51,2.9434714680670381e-07
1.5125,3.0049799911849755e-07
1.515,3.072961850907864e-07
1.5175,3.1448564782402906e-07
1.52,3.2185402320030616e-07
1.5225,3.291781894750717e-07
1.525,3.3626774263848819e-07
1.5275,3.4294197505072239e-07
1.53,3.4904825701376005e-07
1.5325,3.5446652424280916e-07
1.535,3.5910258065915121e-07
1.5375,3.6289313768193367e-07
1.54,3.6581467963648199e-07
1.5425,3.6787638386330344e-07
1.545,3.691380570641498e-07
1.5475,3.6965463127703139e-07
1.55,3.6951972683701318e-07
