Physical Time (s),xth_left Monitor (W)
1.1025,4.0197698318743664e-16
1.105,1.8090565077330192e-16
1.1075,3.3214326284197393e-16
1.11,-3.9818609048606511e-17
1.1125,6.5104953194242669e-19
1.115,1.2130507777832353e-16
1.1175,3.0515183867452741e-17
1.12,2.7382930445691611e-18
1.1225,3.5740642141871593e-17
1.125,-2.7000457410621395e-16
1.1275,-3.1850737430628317e-16
1.13,4.2533186089240187e-16
1.1325,-3.1476612756735432e-16
1.135,-1.5447637499713161e-16
1.1375,-4.6483691453672806e-16
1.14,-1.9121479458095009e-16
1.1425,-1.9850116532543269e-16
1.145,-2.3913699856221405e-16
1.1475,-1.0070490324445603e-16
1.15,-1.0680364393210848e-16
1.1525,-3.2115912515604865e-16
1.155,9.7417596457388724e-17
1.1575,9.6675407259671024e-17
1.16,1.6641601304479728e-16
1.1625,3.5848996295423443e-16
1.165,-5.4185608782602557e-16
1.1675,1.5209080686939359e-17
1.17,2.6576318728728895e-16
1.1725,-3.5387034317677669e-16
1.175,-2.4708426650597475e-16
1.1775,2.7863678738218216e-17
1.18,4.1220011455516563e-17
1.1825,8.9886157111250025e-16
1.185,-2.8262043734965343e-16
1.1875,4.9353665371321496e-16
1.19,4.3736962811787098e-16
1.1925,-3.108424042734173e-16
1.195,-4.1203881330951822e-16
1.1975,-2.356036962785544e-16
1.2,2.2742606978138115e-17
1.2025,-4.5077195592622199e-17
1.205,2.1135440599790993e-16
1.2075,-2.8259258406835221e-16
1.21,5.7295870022398797e-16
1.2125,4.0803181716740477e-16
1.215,-1.3892013593374253e-16
1.2175,-1.6725818682962227e-16
1.22,4.4354267611799795e-16
1.2225,4.2773552594926657e-17
1.225,5.8321087553747995e-17
1.2275,-3.8140974751646438e-16
1.23,6.9919726541494172e-17
1.2325,8.1829815232890252e-18
1.235,1.1143960513547884e-16
1.2375,5.5284590594011357e-17
1.24,-5.6386386282893786e-17
1.2425,2.8308504838194998e-16
1.245,2.0227828559619121e-16
1.2475,-1.4187268301693009e-16
1.25,1.4759102314498585e-16
1.2525,-3.8574992984562398e-16
1.255,2.2594240625919865e-16
1.2575,1.2755964470580452e-16
1.26,-3.1293689805310221e-16
1.2625,-2.9492736183468184e-16
1.265,1.3126610972639762e-16
1.2675,-1.7698759513621348e-16
1.27,4.9994599798922639e-16
1.2725,2.8695030921171339e-16
1.275,1.5126086469961763e-16
1.2775,9.3025725596806134e-17
1.28,4.5670370879834902e-17
1.2825,-1.9808670979285534e-16
1.285,-4.134795147361179e-17
1.2875,2.6551626073341484e-16
1.29,-3.3705401054609305e-16
1.2925,-3.0089504224261971e-16
1.295,-5.4551082605404139e-17
1.2975,-2.8773371616829251e-17
1.3,7.3752095331907712e-17
1.3025,2.5885557131675098e-17
1.305,-3.2894621562476259e-16
1.3075,1.7717979247767878e-16
1.31,-1.1120373381123132e-16
1.3125,-8.8414201672189998e-17
1.315,-4.2559120995267121e-16
1.3175,-1.9998976023937579e-16
1.32,-2.5312458451379329e-18
1.3225,-2.4002977142506295e-16
1.325,2.8771317044279425e-16
1.3275,5.2033010132792989e-16
1.33,3.3257824888006141e-16
1.3325,-3.0213385438251152e-16
1.335,-2.8766251446931637e-17
1.3375,1.0038802410331946e-16
1.34,-4.9811005225984541e-16
1.3425,-5.5111949462756759e-16
1.345,1.6335636131386413e-16
1.3475,1.5749428811959136e-16
1.35,2.7067860620106848e-16
1.3525,3.5418184862266881e-16
1.355,-6.714914147216141e-17
1.3575,-3.9877434293692006e-16
1.36,-1.1820312910681128e-17
1.3625,-1.0097128576597714e-16
1.365,-2.8335771284437393e-16
1.3675,-9.8412818152491214e-17
1.37,2.1758772280355281e-16
1.3725,-1.1404682497379123e-16
1.375,-5.9691588128633868e-16
1.3775,1.2603669037270101e-16
1.38,-7.4082388425639663e-17
1.3825,-1.1540009079702578e-16
1.385,2.1502525718544877e-16
1.3875,3.3967375443437511e-16
1.39,5.9839547273028521e-16
1.3925,-2.0140689992151874e-17
1.395,-8.9948404537686246e-17
1.3975,2.8464545292428014e-16
1.4,7.7043728157957608e-17
1.4025,6.2092175226222275e-17
1.405,2.2249469024261352e-16
1.4075,4.8121567670245023e-16
1.41,-3.9460287766321613e-17
1.4125,-1.8096517683277163e-17
1.415,3.1577070005418328e-16
1.4175,-4.5632160676780602e-17
1.42,1.1788857704138628e-16
1.4225,1.2883253580251096e-16
1.425,-7.0211694762343446e-16
1.4275,-3.3989636783652927e-16
1.43,-2.3847275241529031e-17
1.4325,-5.2291667303234723e-16
1.435,3.0803998373749135e-16
1.4375,2.9817257119329629e-16
1.44,-8.4443867724697209e-17
1.4425,-7.1510908337327717e-17
1.445,-5.7977660349134133e-16
1.4475,1.1302848501004635e-16
1.45,-6.0658391722841627e-17
1.4525,-3.022208052802002e-16
1.455,-2.9823648550230608e-16
1.4575,-9.6388072805166701e-17
1.46,1.3897588558077201e-16
1.4625,1.8922170570296483e-16
1.465,1.9161924665158891e-17
1.4675,5.1943161080315304e-16
1.47,-1.8992974653966076e-16
1.4725,-2.183769266717579e-16
1.475,-5.5999540434505027e-16
1.4775,8.176271617254181e-17
1.48,-2.1397256443996456e-16
1.4825,2.8898129929873611e-16
1.485,1.925012288398038e-16
1.4875,5.3105828770114278e-17
1.49,-1.1166153924917707e-16
1.4925,-1.2803154550755434e-16
1.495,-1.5898296959543239e-16
1.4975,-2.4788684588652356e-16
1.5,-9.4732124857986684e-17
1.5025,7.2023907730428387e-17
1.505,-5.8567854301591488e-17
1.5075,-4.4876423830306912e-16
1.51,2.9294882712711745e-16
1.5125,-2.8504919038473246e-16
1.515,-6.0865762639760825e-16
1.5175,3.6218326813758943e-16
1.52,5.0926913106611563e-17
1.5225,5.7465730270219289e-16
1.525,-1.148756156038696e-17
1.5275,-3.843021818760593e-16
1.53,1.7292242122761737e-16
1.5325,-7.0343407562359556e-17
1.535,4.0204820466028793e-17
1.5375,-5.1283013755992293e-16
1.54,-8.9771065011674829e-17
1.5425,-2.5442565060404339e-16
1.545,-1.5453224853297052e-16
1.5475,4.0970371445819194e-16
1.55,-5.7367385576655311e-17
1.5525,6.5143158006625691e-18
1.555,2.0911890901837668e-16
1.5575,6.3038569787643398e-17
1.56,3.0716427522226557e-16
1.5625,-2.3920817645752991e-16
1.565,3.2164764908704678e-16
1.5675,-4.512379237753912e-17
1.57,4.6369704502805235e-17
1.5725,-5.1616942231929383e-16
1.575,1.5323050010591955e-16
1.5775,9.6071190485869202e-17
1.58,-7.405718963895614e-17
1.5825,5.912529965382918e-17
1.585,-5.5808656404305284e-16
1.5875,8.0106440405165577e-17
1.59,5.4839981537129753e-16
1.5925,3.0729025613106695e-16
1.595,4.5385604968487498e-16
1.5975,-6.4622084589117172e-17
1.6,2.1687111639804699e-16
1.6025,2.5607899051113404e-18
1.605,-1.95287378639922e-16
1.6075,-1.3849582607369461e-16
1.61,-5.0660874250389716e-16
1.6125,-2.1406836045678951e-16
1.615,1.0766057659436964e-16
1.6175,1.4509225635914408e-16
1.62,8.0970165104743257e-17
1.6225,7.4924643375990587e-17
1.625,2.7008834719198026e-16
1.6275,-1.2123265326855801e-16
1.63,-1.119296206765597e-16
1.6325,-1.452109604382801e-16
1.635,4.5042487089543388e-16
1.6375,-1.941017975591986e-16
1.64,-1.6276646509943828e-16
1.6425,3.1729442088269075e-16
1.645,-2.6667425932398395e-16
1.6475,6.63197816303448e-17
1.65,-1.8104592338962541e-16
1.6525,1.3847371434855295e-16
1.655,-1.1675339541003033e-16
1.6575,-5.091577318121403e-16
1.66,-9.105491693947005e-18
1.6625,-9.3280165991623837e-17
1.665,1.5037443767612198e-16
1.6675,1.6695661708332174e-16
1.67,-5.0772564291250233e-16
1.6725,-1.4366640006968337e-16
1.675,1.6669599344521374e-16
1.6775,4.0234426922278709e-16
1.68,-5.3197658371079425e-16
1.6825,4.5053490136671323e-17
1.685,2.2182391174771802e-16
1.6875,-1.6943439781473097e-16
1.69,9.3835380171323486e-17
1.6925,-2.2257640704315213e-16
1.695,2.2408309732757139e-16
1.6975,-2.6931741336539809e-16
1.7,3.8891994468329431e-18
1.7025,2.2739114323892081e-16
1.705,-1.0790631179517172e-16
1.7075,2.2877402748706922e-16
1.71,-3.7135030595394844e-18
1.7125,4.3227440108155332e-16
1.715,-1.4708074120169401e-16
1.7175,-2.5351898688491984e-17
1.72,-2.057018141194909e-16
1.7225,2.3476381241452672e-16
1.725,-3.5510423293641587e-16
1.7275,-1.0273487619907728e-16
1.73,4.9173327386657393e-16
1.7325,2.0040094943300848e-16
1.735,6.748902054848168e-17
1.7375,4.4297669598263749e-16
1.74,4.2820367742163176e-16
1.7425,-2.6178390643589736e-16
1.745,1.3823127206233033e-16
1.7475,-5.6080177988319616e-16
1.75,9.2669205335151086e-17
1.7525,5.4133828368220817e-17
1.755,9.8809882942538636e-17
1.7575,1.769407453248252e-16
1.76,-1.409278025132645e-16
1.7625,-1.8423346668989335e-16
1.765,3.4751943257291203e-16
1.7675,-6.2870477998500569e-17
1.77,4.7539799125400215e-16
1.7725,1.1169926261462763e-16
1.775,3.6257203001063949e-16
1.7775,2.1399157814995302e-16
1.78,-2.6309602208907324e-16
1.7825,1.2858529268968717e-16
1.785,1.179977298380517e-16
1.7875,1.7402606530792171e-16
1.79,3.572663559065134e-16
1.7925,3.0892462953115196e-16
1.795,-7.8333041531045875e-17
1.7975,-4.4615758081171478e-17
1.8,-1.2683569163646273e-16
1.8025,-2.9075801369652408e-16
1.805,-2.6951244721828867e-16
1.8075,-1.7795851604775316e-16
1.81,-1.0030747880289149e-16
1.8125,-2.2536003917117882e-16
1.815,2.9011760273742885e-16
1.8175,3.022471726654401e-16
1.82,2.100618304423505e-16
1.8225,-3.2727077536340362e-16
1.825,2.8653369242558295e-17
1.8275,9.5510987716833352e-18
1.83,1.3661780892761685e-17
