Physical Time (s),etp_right Monitor (W): right_cv1,etp_right Monitor (W): right_cv2,etp_right Monitor (W): right_cv3,etp_right Monitor (W): right_cv4,etp_right Monitor (W): right_cv5,etp_right Monitor (W): right_cv6,etp_right Monitor (W): right_cv7
0.2475,6.0609335998756562e-07,3.1706318723239183e-08,-4.6273298572819323e-09,-4.1437547337677155e-09,-3.8821812467378938e-10,2.3342049027764214e-09,-1.8175599243536084e-11
0.25,6.2761197473145769e-07,4.1395005750047436e-08,6.2106161208837923e-10,-2.512018088267551e-09,-1.0041403645901778e-09,2.2145401354888583e-09,7.382168894750242e-10
0.2525,6.3907372910632354e-07,4.9619281187190585e-08,6.5356478187095599e-09,4.7260860592250189e-11,-1.2019949128546549e-09,1.7459740344744473e-09,1.328475727595481e-09
0.255,6.4222472062797155e-07,5.5999582578256063e-08,1.2274402080773236e-08,3.2796750946755617e-09,-5.9719497539488839e-10,1.0490932788423019e-09,1.6751912741341453e-09
0.2575,6.401690044449042e-07,6.0366028433368468e-08,1.7037034285638191e-08,6.6832439360564912e-09,8.9712776916565846e-10,3.5208943727502817e-10,1.760135680797903e-09
0.26,6.3639333033074011e-07,6.2759613473700899e-08,2.024920814556003e-08,9.6667248044945898e-09,3.0227660005612204e-09,-7.6860577163620846e-11,1.5875782198218141e-09
0.2625,6.3391568289993768e-07,6.3330961282147314e-08,2.1646919422080891e-08,1.1743686783833943e-08,5.2988319637565349e-09,-3.4901840124976747e-11,1.1666853710608559e-09
0.265,6.3459030199211879e-07,6.2260513121107233e-08,2.1251157528989039e-08,1.2665162565595282e-08,7.231677923543436e-09,5.2728266058630037e-10,5.2370210379007189e-10
0.2675,6.3872218083030109e-07,5.9664291228299646e-08,1.9301746506385844e-08,1.245946645687086e-08,8.4936251409206922e-09,1.484520742381534e-09,-2.644554897521008e-10
0.27,6.449849480685923e-07,5.5595051308621102e-08,1.6190732553988535e-08,1.1377382065707571e-08,8.9954239114525091e-09,2.5926695363323026e-09,-1.0491088643170744e-09
0.2725,6.509143023143085e-07,5.0057638655138587e-08,1.2398726873606835e-08,9.7805172434682039e-09,8.8429488232113055e-09,3.5917571280744901e-09,-1.6228230891803057e-09
0.275,6.5351547949007791e-07,4.3095807853834608e-08,8.4249105415121639e-09,8.0209122478777743e-09,8.2326148093976813e-09,4.2989962347188025e-09,-1.7823081760789958e-09
0.2775,6.5016822148260947e-07,3.4849594127386358e-08,4.7221866776523625e-09,6.3561999793329015e-09,7.348221994761042e-09,4.6463311893286012e-09,-1.4087543773484996e-09
0.28,6.3914170496217281e-07,2.5644766478893907e-08,1.6238897991619273e-09,4.9165450865171008e-09,6.3082738556837265e-09,4.6634973687409545e-09,-5.3087596248645304e-10
0.2825,6.2020659827142463e-07,1.5988615344771862e-08,-6.8842740089750561e-10,3.7214221511395054e-09,5.1631251098548228e-09,4.4346413492118808e-09,6.680582109019578e-10
0.285,5.9486267011842412e-07,6.5474999637986022e-09,-2.1909684529541534e-09,2.7256736473779972e-09,3.9298117496508345e-09,4.0581958413450201e-09,1.9060341460883927e-09
0.2875,5.660824083851697e-07,-1.9474768662957801e-09,-2.9839996696767031e-09,1.8733385335724114e-09,2.6388826265023402e-09,3.6185155861115365e-09,2.8953122345780561e-09
0.29,5.3766992480530483e-07,-8.8156501103462447e-09,-3.2266142897386442e-09,1.1420161927948081e-09,1.3716137826284703e-09,3.1670255543873463e-09,3.4276722773944194e-09
0.2925,5.1368456411539073e-07,-1.3503571526989183e-08,-3.0967471630527645e-09,5.6203591841057357e-10,2.7190922297552948e-10,2.7106951750173355e-09,3.4182061605887361e-09
0.295,4.9766814078228497e-07,-1.571454373657134e-08,-2.7490733412259022e-09,2.0430317911045985e-10,-4.7688652836537152e-10,2.2122489761149222e-09,2.8993581410683999e-09
0.2975,4.9207593628608461e-07,-1.5375964996635688e-08,-2.3034065184594334e-09,1.4030773500485381e-10,-7.1073595299842231e-10,1.6119523646908624e-09,1.9792998057486583e-09
0.3,4.9791745387748095e-07,-1.2628273821264762e-08,-1.8484613036818426e-09,3.9290824910343961e-10,-3.6089893452776417e-10,8.6545498833094106e-10,7.9964859200370446e-10
0.3025,5.1464594242881669e-07,-7.7568025496395564e-09,-1.4503544829179664e-09,8.9821790771858068e-10,4.8677909312487528e-10,-1.7446784312799205e-11,-4.9557693884116781e-10
0.305,5.4054284655920262e-07,-1.126498050051786e-09,-1.1592677703079642e-09,1.4971458292136546e-09,1.5817031598268017e-09,-9.5467237185608244e-10,-1.7603598086356103e-09
0.3075,5.7296839653396722e-07,6.8733933715926956e-09,-1.009155740705209e-09,1.9646836858520333e-09,2.565992920461563e-09,-1.8127045539366228e-09,-2.8437988188595232e-09
0.31,6.0883094521673849e-07,1.5836609985968191e-08,-1.0171410225674415e-09,2.0675573831277595e-09,3.0799129202088194e-09,-2.4512191762242793e-09,-3.5881007001867247e-09
0.3125,6.4520503495212425e-07,2.5352600142127976e-08,-1.1832799417975508e-09,1.6314478729079278e-09,2.8773791581789621e-09,-2.7755679077747313e-09,-3.8522384120728717e-09
0.315,6.7953378224981729e-07,3.4960511850408053e-08,-1.4973845944912539e-09,5.9180320654930192e-10,1.9063389987238166e-09,-2.7649588783979057e-09,-3.5535796560928585e-09
0.3175,7.0985303430339488e-07,4.4168956776757286e-08,-1.9461989814782476e-09,-9.8592390719271287e-10,3.1582489943650473e-10,-2.466326779901318e-09,-2.7101290314660735e-09
0.32,7.3490817978721227e-07,5.2441885354606082e-08,-2.521000923304318e-09,-2.9236925521809277e-09,-1.6005044740223472e-09,-1.9633816669002578e-09,-1.4613105996164636e-09
0.3225,7.5398122042660493e-07,5.9237022480362757e-08,-3.2102506591616742e-09,-4.9737095926423017e-09,-3.502008944501336e-09,-1.3450633442764153e-09,-4.5412115076670635e-11
0.325,7.6671354593894927e-07,6.4071588802775748e-08,-3.9867288749230569e-09,-6.8722949943737722e-09,-5.0939751607830077e-09,-6.8764395409443974e-10,1.2619233244646127e-09
0.3275,7.7295872559629027e-07,6.6564262759638507e-08,-4.7993691331331106e-09,-8.3886974764207479e-09,-6.1854986324480544e-09,-5.3182450733628149e-11,2.2261332804070574e-09
0.33,7.7269849704865503e-07,6.6481963218652738e-08,-5.5750294009501077e-09,-9.3573789759603404e-09,-6.7021142247776785e-09,5.0371980825867973e-10,2.7168348125297339e-09
0.3325,7.6601007358078938e-07,6.3800371734060283e-08,-6.2237154065598933e-09,-9.6892484891458813e-09,-6.6623231745670508e-09,9.2997291044910322e-10,2.7302246424023063e-09
0.335,7.5312936357686124e-07,5.8680053522670257e-08,-6.6615259352395333e-09,-9.3661895049367249e-09,-6.138946322737366e-09,1.1791265523960446e-09,2.364497535182745e-09
0.3375,7.3445880809898977e-07,5.1471997731562479e-08,-6.8260685993447949e-09,-8.4283436546504067e-09,-5.2269378579786056e-09,1.2189201554601785e-09,1.7699980467491666e-09
0.34,7.1084800492599791e-07,4.266550359220821e-08,-6.6889973375406974e-09,-6.9626278922098906e-09,-4.0238646079439208e-09,1.0382420912016851e-09,1.0937494018421437e-09
0.3425,6.8340774597385625e-07,3.285937446613353e-08,-6.2607376231997151e-09,-5.0905120417511678e-09,-2.6245385192392479e-09,6.542471065524406e-10,4.4352168461827641e-10
0.345,6.5370426744810171e-07,2.268846600381012e-08,-5.5851124878836415e-09,-2.9681375457039636e-09,-1.127792395351829e-09,1.1210093369852483e-10,-1.2598479429779161e-10
