Physical Time (s),etp_top Monitor (W): top_cv1,etp_top Monitor (W): top_cv2,etp_top Monitor (W): top_cv3,etp_top Monitor (W): top_cv4,etp_top Monitor (W): top_cv5,etp_top Monitor (W): top_cv6,etp_top Monitor (W): top_cv7
0.2825,6.8585415105800998e-09,-1.5707657003022162e-09,-1.2008103986535587e-09,1.1408729589552551e-09,1.4289448698360828e-09,1.5507810327112049e-09,5.216910261429746e-10
0.285,5.8762011478313578e-09,-1.6632963169634824e-09,-1.5898614854844448e-09,8.3340212795205374e-10,1.1900784430073332e-09,1.0486748403255523e-09,2.44517036021593e-10
0.2875,4.7949613056989313e-09,-1.5942885417804438e-09,-1.7941611450815705e-09,5.3176832355176918e-10,9.5333120504873288e-10,6.5298610187640611e-10,-5.5284592619293104e-13
0.29,3.6645178282828592e-09,-1.3995829260735584e-09,-1.8343837759839456e-09,2.4991355115538087e-10,7.408648147226388e-10,4.457704318848716e-10,-1.2757476165718937e-10
0.2925,2.5271965580819006e-09,-1.1330168248460353e-09,-1.7481059154560976e-09,-4.8902077822237004e-12,5.4769095289371466e-10,4.0288632035088023e-10,-1.113715205252904e-10
0.295,1.4370570483548563e-09,-8.5028881530544426e-10,-1.5814977418274571e-09,-2.3069122713944435e-10,3.5306419870789116e-10,4.1624617576035854e-10,-3.4207748619749234e-12
0.2975,4.7059281134035523e-10,-5.9628019564057277e-10,-1.3821713044622632e-09,-4.3011161984455359e-10,1.3681167552298542e-10,3.5116710074030126e-10,8.9898941260666968e-11
0.3,-2.8140446170766102e-10,-3.9756537706713529e-10,-1.1926735130365276e-09,-6.0899742712323891e-10,-1.0942084129276298e-10,1.0996197712232513e-10,5.8295330121642299e-11
0.3025,-7.3838317140512917e-10,-2.6139298512140139e-10,-1.0472526257975062e-09,-7.776929788287208e-10,-3.7920077224582908e-10,-3.2541234272439157e-10,-1.567894626145148e-10
0.305,-8.6097255855697671e-10,-1.8089053254211526e-10,-9.6799481485534672e-10,-9.4874642370909734e-10,-6.5456433770508185e-10,-8.8402958510302008e-10,-5.2893039670055673e-10
0.3075,-6.6890145629336555e-10,-1.4269436497714971e-10,-9.6625476185161729e-10,-1.1340636325150612e-09,-9.1175536553779426e-10,-1.4332077331725771e-09,-9.5225519532082363e-10
0.31,-2.4162449249373777e-10,-1.3358829751731751e-10,-1.0435570841266424e-09,-1.3415979066196602e-09,-1.1281500943041411e-09,-1.8289065813863703e-09,-1.282644943239813e-09
0.3125,3.0458255074600424e-10,-1.4503902397340025e-10,-1.1975520475488859e-09,-1.5754917449129956e-09,-1.2886705003591991e-09,-1.9692765631148173e-09,-1.3950863932449016e-09
0.315,8.584023627395671e-10,-1.7314523993758448e-10,-1.4226571989053398e-09,-1.8376232955368572e-09,-1.3925453575000825e-09,-1.8306021319951773e-09,-1.2310351442478787e-09
0.3175,1.3343701145702857e-09,-2.1707282036734849e-10,-1.711887459885956e-09,-2.1297780119173109e-09,-1.4561316775273264e-09,-1.473895566893596e-09,-8.1870715800575452e-10
