Physical Time (s),etp_left Monitor (W)
1.8175,3.7863161900672663e-09
1.82,3.8167127120334329e-09
1.8225,3.8298950623482207e-09
1.825,3.8262098469179032e-09
1.8275,3.8062879667460211e-09
1.83,3.7710528749093478e-09
1.8325,3.7216570758117376e-09
1.835,3.659482618098751e-09
1.8375,3.5860585416061941e-09
1.84,3.5030382383459415e-09
1.8425,3.4121576439225767e-09
1.845,3.315192157606912e-09
1.8475,3.2139362544236658e-09
1.85,3.1102195479165271e-09
1.8525,3.0058281957436665e-09
1.855,2.9025118549758664e-09
1.8575,2.8018896037370866e-09
1.86,2.705522711182103e-09
1.8625,2.6148427985975319e-09
1.865,2.5311892875711224e-09
1.8675,2.4557537772101611e-09
1.87,2.3896182815411955e-09
1.8725,2.333720656496925e-09
1.875,2.2888472605804994e-09
1.8775,2.255574066829418e-09
1.88,2.2342893162035098e-09
1.8825,2.2251553229864231e-09
1.885,2.2281169723430212e-09
1.8875,2.2428952845449574e-09
1.89,2.268960781875674e-09
1.8925,2.3055840985238167e-09
1.895,2.3517118561736324e-09
1.8975,2.4062028596654594e-09
1.9,2.4676037725350121e-09
1.9025,2.5344036141710988e-09
1.905,2.6048752320247407e-09
1.9075,2.6773023869864118e-09
1.91,2.7498418765407127e-09
1.9125,2.8207538682956294e-09
1.915,2.8881964193382383e-09
1.9175,2.9506021741775562e-09
1.92,3.0063046794136716e-09
1.9225,3.0539739478491347e-09
1.925,3.0923003469975398e-09
1.9275,3.120337510752783e-09
1.93,3.1371874372483553e-09
1.9325,3.142366631711798e-09
1.935,3.1354266352659069e-09
1.9375,3.116384339318652e-09
1.94,3.0852243287670491e-09
1.9425,3.0422737538006075e-09
1.945,2.9879885105625915e-09
1.9475,2.9229410976678302e-09
1.95,2.8478699873939449e-09
1.9525,2.7635713911328404e-09
1.955,2.6709922387286194e-09
1.9575,2.571099270751943e-09
1.96,2.4649517647532017e-09
1.9625,2.3536128163205396e-09
1.965,2.2381281100843609e-09
1.9675,2.1195726266679948e-09
1.97,1.9989603614814882e-09
1.9725,1.8774119499547741e-09
1.975,1.7558748940129122e-09
1.9775,1.6353466167016274e-09
1.98,1.5168584001621557e-09
1.9825,1.4013453934308247e-09
1.985,1.2896204414895606e-09
1.9875,1.1825150611768235e-09
1.99,1.0807199180648238e-09
1.9925,9.8501497267415612e-10
1.995,8.9573891863368478e-10
1.9975,8.1364515287743108e-10
2.0,7.3906768238056378e-10
2.0025,6.7239376529433559e-10
2.005,6.1389229067862901e-10
2.0075,5.6373629023458612e-10
2.01,5.2197575181257025e-10
2.0125,4.8856787907302466e-10
2.015,4.6337599768080401e-10
2.0175,4.4617926232871806e-10
2.02,4.3669035813049625e-10
2.0225,4.3454710980218225e-10
2.025,4.3931014545248913e-10
2.0275,4.5045774019727831e-10
2.03,4.6738428473013217e-10
2.0325,4.8941030424219552e-10
2.035,5.157877303269068e-10
2.0375,5.4571839419198003e-10
2.04,5.7837935867948129e-10
2.0425,6.1292301541316439e-10
2.045,6.4850921874119831e-10
2.0475,6.8429103692057719e-10
2.05,7.1942664177924098e-10
2.0525,7.5308526586293635e-10
2.055,7.8445044971668946e-10
2.0575,8.1273236599228755e-10
2.06,8.3720270242315767e-10
2.0625,8.5719572327014001e-10
2.065,8.7214124851862482e-10
2.0675,8.8156813986174407e-10
2.07,8.8510925638221234e-10
2.0725,8.8249779601094644e-10
2.075,8.7356451738966025e-10
2.0775,8.5824392983933191e-10
2.08,8.3656483362691077e-10
2.0825,8.0867351611948071e-10
2.085,7.7482115479429062e-10
2.0875,7.3536353985889238e-10
