Physical Time (s),enth_flux_viscous_right Monitor (W): right_cv1,enth_flux_viscous_right Monitor (W): right_cv2,enth_flux_viscous_right Monitor (W): right_cv3,enth_flux_viscous_right Monitor (W): right_cv4,enth_flux_viscous_right Monitor (W): right_cv5,enth_flux_viscous_right Monitor (W): right_cv6,enth_flux_viscous_right Monitor (W): right_cv7
0.2225,4.0481324951384966e-08,7.2932058243937984e-10,-1.6190725942366685e-10,-1.346685258119621e-10,-1.3349927282739376e-10,-1.72865075535538e-10,-6.6137223907680366e-11
0.225,4.0631931982207968e-08,6.9862752961648387e-10,-1.6238695282464892e-10,-1.2650241809648283e-10,-1.1821903403798432e-10,-1.4440771265357861e-10,-8.1509817963054323e-11
0.2275,4.0700968246033244e-08,6.5910223759239072e-10,-1.6093435243945706e-10,-1.1579202427867244e-10,-1.0067219974401257e-10,-1.1086198523820883e-10,-1.0072491410112686e-10
0.23,4.0699875404150783e-08,6.0771018452791775e-10,-1.6103862195974392e-10,-1.0415817920137099e-10,-8.0960083652309487e-11,-7.588926912871744e-11,-1.1853639246624823e-10
0.2325,4.0641084351800729e-08,5.4434559473614346e-10,-1.6608114134038391e-10,-9.3526479325182692e-11,-5.9469472293206506e-11,-4.2719744699614204e-11,-1.3018155527729347e-10
0.235,4.0533358132927208e-08,4.7364756198177823e-10,-1.7839867427793496e-10,-8.5919476268661084e-11,-3.7364918558246756e-11,-1.3670237312895857e-11,-1.3228424376587612e-10
0.2375,4.038775882984872e-08,3.9851087168989106e-10,-1.986964025986479e-10,-8.3187359348588289e-11,-1.6781338208219767e-11,9.9760622107375708e-12,-1.2330915167484498e-10
0.24,4.0212940475293181e-08,3.2265388616188917e-10,-2.2600145945480669e-10,-8.6766726418756022e-11,-6.3714561092197694e-13,2.7823850121565371e-11,-1.0353254931499849e-10
0.2425,4.0015927636194859e-08,2.5005954474027863e-10,-2.5799484361997274e-10,-9.7452686402460898e-11,7.9264194124407703e-12,4.0043756645694428e-11,-7.4727680699474772e-11
0.245,3.9801287190529496e-08,1.8456203340098527e-10,-2.9165963972517478e-10,-1.1526160343877909e-10,6.2940442478939361e-12,4.7053482076437423e-11,-3.9580656841191027e-11
0.2475,3.9571163473399435e-08,1.2956174387770374e-10,-3.2400878438668659e-10,-1.3945101203487053e-10,-6.9377246304574128e-12,4.9228732917443168e-11,-1.0843043285117818e-12
0.25,3.9320791356354233e-08,8.7217407292979508e-11,-3.526720636824424e-10,-1.6858433777440464e-10,-3.1515512531831599e-11,4.6770916942592454e-11,3.7942508931551717e-11
0.2525,3.9052487623571777e-08,5.8029218509750007e-11,-3.7622758898828632e-10,-2.0072396040184314e-10,-6.5463677004328839e-11,3.9763481041539692e-11,7.5135925977295455e-11
0.255,3.8767182349772889e-08,4.1163850466834102e-11,-3.9427730719096869e-10,-2.336402181213053e-10,-1.0535007205182667e-10,2.8367699721704823e-11,1.0864010443758361e-10
0.2575,3.8467426856049381e-08,3.4888486068501476e-11,-4.072234245287879e-10,-2.6504471636627031e-10,-1.468786447200004e-10,1.3055035224344912e-11,1.3700652275134983e-10
0.26,3.8155368585264275e-08,3.6899093107882753e-11,-4.1590944551105532e-10,-2.9281954395615408e-10,-1.8564456685694878e-10,-5.2245210717600279e-12,1.590439596063035e-10
0.2625,3.7830954944075482e-08,4.4930873761850146e-11,-4.2113929643373904e-10,-3.1516529167089043e-10,-2.1782553739851405e-10,-2.5035538962911924e-11,1.7367974885137593e-10
0.265,3.7488070301820048e-08,5.7138066469714127e-11,-4.2333196343283787e-10,-3.3071444688135865e-10,-2.4073525817002297e-10,-4.4633351098290429e-11,1.7992582805888493e-10
0.2675,3.7130899460738543e-08,7.253990243932207e-11,-4.2232758763460228e-10,-3.3854631758444275e-10,-2.5301762612447784e-10,-6.2204034798055446e-11,1.7693671888559599e-10
0.27,3.6761907788438519e-08,9.0880238657416754e-11,-4.1741624169910021e-10,-3.3816931185802675e-10,-2.5461263170404789e-10,-7.6168592247508901e-11,1.6415510261508939e-10
0.2725,3.6378844513587417e-08,1.1258840389209228e-10,-4.0756094125711098e-10,-3.2950141788383968e-10,-2.464687804264899e-10,-8.5467365032778532e-11,1.4148948130825666e-10
0.275,3.5982816775094008e-08,1.3822345867028511e-10,-3.9174867323192994e-10,-3.1280132148721675e-10,-2.3010677769661123e-10,-8.9751860262984099e-11,1.0948122870640012e-10
0.2775,3.5574861746198107e-08,1.6820794746783362e-10,-3.6925064336845978e-10,-2.8861486127557344e-10,-2.0723438531326933e-10,-8.9407549279459382e-11,6.9348672939808007e-11
0.28,3.515397463125455e-08,2.0279139563419337e-10,-3.3990149717302661e-10,-2.5771705533377785e-10,-1.7941375773581822e-10,-8.5465052760301939e-11,2.2954999606298211e-11
0.2825,3.4719647302077478e-08,2.4185022892056977e-10,-3.0416745242084587e-10,-2.2108432720155398e-10,-1.4793789325883345e-10,-7.9356169473122291e-11,-2.7332792493175092e-11
0.285,3.4275893248238646e-08,2.8454662661297559e-10,-2.6315051104379307e-10,-1.7990342377078591e-10,-1.1386849726564557e-10,-7.2630332300587945e-11,-7.8837026739471187e-11
0.2875,3.3824187715396327e-08,3.2963828688637155e-10,-2.1847905606153038e-10,-1.3560877619076964e-10,-7.818415706457181e-11,-6.6645309926046413e-11,-1.2883641273859439e-10
0.29,3.3364157775992612e-08,3.7570914313004827e-10,-1.7219469339634891e-10,-8.9928932955996981e-11,-4.1963410645568883e-11,-6.2326768393338923e-11,-1.748195300365423e-10
0.2925,3.2895648088307128e-08,4.2108034207100985e-10,-1.2655990147131463e-10,-4.4890311379681812e-11,-6.5290885862284441e-12,-6.0036474993294132e-11,-2.1466953261428038e-10
0.295,3.2419391298820488e-08,4.6419578149929048e-10,-8.3888395072312134e-11,-2.7482037136600223e-12,2.6487579948515331e-11,-5.9580508675609535e-11,-2.4676192916460781e-10
0.2975,3.1934434097569632e-08,5.035194899522774e-10,-4.6392932664100456e-11,3.4157587446222702e-11,5.5222088256034922e-11,-6.0323708534436741e-11,-2.6995588007827746e-10
0.3,3.1440418649607338e-08,5.3764264832524147e-10,-1.6080084860438095e-11,6.360334149340892e-11,7.7779736299502898e-11,-6.1398714596395913e-11,-2.8352585012403798e-10
0.3025,3.0937496884363542e-08,5.6529148310192533e-10,5.3710642762114524e-12,8.3680327789251451e-11,9.2504711946398835e-11,-6.1893952517064267e-11,-2.8703062986521351e-10
0.305,3.0424198409456936e-08,5.8537603911485402e-10,1.6689706966090517e-11,9.3010619999636861e-11,9.8283095995707681e-11,-6.1105199300021469e-11,-2.8029129941964685e-10
0.3075,2.9899616847042516e-08,5.9699653310269198e-10,1.706387350071608e-11,9.0902064099114713e-11,9.472163389549467e-11,-5.8624747968766333e-11,-2.6336363898401835e-10
0.31,2.9363832285616602e-08,5.9957434764178497e-10,6.2247291707466981e-12,7.7458291104073783e-11,8.225960391797151e-11,-5.4387213196591188e-11,-2.366389678379641e-10
0.3125,2.8816919686565804e-08,5.9274504298397287e-10,-1.5505173695706295e-11,5.3596781608632203e-11,6.2135258963461288e-11,-4.861834988371787e-11,-2.0092043502668721e-10
0.315,2.8257728450699696e-08,5.7648047851070921e-10,-4.7176186397317823e-11,2.0956215812894716e-11,3.621493887274157e-11,-4.1738384439939874e-11,-1.5752295216173326e-10
0.3175,2.7686090408747524e-08,5.5121455191197691e-10,-8.7267868841146352e-11,-1.8263252348732949e-11,6.7262436764954047e-12,-3.4189070972916983e-11,-1.0829731802121048e-10
0.32,2.7102839271323181e-08,5.178329371738413e-10,-1.3378263244251479e-10,-6.154406139850089e-11,-2.4028943569208497e-11,-2.629090444878632e-11,-5.5545240856072697e-11
0.3225,2.6511132994102054e-08,4.7776526876815738e-10,-1.843808838780999e-10,-1.0632542121531227e-10,-5.3974428530744975e-11,-1.8167498780511273e-11,-1.8434004091123483e-12
0.325,2.5912319200074294e-08,4.3294485705629994e-10,-2.3655715233307339e-10,-1.5026673053246808e-10,-8.1467430024827368e-11,-9.7481166328887467e-12,5.0199164182812015e-11
0.3275,2.5309952867009721e-08,3.859400987353979e-10,-2.8784377079925939e-10,-1.9143997899220603e-10,-1.0540892059985005e-10,-8.3786482128680661e-13,9.8211715389491088e-11
0.33,2.4706837126478028e-08,3.3975861801069311e-10,-3.3597437428945188e-10,-2.2842326229884082e-10,-1.252313479829717e-10,8.7638094593522826e-12,1.4028928950948645e-10
0.3325,2.4107205917415265e-08,2.9757999008525945e-10,-3.7902115914021999e-10,-2.6028459028848671e-10,-1.4081869365150746e-10,1.9098995833718902e-11,1.7516388221176958e-10
0.335,2.351541535180262e-08,2.6257150488704491e-10,-4.1546530548975615e-10,-2.8648739263910559e-10,-1.5234984204212574e-10,2.9992056777306794e-11,2.0224059232607702e-10
0.3375,2.2935736266588419e-08,2.376869166814503e-10,-4.4417691622233949e-10,-3.0672947468091774e-10,-1.6015474619365619e-10,4.0998474225567331e-11,2.2153210569339162e-10
0.34,2.2371811963940818e-08,2.2537553384996114e-10,-4.643653027500115e-10,-3.2081303992115376e-10,-1.645639029915614e-10,5.1403805699800321e-11,2.3351099062615051e-10
0.3425,2.1824726534380769e-08,2.2736854289203236e-10,-4.755165533667603e-10,-3.2856646906932986e-10,-1.6580961565564487e-10,6.0359152346661753e-11,2.389130772925396e-10
0.345,2.1297063719507438e-08,2.4454682736871721e-10,-4.7736592811167409e-10,-3.2980579511727529e-10,-1.6398983472682082e-10,6.7027769069963167e-11,2.385400792962328e-10
0.3475,2.0789387016656906e-08,2.7708027649119993e-10,-4.6986839125876749e-10,-3.2435765946551619e-10,-1.5908378545421898e-10,7.0742703391936161e-11,2.3306411517822697e-10
0.35,2.0300376010888629e-08,3.2434950946091452e-10,-4.5321768088765084e-10,-3.1213374115350083e-10,-1.509993637605563e-10,7.1126712236578417e-11,2.2294188625241489e-10
0.3525,1.9827918676446713e-08,3.8499562629446204e-10,-4.2782867803902337e-10,-2.9321467830645402e-10,-1.3963688623038228e-10,6.8164669168669999e-11,2.0838959181683229e-10
0.355,1.9368840245908708e-08,4.5717183343676336e-10,-3.9447260367171731e-10,-2.6792486159992362e-10,-1.2497935582213397e-10,6.2218132062495628e-11,1.8943094595507536e-10
0.3575,1.8918945480878155e-08,5.3859846219269538e-10,-3.5423283527274145e-10,-2.369274744123453e-10,-1.0713809158954465e-10,5.3980362810761568e-11,1.6601883489592307e-10
