Physical Time (s),anabla_vol Monitor (W): cv1,anabla_vol Monitor (W): cv2,anabla_vol Monitor (W): cv3,anabla_vol Monitor (W): cv4,anabla_vol Monitor (W): cv5,anabla_vol Monitor (W): cv6,anabla_vol Monitor (W): cv7
0.335,5.604231256432428e-11,1.0228665634756968e-11,3.1716183450001896e-12,2.9696834533984451e-16,1.8163025892358735e-17,4.3579141544404723e-18,5.5030370693914598e-17
0.3375,5.5469732284690703e-11,1.021884956963464e-11,3.2084024254646959e-12,3.3415083010879374e-16,1.5164517370276726e-17,3.5479947714028361e-18,4.718287673217551e-17
0.34,5.4904330042557723e-11,1.021179224580342e-11,3.2419145255156256e-12,3.7691174185444414e-16,1.2058378478533812e-17,2.9382867935205478e-18,3.8854780214211889e-17
0.3425,5.4345851480273543e-11,1.0207458192790434e-11,3.2722230987069924e-12,4.2746971690323567e-16,9.0905467049170455e-18,2.4495916409794489e-18,3.0628597154229999e-17
0.345,5.3794082311383424e-11,1.0205797869316075e-11,3.2994156368446326e-12,4.882318220141538e-16,6.4735797965317604e-18,2.0033443549442727e-18,2.2990716854756183e-17
0.3475,5.3248780997354803e-11,1.0206742060605922e-11,3.3235951456682443e-12,5.6177886975163645e-16,4.4195160540753567e-18,1.5843082080595466e-18,1.6434241221424047e-17
0.35,5.2709722266033337e-11,1.021019345699913e-11,3.3448758806958023e-12,6.508123471193821e-16,3.1573582039723565e-18,1.2533644389170027e-18,1.1488578142069124e-17
0.3525,5.2176704824768113e-11,1.0216031637282881e-11,3.3633793044533152e-12,7.5816373809613449e-16,2.9044461645283926e-18,1.1128268439257618e-18,8.6458691331135995e-18
0.355,5.1649561211671133e-11,1.0224109733436166e-11,3.379232094628035e-12,8.8659070866021752e-16,3.8099719038007025e-18,1.2544032603172568e-18,8.2347674789511557e-18
0.3575,5.1128179076635813e-11,1.0234253715344539e-11,3.3925627110588403e-12,1.0387591545133163e-15,5.8897585887795097e-18,1.7171918220211184e-18,1.0294767676280773e-17
0.36,5.0612414757623813e-11,1.0246262526487698e-11,3.4035007644823099e-12,1.2172989186791903e-15,8.9736910547965619e-18,2.4800641457517249e-18,1.4508767646809946e-17
0.3625,5.0101918931472438e-11,1.0259916152801212e-11,3.4121755188772236e-12,1.4249134920430901e-15,1.2675812689101244e-17,3.4732231880760852e-18,2.0203632539404338e-17
0.365,4.9596653417407669e-11,1.0274988149882763e-11,3.4187170621006278e-12,1.6644484625449701e-15,1.6442324475944363e-17,4.599174632175765e-18,2.6435736008324257e-17
0.3675,4.9097032859160562e-11,1.029125360569643e-11,3.4232543309090916e-12,1.9391148257643214e-15,1.9662772630610657e-17,5.7481635785315939e-18,3.2166165625512982e-17
0.37,4.8603494367218923e-11,1.0308502287877399e-11,3.425913450160708e-12,2.2528308031179327e-15,2.1781736651320211e-17,6.7947439759258201e-18,3.6415295484069474e-17
0.3725,4.8116401776703164e-11,1.0326545502831031e-11,3.4268178954318799e-12,2.6105247644838337e-15,2.2404562563752071e-17,7.590483992792395e-18,3.8400242591915606e-17
0.375,4.76361086783069e-11,1.0345219869998636e-11,3.4260878719495061e-12,3.0183082767929198e-15,2.1390341743389082e-17,7.9841606509234951e-18,3.7698830375590373e-17
0.3775,4.716298292816366e-11,1.0364388119676943e-11,3.4238395202597945e-12,3.4834457189699983e-15,1.8906300911700719e-17,7.8579248854196088e-18,3.4358089244450217e-17
0.38,4.6697379421161629e-11,1.0383938769961154e-11,3.4201834247380693e-12,4.01414687567647e-15,1.5393086037145724e-17,7.1765660447128938e-18,2.8903994918622841e-17
