Physical Time (s),enthalpy_storage_vol Monitor (J): cv1,enthalpy_storage_vol Monitor (J): cv2,enthalpy_storage_vol Monitor (J): cv3,enthalpy_storage_vol Monitor (J): cv4,enthalpy_storage_vol Monitor (J): cv5,enthalpy_storage_vol Monitor (J): cv6,enthalpy_storage_vol Monitor (J): cv7
0.29,7.2550110500005153e-07,3.569951823740934e-07,2.2417887064311288e-07,2.1890474622635697e-09,1.2476674242814953e-10,5.5452652981634543e-10,-2.791057534236631e-10
0.2925,7.2474134886342323e-07,3.5647435933496622e-07,2.2921907214013247e-07,2.3809657530709661e-09,2.1338766123349069e-10,6.541896621411071e-10,-3.7999697525345284e-10
0.295,7.2398638212224064e-07,3.5601035595757957e-07,2.3415367615191418e-07,2.5748081073727546e-09,2.9781978865640563e-10,7.4127101761994088e-10,-4.8129472288701175e-10
0.2975,7.2324507068211662e-07,3.5562847407744167e-07,2.3897850934738164e-07,2.7655705301338288e-09,3.7334830923224547e-10,8.1208481892869845e-10,-5.756536731392081e-10
0.3,7.2252215473534527e-07,3.553558078289901e-07,2.4369147879246877e-07,2.9493870657957597e-09,4.3627387332760746e-10,8.6558382757243544e-10,-6.5151286256339041e-10
0.3025,7.2181177090566906e-07,3.5521590920202626e-07,2.4828998735297966e-07,3.1213708097017824e-09,4.81791123382153e-10,8.9903228856769118e-10,-7.0199834818740155e-10
0.305,7.211015358067789e-07,3.5522711618973083e-07,2.5277182276736272e-07,3.2771316620099544e-09,5.0573771768504689e-10,9.0971018678064332e-10,-7.2303055112391222e-10
0.3075,7.2037758428050144e-07,3.55401551010832e-07,2.5713575956833153e-07,3.4147553091847886e-09,5.0626598454919313e-10,8.9831212985758943e-10,-7.1058256062739154e-10
0.31,7.1963204427660321e-07,3.5574655454358989e-07,2.6138456248623159e-07,3.5374757864749418e-09,4.870303003662089e-10,8.7384716718316013e-10,-6.5289885034870309e-10
0.3125,7.188496291754123e-07,3.5626062352098379e-07,2.6551739509803807e-07,3.6465193366760404e-09,4.4978660558965785e-10,8.3904854796414387e-10,-5.5245794879308325e-10
0.315,7.1801758849534508e-07,3.5693671937368375e-07,2.695332827249206e-07,3.7439660145697602e-09,3.9715894657929862e-10,7.9613989888777664e-10,-4.1628532902341113e-10
