Physical Time (s),etp_bot Monitor (W): bot_cv1,etp_bot Monitor (W): bot_cv2,etp_bot Monitor (W): bot_cv3,etp_bot Monitor (W): bot_cv4,etp_bot Monitor (W): bot_cv5,etp_bot Monitor (W): bot_cv6,etp_bot Monitor (W): bot_cv7
0.2625,6.1841523240494565e-09,1.0927767258177981e-09,2.9269922503494784e-09,1.5412584505061622e-09,3.6776598429060413e-10,5.5034349665151976e-11,1.6950063951440025e-10
0.265,6.882039694945997e-09,1.0728003378408581e-09,2.9781795523937701e-09,1.7479170536857818e-09,5.8781586710040351e-10,1.4800899822220779e-10,1.5593946841345545e-11
0.2675,7.5534347080193269e-09,8.9664067756466659e-10,2.767235830224998e-09,1.8880552072194156e-09,8.6406670940085904e-10,5.0149901785818264e-10,2.3239069673663013e-11
0.27,8.1083402249165245e-09,5.6562167290064194e-10,2.3022468208160326e-09,1.9497445899788328e-09,1.1658223595313019e-09,1.0510278628726881e-09,1.7804054184946668e-10
0.2725,8.4450333144238209e-09,1.1311220937434383e-10,1.6371429641805011e-09,1.9291904812675196e-09,1.4397956568923584e-09,1.630479623885693e-09,4.0813070461978638e-10
0.275,8.4874639330263564e-09,-4.0079624050139884e-10,8.5989724564582026e-10,1.8275928368359572e-09,1.6258057204205162e-09,2.0439853291721735e-09,6.1444165617536102e-10
0.2775,8.2093000185526757e-09,-9.0117461107861153e-10,6.9145355915056199e-11,1.6512705931356589e-09,1.6811010824798006e-09,2.1544135703222416e-09,7.0957358652658933e-10
0.28,7.63677703838606e-09,-1.3150899999659804e-09,-6.4476491090693727e-10,1.4131932956934402e-09,1.6002833198126207e-09,1.9427150440522601e-09,6.5145273887763075e-10
0.2825,6.8323556556905936e-09,-1.585796839063414e-09,-1.2150439052952972e-09,1.1335234832305915e-09,1.4169276180735501e-09,1.5100999678432939e-09,4.5959103130238595e-10
0.285,5.8677419885103112e-09,-1.6860578399881998e-09,-1.606649332878737e-09,8.3470863966634692e-10,1.1848791449851694e-09,1.0251262161799679e-09,2.0737260057758611e-10
0.2875,4.8043166680694714e-09,-1.6216923379358648e-09,-1.8145928121898227e-09,5.3677888624282323e-10,9.5175141875025031e-10,6.4475514226978351e-10,-8.5542617705761777e-12
0.29,3.6874212248961339e-09,-1.427884559476621e-09,-1.8580690676467334e-09,2.5434532974159083e-10,7.4050509591354853e-10,4.4789007642688962e-10,-1.115674060279952e-10
0.2925,2.557367763074705e-09,-1.1588344995016657e-09,-1.7752106629016164e-09,-4.7051899193371284e-12,5.4670683463752318e-10,4.0955665110601037e-10,-8.2994459932122495e-11
0.295,1.4680987893031747e-09,-8.714977097601055e-10,-1.6113220965804831e-09,-2.3697592476536136e-10,3.5043458173349354e-10,4.2254238626950298e-10,2.4357406124769599e-11
0.2975,4.9611754236916185e-10,-6.1221316575859383e-10,-1.413486523008823e-09,-4.4314724563726925e-10,1.3189485665161141e-10,3.5354432518489243e-10,1.0778465276096201e-10
0.3,-2.6474733496274462e-10,-4.0869759188251502e-10,-1.224147813309874e-09,-6.2773443807973763e-10,-1.1682981120179324e-10,1.0753663724683651e-10,6.3993422610001552e-11
0.3025,-7.2885129305948247e-10,-2.6867985753121457e-10,-1.07698815199943e-09,-8.0008574004158529e-10,-3.8866342632403123e-10,-3.2987687630315237e-10,-1.5850305798386198e-10
0.305,-8.5169423752907787e-10,-1.8553524911475508e-10,-9.9416210560300348e-10,-9.7168498125802172e-10,-6.6465053170030414e-10,-8.8663765513049348e-10,-5.295599468605867e-10
0.3075,-6.5242665581361121e-10,-1.4568191863255927e-10,-9.8781558172051992e-10,-1.1547569554229946e-09,-9.204168589926888e-10,-1.4312230968809777e-09,-9.4443247318926708e-10
0.31,-2.1143741129385623e-10,-1.3602548829876872e-10,-1.0606794190069624e-09,-1.357707001319213e-09,-1.1332832543620518e-09,-1.8214332543687864e-09,-1.2635396036580026e-09
0.3125,3.5306167863712916e-10,-1.4775158142880964e-10,-1.2104759430149627e-09,-1.5853139099704515e-09,-1.2890673405642564e-09,-1.9566931497006656e-09,-1.3663692754133499e-09
0.315,9.2074030888745676e-10,-1.766219637982635e-10,-1.4320761016468029e-09,-1.8407798370949392e-09,-1.3880178061583852e-09,-1.8135631005319568e-09,-1.1963515392981128e-09
0.3175,1.4034334507087832e-09,-2.2138584850414074e-10,-1.7182185025035045e-09,-2.1261737578257054e-09,-1.4466800757265783e-09,-1.4523369031000523e-09,-7.8098114301271922e-10
0.32,1.7618242310484229e-09,-2.8130116751711791e-10,-2.0549069947630755e-09,-2.4408233235837238e-09,-1.4942271421136725e-09,-9.9543969077286307e-10,-2.2250223330018177e-10
0.3225,2.0002131267434997e-09,-3.5442640371214875e-10,-2.4204233388290756e-09,-2.7756062074735621e-09,-1.560945831388431e-09,-5.8521440962551299e-10,3.3564046734511116e-10
0.325,2.1502947110153656e-09,-4.3696120665403366e-10,-2.781046513435408e-09,-3.1058895612411341e-09,-1.6639113828333221e-09,-3.3814697987530811e-10,7.5404599231797889e-10
