Physical Time (s),ep_left Monitor (W)
1.0375,6.6120025480814049e-09
1.04,6.1313205526633711e-09
1.0425,5.6492215109553555e-09
1.045,5.1710788711759411e-09
1.0475,4.7001628016586275e-09
1.05,4.2390049167747264e-09
1.0525,3.7891769926687439e-09
1.055,3.3519865194627879e-09
1.0575,2.9298651787909489e-09
1.06,2.5258236409288183e-09
1.0625,2.1441407558218868e-09
1.065,1.7897910649252332e-09
1.0675,1.467853218157104e-09
1.07,1.1840027692314026e-09
1.0725,9.4322344491077401e-10
1.075,7.4956163230463775e-10
1.0775,6.0738984872492948e-10
1.08,5.1951603129554059e-10
1.0825,4.8449030324185187e-10
1.085,4.9940252135297622e-10
1.0875,5.6028811262295528e-10
1.09,6.6217139855591463e-10
1.0925,7.9908021048832732e-10
1.095,9.6427433321700516e-10
1.0975,1.1513703088225486e-09
1.1,1.3545181198063036e-09
1.1025,1.5678749678985533e-09
1.105,1.7858088867793174e-09
1.1075,2.0030135017518887e-09
1.11,2.2151045914530779e-09
1.1125,2.4179526021813724e-09
1.115,2.6078924368495543e-09
1.1175,2.7818821601773153e-09
1.12,2.9371948782705888e-09
1.1225,3.0709759979141727e-09
1.125,3.1809101945181293e-09
1.1275,3.2636060892637172e-09
1.13,3.3169738660687146e-09
1.1325,3.3391174684576631e-09
1.135,3.3281976116671946e-09
1.1375,3.2824794122992785e-09
1.14,3.2002656727109088e-09
1.1425,3.080842386087233e-09
1.145,2.9231701395034846e-09
1.1475,2.7302983090528816e-09
1.15,2.5048299981886394e-09
1.1525,2.250360061796192e-09
1.155,1.9703132004475591e-09
1.1575,1.6706921221789183e-09
1.16,1.3569249188918463e-09
1.1625,1.0346065341001063e-09
1.165,7.0934159231982948e-10
1.1675,3.8631986667761326e-10
1.17,7.0807511828741014e-11
1.1725,-2.3214520361155574e-10
1.175,-5.1683921833912533e-10
1.1775,-7.790975892447675e-10
1.18,-1.0144407059116901e-09
1.1825,-1.2183852825636296e-09
1.185,-1.3843792768274363e-09
1.1875,-1.5093884791691752e-09
1.19,-1.5889817531771238e-09
1.1925,-1.6190331977927812e-09
1.195,-1.5956955067977368e-09
1.1975,-1.5152983772506199e-09
1.2,-1.373094609786534e-09
1.2025,-1.1706586183761609e-09
1.205,-9.0952632746330181e-10
1.2075,-5.9267958611282218e-10
1.21,-2.2514412188408741e-10
1.2125,1.8576001850528003e-10
1.215,6.3059904927108439e-10
1.2175,1.0978844542726638e-09
1.22,1.5753380179292029e-09
1.2225,2.0494987571786928e-09
1.225,2.5067808832407585e-09
1.2275,2.9343602013734836e-09
1.23,3.3202873523851793e-09
1.2325,3.6546947007100396e-09
1.235,3.9300003962310405e-09
1.2375,4.1379952260703908e-09
1.24,4.2792641983473011e-09
1.2425,4.3536009811445601e-09
1.245,4.3640068139858357e-09
1.2475,4.315114071059188e-09
1.25,4.2129370763785854e-09
1.2525,4.0645528622895804e-09
1.255,3.8777733844719436e-09
1.2575,3.6608987135746415e-09
1.26,3.4203762492522943e-09
1.2625,3.1654730390422367e-09
1.265,2.9041780990429227e-09
1.2675,2.6427923201100702e-09
1.27,2.3865326669065312e-09
1.2725,2.1404034238411088e-09
1.275,1.9091331988062777e-09
1.2775,1.6973807756554685e-09
1.28,1.5114747280717379e-09
1.2825,1.3558233455979969e-09
1.285,1.234986803168004e-09
1.2875,1.1531821087201444e-09
1.29,1.1145827484854087e-09
1.2925,1.1226611589845545e-09
1.295,1.1801273765771128e-09
1.2975,1.2886267522171792e-09
1.3,1.4484224654552938e-09
1.3025,1.6581069624301788e-09
1.305,1.9152334575579837e-09
1.3075,2.2155905363678178e-09
1.31,2.5539506276389812e-09
1.3125,2.9204591445830479e-09
1.315,3.3065054965534732e-09
1.3175,3.7032907134386324e-09
1.32,4.1018052285079097e-09
1.3225,4.4929683261419976e-09
1.325,4.8682157768998989e-09
1.3275,5.220011138769416e-09
1.33,5.54195710446419e-09
1.3325,5.8287760847496195e-09
1.335,6.0742993720491293e-09
1.3375,6.2768515709795813e-09
1.34,6.4367535805359381e-09
1.3425,6.5527667270263821e-09
1.345,6.6266368580086084e-09
1.3475,6.6600383925347318e-09
1.35,6.6556983142262434e-09
1.3525,6.6165894965636813e-09
1.355,6.5459289339190092e-09
1.3575,6.4471282162327885e-09
1.36,6.3236921696670127e-09
1.3625,6.1792860769642074e-09
1.365,6.0174785118979597e-09
1.3675,5.8419041192456402e-09
1.37,5.656141855040421e-09
1.3725,5.4635045037789359e-09
1.375,5.2672145918480927e-09
1.3775,5.0703701390268476e-09
1.38,4.8759327766078701e-09
1.3825,4.6867606561870023e-09
1.385,4.5056404006451449e-09
1.3875,4.3351511288446307e-09
1.39,4.1778140641011279e-09
1.3925,4.0359137606905488e-09
1.395,3.9115074000508309e-09
1.3975,3.806362861211827e-09
1.4,3.7219678314304564e-09
1.4025,3.6595312553042172e-09
1.405,3.6197569115459079e-09
1.4075,3.6030763740261392e-09
1.41,3.6095460031624209e-09
1.4125,3.6388683927561525e-09
1.415,3.6903675626782775e-09
1.4175,3.763047777529622e-09
1.42,3.855542214436021e-09
1.4225,3.9660789151191304e-09
1.425,4.0925959864047747e-09
1.4275,4.232645353893808e-09
1.43,4.3834220835647691e-09
1.4325,4.5418073770518939e-09
1.435,4.7043573691821522e-09
1.4375,4.8674448785561609e-09
1.44,5.0272717715595518e-09
1.4425,5.1799411906433136e-09
1.445,5.3215269913206695e-09
1.4475,5.4482332362733109e-09
1.45,5.5565232582751338e-09
1.4525,5.6431905621193094e-09
1.455,5.7054497595524603e-09
1.4575,5.7410395674147262e-09
1.46,5.7482395724786454e-09
1.4625,5.7259243614322682e-09
1.465,5.6735074248693292e-09
1.4675,5.5909469696079449e-09
1.47,5.4788211747606068e-09
1.4725,5.3382783554631555e-09
1.475,5.1710766072401482e-09
1.4775,4.9795315756407587e-09
1.48,4.7664019756489073e-09
1.4825,4.5348869668787065e-09
1.485,4.2883367810953098e-09
1.4875,4.0302990881369121e-09
1.49,3.7644005647065377e-09
1.4925,3.4941649826738916e-09
1.495,3.2231230394731519e-09
1.4975,2.9546288389411223e-09
1.5,2.692040021108127e-09
1.5025,2.4384663588661261e-09
1.505,2.1969100459906349e-09
1.5075,1.9701955836766952e-09
1.51,1.7609471058494239e-09
1.5125,1.5715892593327977e-09
1.515,1.4043077164856316e-09
1.5175,1.2610225290553578e-09
1.52,1.1434687004516944e-09
1.5225,1.052991463902311e-09
1.525,9.9061140873936085e-10
1.5275,9.5692008586887104e-10
1.53,9.5201293085734202e-10
1.5325,9.7542624581205203e-10
1.535,1.0260863388498074e-09
1.5375,1.102268346241793e-09
1.54,1.2015782123459462e-09
1.5425,1.3209834505834738e-09
1.545,1.4568313153884091e-09
1.5475,1.6049981386976485e-09
1.55,1.7609357448264475e-09
1.5525,1.9197845836438575e-09
1.555,2.0766571492365661e-09
1.5575,2.2267370839849078e-09
1.56,2.3654433600273678e-09
1.5625,2.4885982434786935e-09
1.565,2.5925869822529747e-09
1.5675,2.6743764326551671e-09
1.57,2.7317517431302252e-09
1.5725,2.7631866023957657e-09
1.575,2.7679465570578763e-09
1.5775,2.7459939265053814e-09
1.58,2.6979775329294214e-09
1.5825,2.6251159274463148e-09
1.585,2.5291440002400733e-09
1.5875,2.412154661136321e-09
1.59,2.2765215805556287e-09
1.5925,2.1248237680591482e-09
1.595,1.9597254945339517e-09
1.5975,1.7840110849486165e-09
1.6,1.6005169630445357e-09
1.6025,1.4120120474979013e-09
1.605,1.22126370358974e-09
1.6075,1.0309244449507735e-09
1.61,8.4361283329282284e-10
1.6125,6.6192288860353691e-10
1.615,4.8843968689180431e-10
1.6175,3.2561412819433107e-10
1.62,1.7588925139263765e-10
1.6225,4.1566352247805139e-11
1.625,-7.5163262427805209e-11
1.6275,-1.7235805431384834e-10
1.63,-2.4827076199692524e-10
1.6325,-3.0150317165026368e-10
1.635,-3.3099913561520324e-10
1.6375,-3.3612611830171666e-10
1.64,-3.1668585212578065e-10
1.6425,-2.7294736437870497e-10
1.645,-2.0568876511240122e-10
1.6475,-1.1616540981641538e-10
1.65,-6.0866424065408343e-12
1.6525,1.2241692958879107e-10
1.655,2.6683555760815779e-10
1.6575,4.2438634611189481e-10
1.66,5.9206901282142377e-10
1.6625,7.6676506482145644e-10
1.665,9.4534454404956042e-10
1.6675,1.1246940054291267e-09
1.67,1.3018173898980542e-09
1.6725,1.4739381020049636e-09
1.675,1.6385483317760086e-09
1.6775,1.793462960915237e-09
1.68,1.9367783487979357e-09
1.6825,2.0669798557949815e-09
1.685,2.1828628453362131e-09
1.6875,2.2836113506973622e-09
1.69,2.3686977654258609e-09
1.6925,2.4379156208492838e-09
1.695,2.4913507215931511e-09
1.6975,2.5293070376891894e-09
1.7,2.5523442395912456e-09
1.7025,2.5612220916096475e-09
1.705,2.5568956541841231e-09
1.7075,2.5404551393944074e-09
1.71,2.5131348348962919e-09
1.7125,2.4762558617904912e-09
1.715,2.4312247951118863e-09
1.7175,2.3794815459762004e-09
1.72,2.3225517679378278e-09
1.7225,2.2619866456276347e-09
1.725,2.1993382447016408e-09
1.7275,2.1361718029810094e-09
1.73,2.0740483374848456e-09
1.7325,2.0145020414799643e-09
1.735,1.9590080302163627e-09
1.7375,1.9089883861588811e-09
1.74,1.865779449892165e-09
1.7425,1.8306474360118536e-09
1.745,1.804755421358731e-09
1.7475,1.7891560249786914e-09
1.75,1.784800067018535e-09
1.7525,1.7924922923546291e-09
1.755,1.8128957470878347e-09
1.7575,1.8465075222656193e-09
1.76,1.8936512577063508e-09
1.7625,1.9544556279866363e-09
1.765,2.0288468619454818e-09
1.7675,2.1165612872230365e-09
1.77,2.2170999239526662e-09
1.7725,2.3297473595434893e-09
1.775,2.4535757875533228e-09
1.7775,2.5874399327113345e-09
1.78,2.7299906762071094e-09
1.7825,2.879633131807103e-09
1.785,3.0346411345480082e-09
1.7875,3.1930856989366288e-09
1.79,3.3528947921336748e-09
1.7925,3.5119147519047753e-09
1.795,3.6679283423054126e-09
1.7975,3.8187914927285471e-09
1.8,3.9623298969560633e-09
1.8025,4.0965125708452206e-09
1.805,4.2195304688343863e-09
1.8075,4.3296674499321799e-09
1.81,4.4254746310371043e-09
1.8125,4.5057433943778908e-09
1.815,4.5695406600960129e-09
1.8175,4.6163403601616457e-09
1.82,4.6458568954461885e-09
1.8225,4.6581093529034788e-09
1.825,4.6534369489920067e-09
1.8275,4.6324650830521966e-09
1.83,4.5961140209441289e-09
1.8325,4.5455353174826895e-09
1.835,4.4821122529554024e-09
1.8375,4.4073770916824686e-09
1.84,4.3229879853204479e-09
1.8425,4.2306865356184924e-09
1.845,4.1322546800509169e-09
1.8475,4.0294939908777111e-09
1.85,3.924242071186608e-09
1.8525,3.8182937591267883e-09
1.855,3.7134078418512048e-09
1.8575,3.6112116883586353e-09
1.86,3.5132738598425867e-09
1.8625,3.4210322064676483e-09
1.865,3.3358308506919307e-09
1.8675,3.2588651955314153e-09
1.87,3.1912202511607496e-09
1.8725,3.1338359801499189e-09
1.875,3.0875001874562668e-09
1.8775,3.0527891121562652e-09
1.88,3.0300899281936511e-09
1.8825,3.0195629108962082e-09
1.885,3.0211502443974099e-09
1.8875,3.0345700169849146e-09
1.89,3.0592897215347804e-09
1.8925,3.0945784266575266e-09
1.895,3.1393785376597887e-09
1.8975,3.1925480849715303e-09
1.9,3.2526296402456294e-09
1.9025,3.3181134711023867e-09
1.905,3.3872702279078237e-09
1.9075,3.4583876659000055e-09
1.91,3.5296230245057106e-09
1.9125,3.5992431502215076e-09
1.915,3.6654086870943232e-09
1.9175,3.7265611282631898e-09
1.92,3.7810383220827849e-09
1.9225,3.827519600427752e-09
1.925,3.8647002385466254e-09
1.9275,3.8916417959742354e-09
1.93,3.907450121433149e-09
1.9325,3.911647250326526e-09
1.935,3.9037875001681764e-09
1.9375,3.8838904876888146e-09
1.94,3.8519416708050085e-09
1.9425,3.8082672743884841e-09
1.945,3.7533200466532083e-09
1.9475,3.6876669225784902e-09
1.95,3.6120389112315621e-09
1.9525,3.5272232090400856e-09
1.955,3.4341565491323221e-09
1.9575,3.3337945684624249e-09
1.96,3.2271849602162819e-09
1.9625,3.1153788742255684e-09
1.965,2.9994092337091624e-09
1.9675,2.8803384618124079e-09
1.97,2.7591686804724322e-09
1.9725,2.6370099068109371e-09
1.975,2.5147998908131994e-09
1.9775,2.3935277171492621e-09
1.98,2.2742186047365077e-09
1.9825,2.1578039832832007e-09
1.985,2.0450949196760347e-09
1.9875,1.9369225114622516e-09
1.99,1.8339785608489529e-09
1.9925,1.7370432043149639e-09
1.995,1.6464618325587176e-09
1.9975,1.5629929445375113e-09
2.0,1.4869788063323155e-09
2.0025,1.4188175006850535e-09
2.005,1.358790218869846e-09
2.0075,1.3070829316224811e-09
2.01,1.2637584044139295e-09
2.0125,1.2287862831164687e-09
2.015,1.2020416880381513e-09
2.0175,1.1833148495335649e-09
2.02,1.1723288508301538e-09
2.0225,1.1687312540355035e-09
2.025,1.1720916037227747e-09
2.0275,1.1818958962684947e-09
2.03,1.1975447669541236e-09
2.0325,1.218363354332341e-09
2.035,1.2436065303909033e-09
2.0375,1.2724773920152e-09
2.04,1.3041528876959055e-09
2.0425,1.3377841787605496e-09
2.045,1.3725290552023034e-09
2.0475,1.4075379486172593e-09
2.05,1.441965667486163e-09
2.0525,1.4749772789477091e-09
2.055,1.5057510573242339e-09
2.0575,1.5334906127851273e-09
2.06,1.5574598490387025e-09
2.0625,1.5769842272698522e-09
2.065,1.5914842271680667e-09
2.0675,1.6004793263299857e-09
2.07,1.6035932804981039e-09
2.0725,1.6005506766254955e-09
2.075,1.5911742421006924e-09
2.0775,1.5753910262794455e-09
2.08,1.5532229550679464e-09
2.0825,1.5248101183392388e-09
2.085,1.4903983275995752e-09
2.0875,1.450338926530523e-09
2.09,1.4050960321310314e-09
2.0925,1.3552250203865041e-09
