Physical Time (s),ev_bot Monitor (W): bot_cv1,ev_bot Monitor (W): bot_cv2,ev_bot Monitor (W): bot_cv3,ev_bot Monitor (W): bot_cv4,ev_bot Monitor (W): bot_cv5,ev_bot Monitor (W): bot_cv6,ev_bot Monitor (W): bot_cv7
0.215,3.1739144719544449e-13,-3.784484255002848e-13,-8.7601247052880135e-13,-2.0232826409473974e-13,-1.6068317808920497e-14,3.0582539095581111e-16,6.5950080329318412e-15
0.2175,3.7988059910192433e-13,-3.4913659621097503e-13,-7.9803156014938158e-13,-1.5985367688817679e-13,-8.4656930244089846e-15,1.2688248420962382e-15,8.4639224595359447e-15
0.22,4.6564678759183563e-13,-3.0856873867538745e-13,-7.1044101100031633e-13,-1.2810451860842798e-13,-5.0202618677945608e-15,1.1797605341105903e-15,5.609273484584286e-15
0.2225,5.7360482513203806e-13,-2.6312270401472599e-13,-6.2853017745470123e-13,-1.0928892035539368e-13,-4.0203157954637727e-15,3.9629705223741699e-16,1.6451364931816914e-15
0.225,6.9965050962082092e-13,-2.1835614624763454e-13,-5.6054285130893091e-13,-1.02474799534961e-13,-4.7807802281057425e-15,-3.5486488981451804e-17,6.0063838683317078e-17
0.2275,8.3540107496247675e-13,-1.7815607602872208e-13,-5.0849072912218592e-13,-1.0577886221985674e-13,-7.718868081543936e-15,-5.3522814837727866e-16,-8.2911441754715857e-17
0.23,9.6841523274145824e-13,-1.4457668581697004e-13,-4.7010442398667771e-13,-1.1653608123964064e-13,-1.3670729365858231e-14,-3.2366908485121843e-15,-1.4894476503691603e-15
0.2325,1.0844026892118065e-12,-1.1819278281996988e-13,-4.4083841770681212e-13,-1.3025776927081752e-13,-2.2205159875361748e-14,-9.0177009153544072e-15,-4.2677330683698267e-15
0.235,1.1711762250455257e-12,-9.853676920233334e-14,-4.1570610686681347e-13,-1.4054907999480885e-13,-3.0241024897416645e-14,-1.513958868550903e-14,-6.0352380382760038e-15
0.2375,1.2221691743902354e-12,-8.4684822424061206e-14,-3.910096688856838e-13,-1.4132985200194844e-13,-3.3337516586114267e-14,-1.7207282484142946e-14,-5.257007682163217e-15
0.24,1.2380268666337036e-12,-7.5691334313329926e-14,-3.6561558003187096e-13,-1.3031525193347685e-13,-2.9315434735905837e-14,-1.3600812962434619e-14,-2.8892188520387545e-15
0.2425,1.2257363964728477e-12,-7.0857063561151288e-14,-3.4123566424233286e-13,-1.1060568214866258e-13,-2.0398287593480398e-14,-7.1717518941644467e-15,-8.7659271679181966e-16
0.245,1.1958816075856294e-12,-6.9781058097083552e-14,-3.2153185287676812e-13,-8.861639070615034e-14,-1.1239109845720353e-14,-2.1912758397942713e-15,-8.335396935338695e-17
0.2475,1.1593461818544743e-12,-7.2378584975580892e-14,-3.1082246939854357e-13,-7.0292770853087476e-14,-5.0809671120892468e-15,-2.7482548057501777e-16,9.3106451763310444e-18
0.25,1.1245734464623467e-12,-7.883807291164279e-14,-3.131769875796264e-13,-5.8812438945377466e-14,-2.1657248329981617e-15,3.3713643024453521e-17,1.9673608709345849e-16
0.2525,1.0961821652051295e-12,-8.9605148030968204e-14,-3.3220282516566463e-13,-5.5093408476120982e-14,-1.1672464747019686e-15,4.3601457136883965e-16,6.4789374138751766e-16
