Physical Time (s),ek_vol Monitor (J): cv1,ek_vol Monitor (J): cv2,ek_vol Monitor (J): cv3,ek_vol Monitor (J): cv4,ek_vol Monitor (J): cv5,ek_vol Monitor (J): cv6,ek_vol Monitor (J): cv7
0.2525,1.7893757206228045e-07,4.6014483055345711e-08,1.4821244421811996e-09,9.1449339279300601e-11,1.196676605865263e-11,2.182752967707803e-12,6.9209944746098585e-12
0.255,1.7933815947053629e-07,4.716589948012596e-08,1.5671241953689722e-09,1.0359286192248614e-10,1.8279822141905957e-11,4.5433711733057351e-12,1.1681759573503434e-11
0.2575,1.7970959908864823e-07,4.8302656390794997e-08,1.6491009254265852e-09,1.1681630367628054e-10,2.6483488728133941e-11,8.7208488323632691e-12,1.6206799519803459e-11
0.26,1.8006643169062857e-07,4.9421697774321538e-08,1.7283734174356487e-09,1.3073003215033725e-10,3.593122090275569e-11,1.465063195512094e-11,1.9434407401521879e-11
0.2625,1.8042164031896735e-07,5.0527410585683325e-08,1.8063488837897712e-09,1.4480138452771365e-10,4.5710610983612887e-11,2.1920067601703834e-11,2.0711942635733138e-11
0.265,1.8078429794144144e-07,5.1629530231385547e-08,1.8846544956382302e-09,1.5812378803400677e-10,5.4614300748872542e-11,2.9591219877854211e-11,1.9944788240217808e-11
0.2675,1.8115853090106569e-07,5.2739862870078871e-08,1.9643155639507364e-09,1.6937968037129985e-10,6.1267713316811548e-11,3.6235873102653112e-11,1.751539256363865e-11
0.27,1.8154400464069248e-07,5.3868379921108938e-08,2.0451799891206201e-09,1.7708143086672745e-10,6.4452532351104846e-11,4.0306679524254177e-11,1.4059648317543207e-11
0.2725,1.8193735878659037e-07,5.5019973820740046e-08,2.1256675582923184e-09,1.799941478660219e-10,6.3509673076448608e-11,4.07258203178962e-11,1.0263250999006923e-11
0.275,1.823340864299375e-07,5.6192412135199922e-08,2.2029026672201491e-09,1.7752766600638474e-10,5.8594147376094982e-11,3.7370356754095898e-11,6.786770696031144e-12
0.2775,1.8273032848281957e-07,5.7376204985165574e-08,2.2731069751805054e-09,1.6993129828363461e-10,5.0638692384383942e-11,3.114376660910272e-11,4.2922193331159307e-12
0.28,1.831241187250638e-07,5.8556020961363937e-08,2.332264103075302e-09,1.5822230108114445e-10,4.1045550714873053e-11,2.3584223102002988e-11,3.4532806269336611e-12
0.2825,1.8351586484473939e-07,5.9713706057006502e-08,2.376860277253166e-09,1.4392542295365156e-10,3.1283713824222639e-11,1.6238167192008613e-11,4.8734102447545473e-12
0.285,1.8390820817086785e-07,6.0832277371110728e-08,2.4046106354537641e-09,1.2873996987168018e-10,2.2575881140824964e-11,1.0158276578383571e-11,8.9345631288169264e-12
0.2875,1.8430567888212672e-07,6.1899739160588167e-08,2.4149998840982108e-09,1.142307349840534e-10,1.5763850451116294e-11,5.7692912990255096e-12,1.5665215070982249e-11
0.29,1.8471377129418967e-07,6.2911772624334295e-08,2.4094661123929692e-09,1.0160869661594272e-10,1.1311341670613659e-11,3.0729657915854309e-12,2.4688566959574398e-11
0.2925,1.8513745430044871e-07,6.3872848941466993e-08,2.3912901353976822e-09,9.1578130161226085e-11,9.3381018545832283e-12,1.9486541308378314e-12,3.5243871982354478e-11
