Physical Time (s),ea_bot Monitor (W): bot_cv1,ea_bot Monitor (W): bot_cv2,ea_bot Monitor (W): bot_cv3,ea_bot Monitor (W): bot_cv4,ea_bot Monitor (W): bot_cv5,ea_bot Monitor (W): bot_cv6,ea_bot Monitor (W): bot_cv7
0.3325,1.8372105073590401e-12,-1.2593509274024276e-12,-6.9423515930436432e-13,-6.7159079433934811e-15,-4.0530855367827323e-15,-6.2181111773889256e-16,5.0839953484071737e-15
0.335,1.6354804325456333e-12,-1.3172445808357289e-12,-6.5411599716776999e-13,-6.7392987034472456e-15,-7.3224770652332555e-15,-1.044935131261107e-15,4.935465683503626e-15
0.3375,1.4738903494501805e-12,-1.363952610383729e-12,-6.2343037001377942e-13,-9.6094044970067615e-15,-1.0946308259675114e-14,-1.5536258747659001e-15,2.1529570792628102e-15
0.34,1.3607460089309182e-12,-1.4016270539029304e-12,-6.0541578479109936e-13,-1.340948876337006e-14,-1.4161794545707249e-14,-2.0560428736124312e-15,-2.6967889081593642e-15
0.3425,1.3027551919691367e-12,-1.4319537146337939e-12,-6.0201435441986215e-13,-1.6146908386011124e-14,-1.6154963441225813e-14,-2.416477605766366e-15,-7.804513970918864e-15
0.345,1.3048550722374146e-12,-1.4551415927361968e-12,-6.1419247466266757e-13,-1.6487369984418881e-14,-1.6339146033557539e-14,-2.5045687550677472e-15,-1.102377501362322e-14
0.3475,1.3696609695898379e-12,-1.4700731922726773e-12,-6.4221624560162625e-13,-1.4273697740430821e-14,-1.4599204783226665e-14,-2.2633723000821783e-15,-1.1039989333449039e-14
0.35,1.4969952215438712e-12,-1.4746431073099635e-12,-6.8580874069112524e-13,-1.0637514062803281e-14,-1.1362695618901384e-14,-1.7523847104103396e-15,-8.0695849475453216e-15
0.3525,1.6836576492477677e-12,-1.4664259655041923e-12,-7.4412023426974652e-13,-7.6556561065328224e-15,-7.4553484001540995e-15,-1.1279576983468681e-15,-3.65563013310495e-15
0.355,1.9237119944361575e-12,-1.4436021374791907e-12,-8.1567751329768533e-13,-7.716713093526094e-15,-3.8131947224979903e-15,-5.6914169208513342e-16,2.6754366783752684e-16
0.3575,2.2089675433427961e-12,-1.4056616330298275e-12,-8.9849127001744201e-13,-1.2858351376509456e-14,-1.1985492999061199e-15,-2.0014231474095577e-16,2.408456709719064e-15
