Physical Time (s),drag Monitor (N)
1.995,6.9870019770803437e-06
1.9975,6.9898228604225787e-06
2.0,6.9927960845382648e-06
2.0025,6.995058236892549e-06
2.005,6.9969716745087005e-06
2.0075,6.9986649508855616e-06
2.01,6.9999870579416786e-06
2.0125,7.0009622625412914e-06
2.015,7.0015972179251628e-06
2.0175,7.0018608113640142e-06
2.02,7.0017829713046394e-06
2.0225,7.0014088303801887e-06
2.025,7.0007685612865705e-06
2.0275,6.9998955983188037e-06
2.03,6.9988944513435315e-06
2.0325,6.9977954048712666e-06
2.035,6.9966493610491074e-06
2.0375,6.9954628510990971e-06
2.04,6.9942965065371001e-06
2.0425,6.9932078570389731e-06
2.045,6.9922645696448636e-06
2.0475,6.9915542978822532e-06
2.05,6.9911140915338733e-06
2.0525,6.9909527668587885e-06
2.055,6.9911743535064737e-06
2.0575,6.9917564196550861e-06
2.06,6.9927683589147659e-06
2.0625,6.9942229732390811e-06
2.065,6.9960857084026719e-06
2.0675,6.9983915180050006e-06
2.07,7.001356246445543e-06
2.0725,7.004744951047993e-06
2.075,7.0085212847326975e-06
2.0775,7.0127257012955854e-06
2.08,7.0173332178723391e-06
2.0825,7.0223158899616899e-06
2.085,7.0276466640080681e-06
2.0875,7.0332608862320996e-06
2.09,7.0389821109168653e-06
2.0925,7.0448720733624656e-06
2.095,7.0511880908522076e-06
2.0975,7.0575574398475914e-06
2.1,7.0637476860371663e-06
2.1025,7.0698671495849491e-06
2.105,7.0759306595283366e-06
2.1075,7.0818030526384589e-06
2.11,7.0874168379382246e-06
2.1125,7.0927514590274374e-06
2.115,7.0977155895434042e-06
2.1175,7.1022532473630105e-06
