Physical Time (s),enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv1,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv2,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv3,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv4,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv5,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv6,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv7
0.00420271,0.0008426828985107056,0.0012561721453256793,0.0020216182336483231,0.0024959634154526804,0.002886484524074806,0.0033833333564893889,0.0033529165665854678
0.00425334,0.0007383329412440203,0.0011799631940759639,0.0020386655874500888,0.0025425271381152438,0.0029332729664254776,0.0034475917113120911,0.0034024675257529231
0.00430397,0.00059397640851529025,0.0010561776532790434,0.0020026502327750895,0.0025464509187508267,0.0029384691864123174,0.0034689706376588971,0.0033898438959920974
0.00435461,0.00043765475774129966,0.00090580988473078542,0.0019135014279315068,0.0024957640441167954,0.0028855952279575464,0.0034251261108142741,0.0033030171411242929
0.00440524,0.00029782255256408693,0.00075240611557223099,0.0017775728976404943,0.0023849254539540735,0.0027649590731685294,0.003301064904469441,0.0031390061092071253
0.00445588,0.00019993647620062706,0.00061888291157194126,0.0016064044285267239,0.0022149289131568745,0.0025741398592570497,0.0030901390150506521,0.0029016947160713279
0.00450651,0.00016516769258076048,0.00052574349266014376,0.0014150597377360413,0.0019923137492335978,0.002316947809884382,0.002792977497128194,0.0025986099289683393
0.00455715,0.00020714392091690165,0.00048813021913318916,0.0012206516232134085,0.0017295392607613298,0.0020045138951665228,0.0024192877839612674,0.0022409458615323587
0.00460778,0.00033133999417060065,0.00051489304326597749,0.0010401607049945619,0.0014434575374093689,0.0016539007320013751,0.0019865368825914315,0.0018418258833160267
0.00465842,0.00053531509372288955,0.00060833638771835407,0.00088876900239357902,0.0011533485433073238,0.001285984486737019,0.001517585901957784,0.0014152058568563538
0.00470906,0.00080957979238929431,0.00076464682611035928,0.00077809643300959361,0.00087843196609834373,0.0009227727646107781,0.0010377919152286931,0.00097442471044808263
0.00475969,0.0011372463413953638,0.00097312944833734683,0.00071357818692867271,0.00063409216642873348,0.00058330705279152888,0.00057061322690804203,0.00053013341726140003
0.00481032,0.001495054059893084,0.0012166506223931582,0.00069311520845033881,0.00042896637703855915,0.0002802621824122268,0.00013371577306358896,8.9121939772287824e-05
0.00486096,0.0018543827837284367,0.001472141578948026,0.00070642320045883971,0.0002629839178688237,1.7544962343701398e-05,-0.00026370109760508339,-0.0003463809195493069
0.00491159,0.0021832591534263457,0.0017121372891183194,0.00073584599663112718,0.00012719281014536641,-0.00021024248219948073,-0.00062179007429790799,-0.00077840767823240194
0.00496223,0.0024509997568095956,0.0019086923094677301,0.00075907686509634614,5.2887692743551755e-06,-0.00041685497142797531,-0.0009497059617913613,-0.0012119168755882303
0.00501287,0.0026329335253500079,0.0020378695263203678,0.00075338170775485994,-0.00012257481180108501,-0.000620807282843435,-0.0012625530151037312,-0.0016534195845979923
0.0050635,0.0027140160836661696,0.0020835137973697834,0.00069977482331688235,-0.00027544067890201518,-0.0008409870964820093,-0.0015771048264208646,-0.0021082382209611761
0.00511413,0.0026907291704948684,0.0020395490899801764,0.00058611156614885463,-0.00046788972813249221,-0.0010927402873759941,-0.0019078260540294802,-0.0025780647140613354
0.00516477,0.0025707588485039561,0.0019102845224075174,0.00040863460016559968,-0.0007076672699250241,-0.0013850699172898977,-0.0022637317767576111,-0.0030596753252719014
0.00521541,0.0023687333011401155,0.0017073100118674279,0.0001713712761062143,-0.00099471175465940887,-0.001718762844254232,-0.0026455401141450576,-0.0035419932161143016
0.00526604,0.0021043140083912776,0.0014477263270840394,-0.00011522557521009835,-0.0013223793354236167,-0.0020876061452841784,-0.0030470061138983505,-0.0040089347348384883
0.00531667,0.0017996710149511532,0.0011518333796158968,-0.00043585596627933126,-0.0016786384589874736,-0.0024794797440330671,-0.0034558215114409629,-0.0044416175370824759
0.00536731,0.001475976009856648,0.00083994953586466903,-0.00077248713991484304,-0.0020474232135586226,-0.0028774447696702198,-0.0038545383773776259,-0.0048195814426410244
0.00541794,0.0011514306925436485,0.00053035289571916723,-0.0011062032134794145,-0.0024101826991650222,-0.0032613300378271479,-0.0042223063159824801,-0.0051231783507758562
0.00546858,0.00083997748763852916,0.0002377820631211296,-0.0014189755978773319,-0.0027474791594566872,-0.0036095186467939282,-0.0045368175368644187,-0.005335713530062387
0.00551922,0.00055051293832363598,-2.764661802957054e-05,-0.0016954913083718781,-0.0030409731518582879,-0.0039012857083699322,-0.0047771746268337424,-0.0054458456101383317
0.00556985,0.00028705908935240421,-0.00026063853052711865,-0.0019244689244007089,-0.0032752506215025156,-0.0041191567649312118,-0.0049267179968987378,-0.0054497926656807702
0.00562048,4.9562117678358022e-05,-0.00046018667482731384,-0.0020991269675905556,-0.0034389630535383688,-0.0042504476673392638,-0.0049748924285095203,-0.0053509907733712905
0.00567112,-0.00016477115959960393,-0.0006284715800928517,-0.0022169009354942749,-0.0035254061839040379,-0.0042881871742900188,-0.0049182630340999806,-0.005159350974735407
0.00572176,-0.00036001455439348779,-0.0007695109981994061,-0.0022786284890371662,-0.0035323470012119454,-0.0042311495786332603,-0.0047603858278370088,-0.0048894397283942214
0.00577239,-0.00054042012112771756,-0.00088807173432180577,-0.0022876439378444612,-0.0034615900752675713,-0.0040834588508381724,-0.0045108683892671657,-0.004557510486305788
0.00582302,-0.00070967893000418493,-0.00098878730527294395,-0.0022487758609431138,-0.0033181611728916698,-0.0038535306933675084,-0.0041836068231775082,-0.0041791375328127803
0.00587366,-0.0008699776057005073,-0.0010751317776501867,-0.0021673628846126821,-0.0031095239103475277,-0.0035529960866297855,-0.0037950883884095622,-0.0037675057411256513
0.00592429,-0.001021764354144806,-0.0011489408742548081,-0.0020484509867609831,-0.0028445373617542783,-0.0031951899770216096,-0.0033622648315071047,-0.0033324718188784633
0.00597493,-0.0011645876454230519,-0.0012108604401499196,-0.0018965223135063377,-0.0025325617378475929,-0.0027936144777519069,-0.0029005274264123468,-0.0028802769722366321
0.00602557,-0.001296302443614698,-0.0012596203061454806,-0.0017149289760946711,-0.002182760472787309,-0.0023610672348209068,-0.002422975764543837,-0.0024150924816050412
