Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
0.00334191,4.9449601608811432e-15,4.8661796614973122e-15,3.7273592650259717e-15,4.5949273428951286e-15,4.3031109895584553e-15,3.2551058213339682e-15,4.2040811433793295e-15
0.00339254,3.9639553114950893e-15,2.6954520918165002e-15,-5.9890647605579955e-16,-3.8350604774001515e-15,-3.5245425847176633e-15,-2.8177915346110443e-15,-3.9329564272106902e-15
0.00344318,3.7523115209218556e-16,-1.2257353717766502e-15,-5.1375280561713433e-15,-3.1832129192963666e-15,-4.9519394161158152e-15,-6.2796712860719684e-15,-5.1053982306724889e-15
0.00349381,-5.0679608734990031e-15,-7.1884368277679428e-15,-5.6136925435898964e-15,-6.7466784793529854e-15,-6.2012178167764239e-15,-6.9781366038569863e-15,-8.2883480775757131e-15
0.00354445,5.1013905733652307e-15,5.2875222932938035e-15,2.0461388074612799e-15,2.2435364366877218e-15,2.5512179557560432e-15,2.3912275980949199e-15,4.5218250726715166e-16
0.00359509,1.9267081640552145e-15,1.5142478289638402e-15,-1.5594887710721368e-15,-7.7589941843574903e-16,-1.3198601950782363e-15,-1.4384790208111674e-15,6.1330128271774779e-16
0.00364572,2.6097732568319543e-15,1.8942291945647201e-15,1.0963972716052893e-15,-1.5762128204808039e-15,1.1164322850836211e-15,2.3527023260000206e-15,-1.0327762604676053e-15
0.00369636,-2.6205132364059756e-15,-3.0719393427115619e-15,-2.6825944358477534e-15,-3.1324301722794687e-15,-4.6447776688569896e-15,-3.5248523260918616e-15,-4.4817794752892746e-15
0.00374699,3.1530834735090554e-15,7.8062308686526032e-16,2.223172143079454e-15,3.2325479278899474e-15,2.595022624169038e-15,1.5422980712790593e-15,7.401420270376615e-17
0.00379762,3.4584681885225707e-15,5.7358991662611915e-17,2.4452333976442214e-16,-3.135036743632396e-15,-2.5165211765909343e-15,-4.1935108139007985e-15,-5.8022986029807021e-15
