Physical Time (s),ev_top Monitor (kg-m/s^3): top_cv1,ev_top Monitor (kg-m/s^3): top_cv2,ev_top Monitor (kg-m/s^3): top_cv3,ev_top Monitor (kg-m/s^3): top_cv4,ev_top Monitor (kg-m/s^3): top_cv5,ev_top Monitor (kg-m/s^3): top_cv6,ev_top Monitor (kg-m/s^3): top_cv7
0.00369636,4.9124437247212195e-07,3.257665377713736e-07,-1.3801246327227608e-07,-2.7876023679776549e-07,-3.0056246447080551e-07,-3.0508419862944036e-07,-3.1886938518180735e-07
0.00374699,4.9716939510275275e-07,3.3122121065548711e-07,-1.4102067946374763e-07,-2.9047812845528506e-07,-3.1426980886457909e-07,-3.1910878747297668e-07,-3.2851329128097866e-07
0.00379762,5.0566668224577332e-07,3.3923711837190028e-07,-1.385538695036588e-07,-2.9568643870033829e-07,-3.2169642678959663e-07,-3.2683358947735634e-07,-3.3195051691474134e-07
0.00384826,5.1703005886238814e-07,3.4959232827886317e-07,-1.3253383699580552e-07,-2.9614340797606097e-07,-3.2450469857217189e-07,-3.299651754611421e-07,-3.3104056212235693e-07
0.00389889,5.3110712675292356e-07,3.6176669551930845e-07,-1.2517610726765661e-07,-2.9409230249706789e-07,-3.248293364220005e-07,-3.3065939854340203e-07,-3.2808833555183764e-07
0.00394953,5.4731905942090373e-07,3.7499374924290596e-07,-1.1867877465841057e-07,-2.9193425017169411e-07,-3.2496677457906134e-07,-3.3122087153408636e-07,-3.2550987122828598e-07
0.00400016,5.647613366928034e-07,3.8837499375812226e-07,-1.1493779788876366e-07,-2.9188866975633202e-07,-3.2705127292061583e-07,-3.3378642006781564e-07,-3.2549517251954794e-07
0.0040508,5.8229977362481654e-07,4.0097165469598298e-07,-1.1534278190700484e-07,-2.9573220035324583e-07,-3.3280439805017763e-07,-3.4007682594637221e-07,-3.2975023284866782e-07
0.00410143,5.9873159367790971e-07,4.1193914926519856e-07,-1.206013009521435e-07,-3.0455553709361835e-07,-3.4329587012142017e-07,-3.511573309456562e-07,-3.3926727983668339e-07
0.00415207,6.1300117405297028e-07,4.206870000111296e-07,-1.3060365375112138e-07,-3.1856518711897799e-07,-3.5874342898999595e-07,-3.6723703904221332e-07,-3.54144001109012e-07
0.00420271,6.243518279140456e-07,4.2694392624156891e-07,-1.4445588932162955e-07,-3.3706582750070118e-07,-3.7848744622225202e-07,-3.8764395726684932e-07,-3.7358466040719669e-07
0.00425334,6.3249731160179326e-07,4.3084101387260379e-07,-1.6054699111524199e-07,-3.5849520875124127e-07,-4.0101630461843333e-07,-4.1085253247714946e-07,-3.9595886087723544e-07
0.00430397,6.3769873124685865e-07,4.3288802655387441e-07,-1.7685407089857977e-07,-3.8071751941086872e-07,-4.242482109357809e-07,-4.3476789818617977e-07,-4.1911842388986513e-07
0.00435461,6.4076613677357661e-07,4.3393625425662006e-07,-1.912234831474205e-07,-4.0132215067554421e-07,-4.458200577436242e-07,-4.5701825374760204e-07,-4.4071532300605869e-07
0.00440524,6.4297090790316122e-07,4.3510594195075693e-07,-2.0164639542070799e-07,-4.1794116148540528e-07,-4.6339723552257434e-07,-4.7526701698399592e-07,-4.5852075601042835e-07
0.00445588,6.4589295109728775e-07,4.3769334649728813e-07,-2.0647578564678164e-07,-4.2852236963041602e-07,-4.7494369138957447e-07,-4.8748384788216909e-07,-4.7068235159853681e-07
0.00450651,6.5123654598052292e-07,4.430677197657082e-07,-2.0455551698318271e-07,-4.3152108060912399e-07,-4.7891305741205465e-07,-4.9213471643961514e-07,-4.7586528823366303e-07
0.00455715,6.6062863074330779e-07,4.525455430945466e-07,-1.9522882911415328e-07,-4.2597290717071881e-07,-4.7432426430589715e-07,-4.8825609214467187e-07,-4.7325392335539075e-07
0.00460778,6.7544970137391539e-07,4.6727326726386037e-07,-1.7837698240070799e-07,-4.1158211052443014e-07,-4.608550318947679e-07,-4.7554625282382991e-07,-4.6258221069456381e-07
0.00465842,6.9669775447073342e-07,4.881134158896873e-07,-1.5432831111610952e-07,-3.8866378170426702e-07,-4.3879092510390844e-07,-4.5431109252339271e-07,-4.4404945679264776e-07
0.00470906,7.2485733509315601e-07,5.1550704556654499e-07,-1.2384672934627404e-07,-3.5812882215425778e-07,-4.0901957976301744e-07,-4.2545906183378306e-07,-4.18329271928327e-07
0.00475969,7.5980941189076849e-07,5.4935874007173207e-07,-8.8117535975224001e-08,-3.2144970959416319e-07,-3.7300084191856604e-07,-3.9046644599997967e-07,-3.8660178710437273e-07
0.00481032,8.0078894813119075e-07,5.8896668202947065e-07,-4.8729702819248908e-08,-2.8060379483570511e-07,-3.3271594295259488e-07,-3.513254351785398e-07,-3.5058848360530184e-07
0.00486096,8.4639572818970279e-07,6.3301607520476078e-07,-7.6156516629600466e-09,-2.3796578239524781e-07,-2.9056304224841623e-07,-3.1043746972275521e-07,-3.1253193116210752e-07
0.00491159,8.946937268940366e-07,6.7967591877936542e-07,3.3086934301126654e-08,-1.9611992985245437e-07,-2.4916753189340095e-07,-2.7042158530871136e-07,-2.750497374400258e-07
0.00496223,9.4341791309502165e-07,7.2681365809635758e-07,7.1280016320302748e-08,-1.5757103940507406e-07,-2.1108838364877057e-07,-2.3381909802849183e-07,-2.4082778506094622e-07
0.00501287,9.9030451461442556e-07,7.7233309370825536e-07,1.052491929853764e-07,-1.2436544174835718e-07,-1.784323870622202e-07,-2.0270564216012315e-07,-2.121606978229599e-07
0.0050635,1.0334145811895408e-06,8.1449414098218988e-07,1.3394952348593208e-07,-9.7780779091782068e-08,-1.525366178398684e-07,-1.7837229147910574e-07,-1.9052969195245249e-07
0.00511413,1.0714038413383906e-06,8.521586670812986e-07,1.5720532547944203e-07,-7.8109091084937765e-08,-1.3374386769286419e-07,-1.6110089168479875e-07,-1.7627981581300536e-07
0.00516477,1.1037033818129166e-06,8.8492993363977991e-07,1.7571742153295403e-07,-6.4639279406654701e-08,-1.2137817896011015e-07,-1.5014098018703086e-07,-1.685449135654859e-07
