Physical Time (s),etp_right Monitor (kg-m/s^3): right_cv1,etp_right Monitor (kg-m/s^3): right_cv2,etp_right Monitor (kg-m/s^3): right_cv3,etp_right Monitor (kg-m/s^3): right_cv4,etp_right Monitor (kg-m/s^3): right_cv5,etp_right Monitor (kg-m/s^3): right_cv6,etp_right Monitor (kg-m/s^3): right_cv7
0.00653192,0.29320461215822663,0.011996245060373029,-0.00091624685612142539,-0.0014401060458984261,-0.0009299903765777114,-0.00012731366321175647,0.00031280372847319605
0.00658255,0.29931478317949556,0.013091160083846452,-0.00027830161000952646,-0.0012038200952814808,-0.000912141225175047,-0.00014261610648002947,0.00037797661613090256
0.00663318,0.30620386026030227,0.014337307414176406,0.00045235901830978972,-0.00095903190094637084,-0.00089399740952855755,-0.00015600408102111848,0.00042286393974327738
0.00668382,0.31362761040975334,0.015774084853257021,0.0012681215486317963,-0.00070843378172342391,-0.00086958305002372035,-0.0001651610312298356,0.00044372962009462833
0.00673445,0.32127129288803424,0.017432246461481938,0.0021560255677437116,-0.00045183657231444372,-0.00083191396618635856,-0.00016906862591936517,0.00044174382381319776
0.00678509,0.32873846957187391,0.019326062512063168,0.0030990565680324099,-0.00018615083543157732,-0.00077449579172911851,-0.00016790854815046076,0.00042045794437089393
0.00683572,0.33563786328900136,0.021447324828542075,0.004078009883326272,9.4032533511787073e-05,-0.00069258124485420088,-0.00016271188060109444,0.00038534198924402489
0.00688636,0.34171003493986385,0.023761298928644876,0.0050736666036877475,0.00039542699852715771,-0.00058389772860473004,-0.00015484615315955962,0.00034244191158581743
0.00693699,0.34688115752364462,0.026205119756989838,0.0060691449404839341,0.00072482013612068866,-0.00044879930066460763,-0.00014559613562321872,0.00029730409637650917
0.00698763,0.35123236349678,0.028689910267689175,0.0070511664024637613,0.0010876613731671035,-0.00028978878152907108,-0.00013600617740302208,0.0002543586275004767
0.00703827,0.35497885966954634,0.031105625398824166,0.0080111412998143151,0.0014871071178006821,-0.00011071547326689784,-0.00012692318458573694,0.00021662819434971402
0.0070889,0.35836578926582174,0.033330280668484272,0.0089447770842157204,0.0019233081678940158,8.4151999002595316e-05,-0.000119157282872285,0.0001857917603039247
0.00713953,0.361655877379994,0.035237994343606444,0.0098505857248433158,0.0023932058581020849,0.00029088043464332159,-0.00011356748173533602,0.00016244424900450875
0.00719017,0.36511992860929676,0.036711339037241782,0.010727507295857548,0.0028908287467859727,0.0005065123795428689,-0.00011102920719181101,0.00014638313589205633
0.0072408,0.36891848570230196,0.037652911418014509,0.011572177860761866,0.0034080040454996128,0.00072930243810916833,-0.00011210163688480981,0.00013694920194239521
0.00729144,0.37298565283555002,0.037991194015862512,0.012376388938876475,0.0039354031797639568,0.00095872156479022148,-0.00011665598886849725,0.00013325424557270745
0.00734207,0.37706493091408738,0.037687061921452041,0.013125074766865495,0.004463501961685319,0.0011951831489556415,-0.00012352992669400264,0.00013431296418006365
0.00739271,0.38071235835865302,0.036737415733032103,0.013795566973373103,0.004983479805808138,0.0014396783795022836,-0.00013031299781160238,0.00013908465925412125
0.00744334,0.38338950332151472,0.035173360609009892,0.01435797620541486,0.0054876153602625224,0.0016933141364343471,-0.00013345767998889244,0.00014652218793556712
0.00749398,0.38450820807778985,0.033058652752382844,0.014777084607540861,0.0059693244645116633,0.0019569066199480738,-0.00012870420586838434,0.00015551970527722059
0.00754462,0.38377641016931141,0.030480548529798729,0.01501537680668461,0.0064225624946147256,0.0022305443941422675,-0.00011169524739800124,0.00016487389801435239
0.00759525,0.38108164711574427,0.027545183913710622,0.015037254669924458,0.0068410507612948306,0.002513371866961215,-7.8643281872953078e-05,0.00017332970160179024
0.00764588,0.37655625249453795,0.024365047708197217,0.014813722272901283,0.0072173304350564883,0.0028034900742071548,-2.6839275056447323e-05,0.00017964898219048484
0.00769652,0.37048561731368918,0.021050272341697363,0.014326072305091976,0.0075418798283054759,0.0030979076284027443,4.5039500827597805e-05,0.00018273834562453924
0.00774715,0.36336354704367668,0.017703512531691491,0.013569817935490553,0.007802670761549683,0.0033926629240855601,0.00013694373545102416,0.0001817870000755013
0.00779779,0.35593395014697859,0.01441180999348652,0.012556174554287721,0.0079852506406421584,0.0036829344669871162,0.00024774089683327711,0.00017638593952319534
0.00784842,0.34903961116453958,0.01124597772774464,0.011312191466012983,0.0080733761370374701,0.0039630255431705617,0.00037557126338179489,0.00016657179660431654
0.00789906,0.34344335230424794,0.008261289304123242,0.0098784280276852238,0.0080502846108214295,0.0042263493141997295,0.00051823005809020696,0.00015285374165487607
0.00794969,0.33995309659038853,0.0054961591574229623,0.0083058329616232975,0.0079007783539984978,0.0044653018721292053,0.00067345419289228611,0.00013610995721399398
0.00800033,0.33917417956012902,0.0029744907593027689,0.006650905259715895,0.0076133121889516335,0.0046712456716966489,0.00083910870947126546,0.0001174414649238643
0.00805097,0.34154220828485493,0.00070940410006036479,0.004970675306974562,0.0071819212781092075,0.0048345688956850132,0.0010131993980183312,9.804050908784686e-05
0.0081016,0.34723721510471556,-0.0012947232480826016,0.0033177399974064783,0.0066082721139934016,0.0049449620061782088,0.0011937752508492188,7.901987775249647e-05
0.00815223,0.35605747917652303,-0.0030385209142640033,0.0017365092207963068,0.0059028875855395187,0.0049919034416582367,0.0013787298156839819,6.1269777427924756e-05
0.00820287,0.36743532682426666,-0.0045223282759678171,0.00026045493908075193,0.0050852642105094353,0.0049653936004171503,0.0015655902537012895,4.5388058526058694e-05
0.0082535,0.38063625317533245,-0.0057446324096804679,-0.0010884788378828138,0.0041831923178342265,0.0048569099622001012,0.0017513150732782444,3.1668090520537059e-05
0.00830414,0.39468502840817699,-0.0067003143901447201,-0.0023000486958182661,0.0032304791481156752,0.0046605248207228327,0.0019322270735770027,2.0148693515785046e-05
0.00835478,0.40852363748280485,-0.007377410118380519,-0.0033736639559695126,0.0022642823945637656,0.004373900058037822,0.0021039430409698183,1.0729428918480087e-05
0.00840541,0.42136970798593876,-0.0077566479220828339,-0.0043161542252929831,0.0013217797814154158,0.0039992455126018388,0.0022614839383072799,3.3075646380379989e-06
0.00845605,0.4327519797453579,-0.0078097230435852129,-0.0051388230077421652,0.00043695191590207346,0.0035440585088702637,0.0023994557419995048,-2.0827492924207277e-06
0.00850668,0.44262086837137682,-0.0074989651802784465,-0.005854853145626406,-0.00036243575469342725,0.0030213799126707179,0.0025123523539742651,-5.1488353517898215e-06
0.00855731,0.45136699153283627,-0.006780066173105709,-0.0064762315399307701,-0.0010564088150533842,0.002449716538066402,0.0025948826412303741,-5.2484899552625369e-06
0.00860795,0.45960023902430452,-0.0056063289079640215,-0.0070117292669493111,-0.0016342399794131747,0.0018520090035855502,0.0026423123609989338,-1.3454710350861021e-06
