Physical Time (s),ea_right Monitor (kg-m/s^3): right_cv1,ea_right Monitor (kg-m/s^3): right_cv2,ea_right Monitor (kg-m/s^3): right_cv3,ea_right Monitor (kg-m/s^3): right_cv4,ea_right Monitor (kg-m/s^3): right_cv5,ea_right Monitor (kg-m/s^3): right_cv6,ea_right Monitor (kg-m/s^3): right_cv7
0.00354445,0.12553213110729913,0.0046630036079454021,0.00052209799755012021,0.00020856542497432965,3.3778211701880406e-05,0.00059223964880925756,9.8792257767837347e-05
0.00359509,0.12917519275941083,0.0048224719151675893,0.00051707494273248666,0.00019808741558099876,4.8637858717396908e-05,0.00082089700326276127,9.4325012044675725e-05
0.00364572,0.13276146275698139,0.0049963980810738299,0.00050776657277622954,0.00018796881459036136,6.7328197705447245e-05,0.00092247426521335177,8.4980928047394551e-05
0.00369636,0.1362937595064766,0.0051754455726683831,0.00049576645297544678,0.00017919520020790076,8.5857849611304624e-05,0.00088367153880362318,7.0846532534787757e-05
0.00374699,0.13978689972366842,0.0053491835651588628,0.00048333509432984487,0.00017203578879850225,0.00010063177633804279,0.00073447266584554137,5.2933798185628638e-05
0.00379762,0.14326551734146514,0.0055073306538421258,0.00047289474781131679,0.00016624422423780746,0.00010953435711915085,0.00053173851867765857,3.3461701893404147e-05
0.00384826,0.14675821111951734,0.0056412599542331656,0.00046656585021015494,0.00016127544739527266,0.00011221351746605317,0.00033339683819528826,1.5961370368320958e-05
0.00389889,0.1502911198581007,0.0057454340335124192,0.00046585905114896717,0.00015649144243834627,0.00010965752936236648,0.0001791538259728893,5.1317119697199052e-06
0.00394953,0.15388496370905383,0.0058184395756484819,0.00047152258652439062,0.00015134849412738177,0.0001035372201402358,8.3077818180620142e-05,6.3768110157014444e-06
0.00400016,0.15755283509361101,0.0058632897140342369,0.00048351626920105844,0.00014553341747382945,9.5580172616945372e-05,3.766188113683673e-05,2.5035547238297602e-05
0.0040508,0.16129914335727746,0.005886983752371365,0.00050105788387934315,0.00013904283653918935,8.7176850565452252e-05,2.4327414201204388e-05,6.5331184400150438e-05
0.00410143,0.16512007085885064,0.0058993727163909587,0.00052266474597173799,0.00013218269371744238,7.9224262186149323e-05,2.40587134992248e-05,0.00012915707230985675
0.00415207,0.16899932502446602,0.0059116138309152303,0.00054626940992282013,0.00012549090868110044,7.2159433573889775e-05,2.4140005684039457e-05,0.00021483284480032405
0.00420271,0.1729108531075006,0.0059345443819458828,0.00056941838986675122,0.00011961263032427211,6.6083854113973067e-05,2.0130096255029364e-05,0.00031614286237026948
0.00425334,0.17682647227305676,0.0059772754848446208,0.00058958636194044432,0.00011516260548817946,6.0891607366844478e-05,1.3324998229922506e-05,0.00042206422088210329
0.00430397,0.18072003763226749,0.0060462251844961828,0.00060455118978987646,0.00011261845561787791,5.6377901303498651e-05,7.4985318618717118e-06,0.00051764899143904252
0.00435461,0.1845714660350502,0.0061446337706374896,0.00061279074771347316,0.0001122589552775275,5.2320764048355888e-05,5.7772248770152134e-06,0.00058621808339892579
0.00440524,0.18837079491350733,0.0062723817830535331,0.00061371932735602964,0.00011413530480327511,4.8542018234329381e-05,9.0397147642241899e-06,0.00061265740299275978
0.00445588,0.19212091165680778,0.0064260740344170252,0.00060781689709514899,0.00011807790497102546,4.4947029108783975e-05,1.5940638066754302e-05,0.00058790640187580739
