Physical Time (s),Etau_left Monitor (kg-m/s^3)
0.03210259,-2.4142537547944225e-06
0.03215323,-2.4108535566937655e-06
0.03220386,-2.4070634056496259e-06
0.0322545,-2.4028475840030636e-06
0.03230513,-2.3981805328549627e-06
0.03235577,-2.3930370999233978e-06
0.0324064,-2.3874073135368613e-06
0.03245704,-2.3812808445670292e-06
0.03250767,-2.3746650669448648e-06
0.03255831,-2.3675704397210292e-06
0.03260894,-2.3600073386709149e-06
0.03265957,-2.3520001772471432e-06
0.03271021,-2.343583851644171e-06
0.03276084,-2.3347910712032794e-06
0.03281148,-2.3256636010620596e-06
0.03286211,-2.3162509273493017e-06
0.03291275,-2.3066127908033236e-06
0.03296338,-2.2968230326080493e-06
0.03301402,-2.2869708753387854e-06
0.03306465,-2.2771631410127932e-06
0.03311529,-2.2675272187288208e-06
0.03316592,-2.2582099876568073e-06
0.03321656,-2.2493774900748543e-06
0.03326719,-2.2412101088918034e-06
0.03331783,-2.2338933134371453e-06
0.03336846,-2.227606389308729e-06
0.0334191,-2.222507437996531e-06
0.03346974,-2.2187225016840073e-06
0.03352037,-2.2163356259175893e-06
0.03357101,-2.2153840053847828e-06
0.03362164,-2.2158574237100949e-06
0.03367228,-2.2177016094445887e-06
0.03372291,-2.2208210456824574e-06
0.03377355,-2.2250866619722222e-06
0.03382418,-2.2303397833529434e-06
0.03387482,-2.2363958798017784e-06
0.03392545,-2.2430462923119383e-06
0.03397608,-2.2500604322947652e-06
0.03402672,-2.257186938237353e-06
0.03407735,-2.2641615098381377e-06
0.03412799,-2.270708471917407e-06
0.03417862,-2.276561246535491e-06
0.03422926,-2.2814610440250669e-06
0.03427989,-2.2851817744034451e-06
0.03433053,-2.2875440390064153e-06
0.03438116,-2.2884351779957745e-06
0.0344318,-2.2878203378826548e-06
0.03448243,-2.285752656839671e-06
0.03453307,-2.2823842727147316e-06
0.0345837,-2.2779645916805055e-06
0.03463434,-2.2728190679830532e-06
0.03468497,-2.2673296845846535e-06
0.03473561,-2.261903745535735e-06
0.03478625,-2.256928083693481e-06
0.03483688,-2.2527433253504272e-06
0.03488752,-2.2496026016599302e-06
0.03493815,-2.2476470058740961e-06
0.03498879,-2.2469066683407246e-06
0.03503942,-2.2473059427533823e-06
0.03509006,-2.2486668913096105e-06
0.03514069,-2.2507318773797137e-06
0.03519133,-2.2532064615955221e-06
0.03524196,-2.2557911701809428e-06
0.03529259,-2.258200913474048e-06
0.03534323,-2.2601901017822175e-06
0.03539386,-2.2615774914981035e-06
0.0354445,-2.2622504291162434e-06
0.03549513,-2.2621613122484987e-06
0.03554577,-2.2613173950154003e-06
0.0355964,-2.259768882710096e-06
0.03564704,-2.2575917578087257e-06
0.03569767,-2.2548780059455983e-06
0.03574831,-2.2517128855773843e-06
0.03579894,-2.2481835975334152e-06
0.03584958,-2.2443691737034921e-06
0.03590021,-2.2403332975624438e-06
0.03595085,-2.236127567333843e-06
0.03600148,-2.2318008510621961e-06
0.03605212,-2.2274058727914407e-06
0.03610276,-2.2230034406920411e-06
0.03615339,-2.2186537404998298e-06
0.03620403,-2.2144307554270937e-06
0.03625466,-2.2103980554766393e-06
0.0363053,-2.2065979925759668e-06
0.03635593,-2.2030639297823756e-06
0.03640657,-2.1997984423785091e-06
0.0364572,-2.1967886102621434e-06
0.03650784,-2.1939941058598619e-06
0.03655847,-2.1913691656168896e-06
0.0366091,-2.1888576814826466e-06
0.03665974,-2.1864151854907093e-06
0.03671037,-2.1840162560631864e-06
0.03676101,-2.1816610441610501e-06
0.03681164,-2.1793872682689396e-06
0.03686228,-2.1772671232695557e-06
0.03691291,-2.1754058895194714e-06
0.03696355,-2.1739311007786141e-06
0.03701418,-2.1729867531968148e-06
0.03706482,-2.1727132919608797e-06
0.03711545,-2.1732477103889934e-06
0.03716609,-2.1746970238463795e-06
