Physical Time (s),aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.00572176,6.2029903715430051e-07,1.7122742167175313e-07,-9.4870702493085563e-07,-1.6051442219664433e-06,-1.7566591207071304e-06,-1.8006948673314305e-06,-1.8143202475002924e-06
0.00577239,6.2911460586995078e-07,1.5799492931394158e-07,-9.431568913705401e-07,-1.6081476091659868e-06,-1.7571301765630142e-06,-1.8034911203805234e-06,-1.8181638542899709e-06
0.00582302,6.388789301252524e-07,1.430133371324572e-07,-9.3810019594355906e-07,-1.6096597499847783e-06,-1.7563479103600182e-06,-1.8047103115824437e-06,-1.8191559365407095e-06
0.00587366,6.4965349311393458e-07,1.2745817616449132e-07,-9.3303706038754571e-07,-1.6089802537901729e-06,-1.7536459747576046e-06,-1.8034904868157437e-06,-1.8165047770886157e-06
0.00592429,6.6141449573862162e-07,1.1273463155678953e-07,-9.2767091463802278e-07,-1.6057969650637081e-06,-1.7487522983690167e-06,-1.7994689760835964e-06,-1.8101343097047575e-06
0.00597493,6.6987544476408058e-07,9.6565550290746099e-08,-9.2263839487432361e-07,-1.5992745483273766e-06,-1.739967977123e-06,-1.7902246387014356e-06,-1.7977179072819722e-06
0.00602557,6.808620512937938e-07,8.4088108019451714e-08,-9.166985633157449e-07,-1.5907310460371488e-06,-1.7299468595975822e-06,-1.7795920323719959e-06,-1.784126543650007e-06
0.0060762,6.9284903484057575e-07,7.494425827857722e-08,-9.1026239357735253e-07,-1.580410204515174e-06,-1.7186219744902153e-06,-1.7673645313702508e-06,-1.7692739502576358e-06
0.00612683,7.013414994112842e-07,6.6080214792005983e-08,-9.0432904609028236e-07,-1.5681206717876013e-06,-1.7049149941631101e-06,-1.7520423831977051e-06,-1.7518604537904924e-06
0.00617747,7.0825906591987197e-07,5.9062006044921464e-08,-8.9896489211373335e-07,-1.5553354903998567e-06,-1.690776279442195e-06,-1.7361614656612537e-06,-1.7346386071942942e-06
